datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime.1,datetime
2019-10-06,2019-10-06,20:00:00,UM Alto Alegre - Móvel,CE03,MP10,408.0,ug/m3,automatico,2019,10,6,20,,2019-10-06 20:00:00
2019-09-14,2019-09-14,00:00:00,UM Alto Alegre - Móvel,CE03,MP10,228.0,ug/m3,automatico,2019,9,14,00,,2019-09-14 00:00:00
2019-09-16,2019-09-16,00:00:00,UM Alto Alegre - Móvel,CE03,MP10,221.0,ug/m3,automatico,2019,9,16,00,,2019-09-16 00:00:00
2019-09-20,2019-09-20,16:00:00,UM Alto Alegre - Móvel,CE03,MP10,206.0,ug/m3,automatico,2019,9,20,16,,2019-09-20 16:00:00
2019-09-14,2019-09-14,18:00:00,UM Alto Alegre - Móvel,CE03,MP10,201.0,ug/m3,automatico,2019,9,14,18,,2019-09-14 18:00:00
2019-10-07,2019-10-07,01:00:00,UM Alto Alegre - Móvel,CE03,MP10,200.0,ug/m3,automatico,2019,10,7,01,,2019-10-07 01:00:00
2019-09-14,2019-09-14,19:00:00,UM Alto Alegre - Móvel,CE03,MP10,190.0,ug/m3,automatico,2019,9,14,19,,2019-09-14 19:00:00
2019-09-15,2019-09-15,19:00:00,UM Alto Alegre - Móvel,CE03,MP10,190.0,ug/m3,automatico,2019,9,15,19,,2019-09-15 19:00:00
2019-09-15,2019-09-15,22:00:00,UM Alto Alegre - Móvel,CE03,MP10,190.0,ug/m3,automatico,2019,9,15,22,,2019-09-15 22:00:00
2019-09-20,2019-09-20,13:00:00,UM Alto Alegre - Móvel,CE03,MP10,189.0,ug/m3,automatico,2019,9,20,13,,2019-09-20 13:00:00
2019-10-06,2019-10-06,10:00:00,UM Alto Alegre - Móvel,CE03,MP10,188.0,ug/m3,automatico,2019,10,6,10,,2019-10-06 10:00:00
2019-10-05,2019-10-05,21:00:00,UM Alto Alegre - Móvel,CE03,MP10,186.0,ug/m3,automatico,2019,10,5,21,,2019-10-05 21:00:00
2019-09-30,2019-09-30,10:00:00,UM Alto Alegre - Móvel,CE03,MP10,181.0,ug/m3,automatico,2019,9,30,10,,2019-09-30 10:00:00
