datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime.1,datetime
2019-04-22,2019-04-22,13:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,316.0,ug/m3,automatico,2019,4,22,13,2019-04-22 13:00:00,2019-04-22 13:00:00
2019-04-22,2019-04-22,10:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,211.0,ug/m3,automatico,2019,4,22,10,2019-04-22 10:00:00,2019-04-22 10:00:00
2019-04-16,2019-04-16,15:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,150.0,ug/m3,automatico,2019,4,16,15,2019-04-16 15:00:00,2019-04-16 15:00:00
2019-04-20,2019-04-20,21:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,143.0,ug/m3,automatico,2019,4,20,21,2019-04-20 21:00:00,2019-04-20 21:00:00
2019-04-22,2019-04-22,11:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,121.0,ug/m3,automatico,2019,4,22,11,2019-04-22 11:00:00,2019-04-22 11:00:00
2019-04-20,2019-04-20,22:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,114.0,ug/m3,automatico,2019,4,20,22,2019-04-20 22:00:00,2019-04-20 22:00:00
2019-05-02,2019-05-02,18:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,102.0,ug/m3,automatico,2019,5,2,18,2019-05-02 18:00:00,2019-05-02 18:00:00
2019-04-21,2019-04-21,02:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,101.0,ug/m3,automatico,2019,4,21,02,2019-04-21 02:00:00,2019-04-21 02:00:00
2019-04-22,2019-04-22,12:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,101.0,ug/m3,automatico,2019,4,22,12,2019-04-22 12:00:00,2019-04-22 12:00:00
2019-04-20,2019-04-20,23:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,100.0,ug/m3,automatico,2019,4,20,23,2019-04-20 23:00:00,2019-04-20 23:00:00
2019-04-22,2019-04-22,14:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,99.0,ug/m3,automatico,2019,4,22,14,2019-04-22 14:00:00,2019-04-22 14:00:00
2019-04-16,2019-04-16,16:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,97.0,ug/m3,automatico,2019,4,16,16,2019-04-16 16:00:00,2019-04-16 16:00:00
2019-04-21,2019-04-21,01:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,93.0,ug/m3,automatico,2019,4,21,01,2019-04-21 01:00:00,2019-04-21 01:00:00
2019-04-22,2019-04-22,01:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,91.0,ug/m3,automatico,2019,4,22,01,2019-04-22 01:00:00,2019-04-22 01:00:00
2019-04-22,2019-04-22,09:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,91.0,ug/m3,automatico,2019,4,22,09,2019-04-22 09:00:00,2019-04-22 09:00:00
2019-04-22,2019-04-22,15:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,86.0,ug/m3,automatico,2019,4,22,15,2019-04-22 15:00:00,2019-04-22 15:00:00
2019-05-02,2019-05-02,15:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,86.0,ug/m3,automatico,2019,5,2,15,2019-05-02 15:00:00,2019-05-02 15:00:00
2019-04-16,2019-04-16,18:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,85.0,ug/m3,automatico,2019,4,16,18,2019-04-16 18:00:00,2019-04-16 18:00:00
2019-04-16,2019-04-16,09:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,81.0,ug/m3,automatico,2019,4,16,09,2019-04-16 09:00:00,2019-04-16 09:00:00
2019-04-22,2019-04-22,02:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,81.0,ug/m3,automatico,2019,4,22,02,2019-04-22 02:00:00,2019-04-22 02:00:00
2019-04-20,2019-04-20,20:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,79.0,ug/m3,automatico,2019,4,20,20,2019-04-20 20:00:00,2019-04-20 20:00:00
2019-05-02,2019-05-02,17:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,78.0,ug/m3,automatico,2019,5,2,17,2019-05-02 17:00:00,2019-05-02 17:00:00
2019-04-21,2019-04-21,03:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,77.0,ug/m3,automatico,2019,4,21,03,2019-04-21 03:00:00,2019-04-21 03:00:00
2019-05-04,2019-05-04,14:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,77.0,ug/m3,automatico,2019,5,4,14,2019-05-04 14:00:00,2019-05-04 14:00:00
2019-05-11,2019-05-11,20:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,76.0,ug/m3,automatico,2019,5,11,20,2019-05-11 20:00:00,2019-05-11 20:00:00
2019-05-10,2019-05-10,11:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,75.0,ug/m3,automatico,2019,5,10,11,2019-05-10 11:00:00,2019-05-10 11:00:00
2019-04-22,2019-04-22,03:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,73.0,ug/m3,automatico,2019,4,22,03,2019-04-22 03:00:00,2019-04-22 03:00:00
2019-04-21,2019-04-21,21:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,72.0,ug/m3,automatico,2019,4,21,21,2019-04-21 21:00:00,2019-04-21 21:00:00
2019-04-22,2019-04-22,21:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,72.0,ug/m3,automatico,2019,4,22,21,2019-04-22 21:00:00,2019-04-22 21:00:00
2019-04-16,2019-04-16,11:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,70.0,ug/m3,automatico,2019,4,16,11,2019-04-16 11:00:00,2019-04-16 11:00:00
2019-04-22,2019-04-22,00:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,69.0,ug/m3,automatico,2019,4,22,00,2019-04-22 00:00:00,2019-04-22 00:00:00
2019-05-11,2019-05-11,21:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,66.0,ug/m3,automatico,2019,5,11,21,2019-05-11 21:00:00,2019-05-11 21:00:00
2019-04-18,2019-04-18,23:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,65.0,ug/m3,automatico,2019,4,18,23,2019-04-18 23:00:00,2019-04-18 23:00:00
2019-04-21,2019-04-21,20:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,64.0,ug/m3,automatico,2019,4,21,20,2019-04-21 20:00:00,2019-04-21 20:00:00
2019-05-04,2019-05-04,10:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,64.0,ug/m3,automatico,2019,5,4,10,2019-05-04 10:00:00,2019-05-04 10:00:00
2019-04-19,2019-04-19,00:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,62.0,ug/m3,automatico,2019,4,19,00,2019-04-19 00:00:00,2019-04-19 00:00:00
2019-04-21,2019-04-21,23:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,62.0,ug/m3,automatico,2019,4,21,23,2019-04-21 23:00:00,2019-04-21 23:00:00
2019-04-23,2019-04-23,09:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,62.0,ug/m3,automatico,2019,4,23,09,2019-04-23 09:00:00,2019-04-23 09:00:00
2019-04-21,2019-04-21,04:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,61.0,ug/m3,automatico,2019,4,21,04,2019-04-21 04:00:00,2019-04-21 04:00:00
2019-05-06,2019-05-06,21:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,60.0,ug/m3,automatico,2019,5,6,21,2019-05-06 21:00:00,2019-05-06 21:00:00
2019-04-21,2019-04-21,22:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,59.0,ug/m3,automatico,2019,4,21,22,2019-04-21 22:00:00,2019-04-21 22:00:00
2019-04-22,2019-04-22,16:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,59.0,ug/m3,automatico,2019,4,22,16,2019-04-22 16:00:00,2019-04-22 16:00:00
2019-05-06,2019-05-06,20:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,59.0,ug/m3,automatico,2019,5,6,20,2019-05-06 20:00:00,2019-05-06 20:00:00
2019-04-16,2019-04-16,14:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,58.0,ug/m3,automatico,2019,4,16,14,2019-04-16 14:00:00,2019-04-16 14:00:00
2019-05-04,2019-05-04,12:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,58.0,ug/m3,automatico,2019,5,4,12,2019-05-04 12:00:00,2019-05-04 12:00:00
2019-05-04,2019-05-04,13:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,58.0,ug/m3,automatico,2019,5,4,13,2019-05-04 13:00:00,2019-05-04 13:00:00
2019-05-04,2019-05-04,09:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,56.0,ug/m3,automatico,2019,5,4,09,2019-05-04 09:00:00,2019-05-04 09:00:00
2019-04-22,2019-04-22,04:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,55.0,ug/m3,automatico,2019,4,22,04,2019-04-22 04:00:00,2019-04-22 04:00:00
2019-04-22,2019-04-22,08:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,55.0,ug/m3,automatico,2019,4,22,08,2019-04-22 08:00:00,2019-04-22 08:00:00
2019-06-29,2019-06-29,13:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,55.0,ug/m3,automatico,2019,6,29,13,2019-06-29 13:00:00,2019-06-29 13:00:00
2019-04-23,2019-04-23,00:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,54.0,ug/m3,automatico,2019,4,23,00,2019-04-23 00:00:00,2019-04-23 00:00:00
2019-04-22,2019-04-22,07:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,53.0,ug/m3,automatico,2019,4,22,07,2019-04-22 07:00:00,2019-04-22 07:00:00
2019-04-22,2019-04-22,20:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,53.0,ug/m3,automatico,2019,4,22,20,2019-04-22 20:00:00,2019-04-22 20:00:00
2019-05-04,2019-05-04,11:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,53.0,ug/m3,automatico,2019,5,4,11,2019-05-04 11:00:00,2019-05-04 11:00:00
2019-04-16,2019-04-16,13:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,52.0,ug/m3,automatico,2019,4,16,13,2019-04-16 13:00:00,2019-04-16 13:00:00
2019-04-19,2019-04-19,01:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,52.0,ug/m3,automatico,2019,4,19,01,2019-04-19 01:00:00,2019-04-19 01:00:00
2019-04-21,2019-04-21,00:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,52.0,ug/m3,automatico,2019,4,21,00,2019-04-21 00:00:00,2019-04-21 00:00:00
2019-04-22,2019-04-22,22:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,52.0,ug/m3,automatico,2019,4,22,22,2019-04-22 22:00:00,2019-04-22 22:00:00
2019-05-03,2019-05-03,05:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,52.0,ug/m3,automatico,2019,5,3,05,2019-05-03 05:00:00,2019-05-03 05:00:00
2019-04-21,2019-04-21,05:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,51.0,ug/m3,automatico,2019,4,21,05,2019-04-21 05:00:00,2019-04-21 05:00:00
2019-04-21,2019-04-21,17:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,51.0,ug/m3,automatico,2019,4,21,17,2019-04-21 17:00:00,2019-04-21 17:00:00
2019-05-03,2019-05-03,02:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,51.0,ug/m3,automatico,2019,5,3,02,2019-05-03 02:00:00,2019-05-03 02:00:00
2019-05-04,2019-05-04,21:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,51.0,ug/m3,automatico,2019,5,4,21,2019-05-04 21:00:00,2019-05-04 21:00:00
2019-04-21,2019-04-21,19:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,50.0,ug/m3,automatico,2019,4,21,19,2019-04-21 19:00:00,2019-04-21 19:00:00
2019-05-05,2019-05-05,12:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,50.0,ug/m3,automatico,2019,5,5,12,2019-05-05 12:00:00,2019-05-05 12:00:00
2019-05-11,2019-05-11,22:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,50.0,ug/m3,automatico,2019,5,11,22,2019-05-11 22:00:00,2019-05-11 22:00:00
2019-05-13,2019-05-13,11:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,50.0,ug/m3,automatico,2019,5,13,11,2019-05-13 11:00:00,2019-05-13 11:00:00
2019-04-21,2019-04-21,06:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,49.0,ug/m3,automatico,2019,4,21,06,2019-04-21 06:00:00,2019-04-21 06:00:00
2019-04-19,2019-04-19,02:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,48.0,ug/m3,automatico,2019,4,19,02,2019-04-19 02:00:00,2019-04-19 02:00:00
2019-04-22,2019-04-22,06:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,48.0,ug/m3,automatico,2019,4,22,06,2019-04-22 06:00:00,2019-04-22 06:00:00
2019-04-22,2019-04-22,23:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,48.0,ug/m3,automatico,2019,4,22,23,2019-04-22 23:00:00,2019-04-22 23:00:00
2019-04-23,2019-04-23,01:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,48.0,ug/m3,automatico,2019,4,23,01,2019-04-23 01:00:00,2019-04-23 01:00:00
2019-05-03,2019-05-03,03:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,48.0,ug/m3,automatico,2019,5,3,03,2019-05-03 03:00:00,2019-05-03 03:00:00
2019-05-10,2019-05-10,21:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,48.0,ug/m3,automatico,2019,5,10,21,2019-05-10 21:00:00,2019-05-10 21:00:00
2019-06-27,2019-06-27,15:00:00,UM UFC Reitoria - MÃ³vel,CE03,MP10,48.0,ug/m3,automatico,2019,6,27,15,2019-06-27 15:00:00,2019-06-27 15:00:00
