datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Ara - SIGIL,RJ261,PTS,22.81,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Ara - SIGIL,RJ261,PTS,29.64,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Ara - SIGIL,RJ261,PTS,27.38,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Ara - SIGIL,RJ261,PTS,50.05,µg/m3,manual,2019,1,20,00,2019-01-20
2019-02-01,2019-02-01,00:00,Ara - SIGIL,RJ261,PTS,41.02,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Ara - SIGIL,RJ261,PTS,23.46,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Ara - SIGIL,RJ261,PTS,11.29,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Ara - SIGIL,RJ261,PTS,26.37,µg/m3,manual,2019,2,19,00,2019-02-19
2019-03-09,2019-03-09,00:00,Ara - SIGIL,RJ261,PTS,29.53,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,Ara - SIGIL,RJ261,PTS,35.04,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,Ara - SIGIL,RJ261,PTS,38.79,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Ara - SIGIL,RJ261,PTS,29.47,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Ara - SIGIL,RJ261,PTS,27.48,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Ara - SIGIL,RJ261,PTS,29.16,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-26,2019-04-26,00:00,Ara - SIGIL,RJ261,PTS,39.33,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,Ara - SIGIL,RJ261,PTS,28.04,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-20,2019-05-20,00:00,Ara - SIGIL,RJ261,PTS,20.32,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,Ara - SIGIL,RJ261,PTS,22.98,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,Ara - SIGIL,RJ261,PTS,40.8,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,Ara - SIGIL,RJ261,PTS,37.22,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,Ara - SIGIL,RJ261,PTS,28.7,µg/m3,manual,2019,6,13,00,2019-06-13
2019-07-01,2019-07-01,00:00,Ara - SIGIL,RJ261,PTS,22.4,µg/m3,manual,2019,7,1,00,2019-07-01
2019-07-07,2019-07-07,00:00,Ara - SIGIL,RJ261,PTS,31.66,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-13,2019-07-13,00:00,Ara - SIGIL,RJ261,PTS,47.72,µg/m3,manual,2019,7,13,00,2019-07-13
2019-07-19,2019-07-19,00:00,Ara - SIGIL,RJ261,PTS,29.98,µg/m3,manual,2019,7,19,00,2019-07-19
2019-07-25,2019-07-25,00:00,Ara - SIGIL,RJ261,PTS,41.19,µg/m3,manual,2019,7,25,00,2019-07-25
2019-07-31,2019-07-31,00:00,Ara - SIGIL,RJ261,PTS,56.58,µg/m3,manual,2019,7,31,00,2019-07-31
2019-08-06,2019-08-06,00:00,Ara - SIGIL,RJ261,PTS,30.12,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-24,2019-08-24,00:00,Ara - SIGIL,RJ261,PTS,34.7,µg/m3,manual,2019,8,24,00,2019-08-24
2019-09-17,2019-09-17,00:00,Ara - SIGIL,RJ261,PTS,22.9,µg/m3,manual,2019,9,17,00,2019-09-17
2019-09-23,2019-09-23,00:00,Ara - SIGIL,RJ261,PTS,52.86,µg/m3,manual,2019,9,23,00,2019-09-23
2019-10-17,2019-10-17,00:00,Ara - SIGIL,RJ261,PTS,27.42,µg/m3,manual,2019,10,17,00,2019-10-17
2019-10-23,2019-10-23,00:00,Ara - SIGIL,RJ261,PTS,61.91,µg/m3,manual,2019,10,23,00,2019-10-23
2019-10-29,2019-10-29,00:00,Ara - SIGIL,RJ261,PTS,77.22,µg/m3,manual,2019,10,29,00,2019-10-29
2019-11-16,2019-11-16,00:00,Ara - SIGIL,RJ261,PTS,26.56,µg/m3,manual,2019,11,16,00,2019-11-16
