datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-20,2019-01-20,00:00,BR - Clube Bayer,RJ233,PTS,38.11,µg/m3,manual,2019,1,20,00,2019-01-20
2019-02-01,2019-02-01,00:00,BR - Clube Bayer,RJ233,PTS,87.68,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,BR - Clube Bayer,RJ233,PTS,74.12,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,BR - Clube Bayer,RJ233,PTS,53.37,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,BR - Clube Bayer,RJ233,PTS,49.29,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,BR - Clube Bayer,RJ233,PTS,60.21,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,BR - Clube Bayer,RJ233,PTS,45.83,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,BR - Clube Bayer,RJ233,PTS,36.35,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,BR - Clube Bayer,RJ233,PTS,58.97,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,BR - Clube Bayer,RJ233,PTS,40.36,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,BR - Clube Bayer,RJ233,PTS,52.98,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,BR - Clube Bayer,RJ233,PTS,67.22,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,BR - Clube Bayer,RJ233,PTS,41.12,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,BR - Clube Bayer,RJ233,PTS,38.45,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,BR - Clube Bayer,RJ233,PTS,58.35,µg/m3,manual,2019,4,20,00,2019-04-20
2019-05-02,2019-05-02,00:00,BR - Clube Bayer,RJ233,PTS,33.98,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,BR - Clube Bayer,RJ233,PTS,30.84,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,BR - Clube Bayer,RJ233,PTS,47.94,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,BR - Clube Bayer,RJ233,PTS,55.19,µg/m3,manual,2019,5,20,00,2019-05-20
2019-06-01,2019-06-01,00:00,BR - Clube Bayer,RJ233,PTS,62.39,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,BR - Clube Bayer,RJ233,PTS,55.83,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,BR - Clube Bayer,RJ233,PTS,50.97,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,BR - Clube Bayer,RJ233,PTS,79.39,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-25,2019-06-25,00:00,BR - Clube Bayer,RJ233,PTS,70.91,µg/m3,manual,2019,6,25,00,2019-06-25
2019-07-01,2019-07-01,00:00,BR - Clube Bayer,RJ233,PTS,160.31,µg/m3,manual,2019,7,1,00,2019-07-01
2019-07-07,2019-07-07,00:00,BR - Clube Bayer,RJ233,PTS,137.02,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-13,2019-07-13,00:00,BR - Clube Bayer,RJ233,PTS,108.39,µg/m3,manual,2019,7,13,00,2019-07-13
