datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-20,2019-01-20,00:00,BR - Horto,RJ231,PTS,177.91,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,BR - Horto,RJ231,PTS,114.95,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,BR - Horto,RJ231,PTS,214.88,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,BR - Horto,RJ231,PTS,163.84,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,BR - Horto,RJ231,PTS,68.56,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-25,2019-02-25,00:00,BR - Horto,RJ231,PTS,98.15,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,BR - Horto,RJ231,PTS,259.44,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,BR - Horto,RJ231,PTS,205.82,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,BR - Horto,RJ231,PTS,37.17,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,BR - Horto,RJ231,PTS,76.45,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,BR - Horto,RJ231,PTS,89.68,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,BR - Horto,RJ231,PTS,317.2,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,BR - Horto,RJ231,PTS,118.03,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,BR - Horto,RJ231,PTS,137.39,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,BR - Horto,RJ231,PTS,99.27,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,BR - Horto,RJ231,PTS,102.35,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,BR - Horto,RJ231,PTS,362.34,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,BR - Horto,RJ231,PTS,318.89,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,BR - Horto,RJ231,PTS,214.95,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,BR - Horto,RJ231,PTS,194.88,µg/m3,manual,2019,5,20,00,2019-05-20
2019-06-01,2019-06-01,00:00,BR - Horto,RJ231,PTS,429.2,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,BR - Horto,RJ231,PTS,284.28,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,BR - Horto,RJ231,PTS,237.24,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,BR - Horto,RJ231,PTS,227.98,µg/m3,manual,2019,6,19,00,2019-06-19
2019-07-01,2019-07-01,00:00,BR - Horto,RJ231,PTS,249.59,µg/m3,manual,2019,7,1,00,2019-07-01
2019-07-07,2019-07-07,00:00,BR - Horto,RJ231,PTS,290.19,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-13,2019-07-13,00:00,BR - Horto,RJ231,PTS,228.27,µg/m3,manual,2019,7,13,00,2019-07-13
2019-07-19,2019-07-19,00:00,BR - Horto,RJ231,PTS,245.34,µg/m3,manual,2019,7,19,00,2019-07-19
2019-07-25,2019-07-25,00:00,BR - Horto,RJ231,PTS,236.78,µg/m3,manual,2019,7,25,00,2019-07-25
2019-07-31,2019-07-31,00:00,BR - Horto,RJ231,PTS,188.29,µg/m3,manual,2019,7,31,00,2019-07-31
2019-08-06,2019-08-06,00:00,BR - Horto,RJ231,PTS,167.07,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-12,2019-08-12,00:00,BR - Horto,RJ231,PTS,192.65,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-18,2019-08-18,00:00,BR - Horto,RJ231,PTS,125.76,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-24,2019-08-24,00:00,BR - Horto,RJ231,PTS,119.84,µg/m3,manual,2019,8,24,00,2019-08-24
2019-08-30,2019-08-30,00:00,BR - Horto,RJ231,PTS,149.92,µg/m3,manual,2019,8,30,00,2019-08-30
2019-09-05,2019-09-05,00:00,BR - Horto,RJ231,PTS,281.22,µg/m3,manual,2019,9,5,00,2019-09-05
2019-09-11,2019-09-11,00:00,BR - Horto,RJ231,PTS,241.58,µg/m3,manual,2019,9,11,00,2019-09-11
2019-09-17,2019-09-17,00:00,BR - Horto,RJ231,PTS,214.02,µg/m3,manual,2019,9,17,00,2019-09-17
2019-09-29,2019-09-29,00:00,BR - Horto,RJ231,PTS,193.66,µg/m3,manual,2019,9,29,00,2019-09-29
2019-10-05,2019-10-05,00:00,BR - Horto,RJ231,PTS,128.34,µg/m3,manual,2019,10,5,00,2019-10-05
2019-10-11,2019-10-11,00:00,BR - Horto,RJ231,PTS,29.32,µg/m3,manual,2019,10,11,00,2019-10-11
2019-10-17,2019-10-17,00:00,BR - Horto,RJ231,PTS,168.36,µg/m3,manual,2019,10,17,00,2019-10-17
2019-10-23,2019-10-23,00:00,BR - Horto,RJ231,PTS,133.32,µg/m3,manual,2019,10,23,00,2019-10-23
2019-10-29,2019-10-29,00:00,BR - Horto,RJ231,PTS,170.74,µg/m3,manual,2019,10,29,00,2019-10-29
2019-11-04,2019-11-04,00:00,BR - Horto,RJ231,PTS,161.13,µg/m3,manual,2019,11,4,00,2019-11-04
2019-11-10,2019-11-10,00:00,BR - Horto,RJ231,PTS,158.02,µg/m3,manual,2019,11,10,00,2019-11-10
2019-11-16,2019-11-16,00:00,BR - Horto,RJ231,PTS,135.14,µg/m3,manual,2019,11,16,00,2019-11-16
2019-11-22,2019-11-22,00:00,BR - Horto,RJ231,PTS,145.06,µg/m3,manual,2019,11,22,00,2019-11-22
2019-11-28,2019-11-28,00:00,BR - Horto,RJ231,PTS,93.88,µg/m3,manual,2019,11,28,00,2019-11-28
2019-12-04,2019-12-04,00:00,BR - Horto,RJ231,PTS,239.14,µg/m3,manual,2019,12,4,00,2019-12-04
2019-12-10,2019-12-10,00:00,BR - Horto,RJ231,PTS,309.62,µg/m3,manual,2019,12,10,00,2019-12-10
2019-12-16,2019-12-16,00:00,BR - Horto,RJ231,PTS,118.17,µg/m3,manual,2019,12,16,00,2019-12-16
2020-01-03,2020-01-03,00:00,BR - Horto,RJ231,PTS,143.65,µg/m3,manual,2020,1,3,00,2020-01-03
2020-01-09,2020-01-09,00:00,BR - Horto,RJ231,PTS,152.53,µg/m3,manual,2020,1,9,00,2020-01-09
2020-01-15,2020-01-15,00:00,BR - Horto,RJ231,PTS,90.1,µg/m3,manual,2020,1,15,00,2020-01-15
2020-01-21,2020-01-21,00:00,BR - Horto,RJ231,PTS,234.33,µg/m3,manual,2020,1,21,00,2020-01-21
2020-01-27,2020-01-27,00:00,BR - Horto,RJ231,PTS,151.13,µg/m3,manual,2020,1,27,00,2020-01-27
2020-08-12,2020-08-12,00:00,BR - Horto,RJ231,PTS,201.82,µg/m3,manual,2020,8,12,00,2020-08-12
2020-08-18,2020-08-18,00:00,BR - Horto,RJ231,PTS,68.55,µg/m3,manual,2020,8,18,00,2020-08-18
2020-08-24,2020-08-24,00:00,BR - Horto,RJ231,PTS,65.87,µg/m3,manual,2020,8,24,00,2020-08-24
2020-08-30,2020-08-30,00:00,BR - Horto,RJ231,PTS,59.73,µg/m3,manual,2020,8,30,00,2020-08-30
2020-09-05,2020-09-05,00:00,BR - Horto,RJ231,PTS,212.93,µg/m3,manual,2020,9,5,00,2020-09-05
2020-09-11,2020-09-11,00:00,BR - Horto,RJ231,PTS,187.88,µg/m3,manual,2020,9,11,00,2020-09-11
2020-09-17,2020-09-17,00:00,BR - Horto,RJ231,PTS,62.78,µg/m3,manual,2020,9,17,00,2020-09-17
2020-09-23,2020-09-23,00:00,BR - Horto,RJ231,PTS,167.86,µg/m3,manual,2020,9,23,00,2020-09-23
2020-09-29,2020-09-29,00:00,BR - Horto,RJ231,PTS,158.45,µg/m3,manual,2020,9,29,00,2020-09-29
2020-10-05,2020-10-05,00:00,BR - Horto,RJ231,PTS,167.72,µg/m3,manual,2020,10,5,00,2020-10-05
2020-10-11,2020-10-11,00:00,BR - Horto,RJ231,PTS,167.07,µg/m3,manual,2020,10,11,00,2020-10-11
2020-10-17,2020-10-17,00:00,BR - Horto,RJ231,PTS,78.12,µg/m3,manual,2020,10,17,00,2020-10-17
2020-10-23,2020-10-23,00:00,BR - Horto,RJ231,PTS,98.02,µg/m3,manual,2020,10,23,00,2020-10-23
2020-10-29,2020-10-29,00:00,BR - Horto,RJ231,PTS,114.74,µg/m3,manual,2020,10,29,00,2020-10-29
2020-11-04,2020-11-04,00:00,BR - Horto,RJ231,PTS,97.93,µg/m3,manual,2020,11,4,00,2020-11-04
2020-11-10,2020-11-10,00:00,BR - Horto,RJ231,PTS,121.0,µg/m3,manual,2020,11,10,00,2020-11-10
2020-11-16,2020-11-16,00:00,BR - Horto,RJ231,PTS,91.99,µg/m3,manual,2020,11,16,00,2020-11-16
2020-11-22,2020-11-22,00:00,BR - Horto,RJ231,PTS,94.96,µg/m3,manual,2020,11,22,00,2020-11-22
