datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-02-01,2019-02-01,00:00,BR - Parque Amorim,RJ232,PTS,187.34,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,BR - Parque Amorim,RJ232,PTS,225.18,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,BR - Parque Amorim,RJ232,PTS,190.25,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-25,2019-02-25,00:00,BR - Parque Amorim,RJ232,PTS,190.46,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,BR - Parque Amorim,RJ232,PTS,210.56,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,BR - Parque Amorim,RJ232,PTS,178.92,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,BR - Parque Amorim,RJ232,PTS,160.35,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,BR - Parque Amorim,RJ232,PTS,200.11,µg/m3,manual,2019,3,21,00,2019-03-21
2019-04-02,2019-04-02,00:00,BR - Parque Amorim,RJ232,PTS,165.0,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,BR - Parque Amorim,RJ232,PTS,180.22,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,BR - Parque Amorim,RJ232,PTS,148.49,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-26,2019-04-26,00:00,BR - Parque Amorim,RJ232,PTS,166.79,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,BR - Parque Amorim,RJ232,PTS,260.86,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,BR - Parque Amorim,RJ232,PTS,246.86,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,BR - Parque Amorim,RJ232,PTS,167.5,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,BR - Parque Amorim,RJ232,PTS,197.44,µg/m3,manual,2019,5,20,00,2019-05-20
2019-06-07,2019-06-07,00:00,BR - Parque Amorim,RJ232,PTS,176.9,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,BR - Parque Amorim,RJ232,PTS,158.91,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,BR - Parque Amorim,RJ232,PTS,144.31,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-25,2019-06-25,00:00,BR - Parque Amorim,RJ232,PTS,241.5,µg/m3,manual,2019,6,25,00,2019-06-25
2019-07-01,2019-07-01,00:00,BR - Parque Amorim,RJ232,PTS,188.07,µg/m3,manual,2019,7,1,00,2019-07-01
2019-07-07,2019-07-07,00:00,BR - Parque Amorim,RJ232,PTS,179.21,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-13,2019-07-13,00:00,BR - Parque Amorim,RJ232,PTS,211.68,µg/m3,manual,2019,7,13,00,2019-07-13
2019-07-25,2019-07-25,00:00,BR - Parque Amorim,RJ232,PTS,200.37,µg/m3,manual,2019,7,25,00,2019-07-25
2019-07-31,2019-07-31,00:00,BR - Parque Amorim,RJ232,PTS,165.41,µg/m3,manual,2019,7,31,00,2019-07-31
2019-08-06,2019-08-06,00:00,BR - Parque Amorim,RJ232,PTS,134.91,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-12,2019-08-12,00:00,BR - Parque Amorim,RJ232,PTS,112.78,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-18,2019-08-18,00:00,BR - Parque Amorim,RJ232,PTS,93.62,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-30,2019-08-30,00:00,BR - Parque Amorim,RJ232,PTS,168.91,µg/m3,manual,2019,8,30,00,2019-08-30
2019-09-05,2019-09-05,00:00,BR - Parque Amorim,RJ232,PTS,279.54,µg/m3,manual,2019,9,5,00,2019-09-05
2019-09-11,2019-09-11,00:00,BR - Parque Amorim,RJ232,PTS,308.42,µg/m3,manual,2019,9,11,00,2019-09-11
2019-09-17,2019-09-17,00:00,BR - Parque Amorim,RJ232,PTS,151.35,µg/m3,manual,2019,9,17,00,2019-09-17
2019-09-23,2019-09-23,00:00,BR - Parque Amorim,RJ232,PTS,527.61,µg/m3,manual,2019,9,23,00,2019-09-23
