datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-20,2019-01-20,00:00,BR - Parque Fluminense,RJ229,PTS,149.43,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,BR - Parque Fluminense,RJ229,PTS,89.67,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,BR - Parque Fluminense,RJ229,PTS,150.43,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,BR - Parque Fluminense,RJ229,PTS,132.35,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,BR - Parque Fluminense,RJ229,PTS,124.45,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,BR - Parque Fluminense,RJ229,PTS,136.78,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,BR - Parque Fluminense,RJ229,PTS,145.23,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,BR - Parque Fluminense,RJ229,PTS,233.44,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,BR - Parque Fluminense,RJ229,PTS,279.48,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,BR - Parque Fluminense,RJ229,PTS,187.56,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-27,2019-03-27,00:00,BR - Parque Fluminense,RJ229,PTS,159.03,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,BR - Parque Fluminense,RJ229,PTS,169.88,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,BR - Parque Fluminense,RJ229,PTS,156.41,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,BR - Parque Fluminense,RJ229,PTS,184.55,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,BR - Parque Fluminense,RJ229,PTS,143.27,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,BR - Parque Fluminense,RJ229,PTS,171.21,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,BR - Parque Fluminense,RJ229,PTS,158.45,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,BR - Parque Fluminense,RJ229,PTS,119.94,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,BR - Parque Fluminense,RJ229,PTS,172.98,µg/m3,manual,2019,5,14,00,2019-05-14
2019-08-06,2019-08-06,00:00,BR - Parque Fluminense,RJ229,PTS,280.76,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-12,2019-08-12,00:00,BR - Parque Fluminense,RJ229,PTS,167.81,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-24,2019-08-24,00:00,BR - Parque Fluminense,RJ229,PTS,144.89,µg/m3,manual,2019,8,24,00,2019-08-24
2019-08-30,2019-08-30,00:00,BR - Parque Fluminense,RJ229,PTS,200.19,µg/m3,manual,2019,8,30,00,2019-08-30
2019-09-11,2019-09-11,00:00,BR - Parque Fluminense,RJ229,PTS,63.89,µg/m3,manual,2019,9,11,00,2019-09-11
2019-09-17,2019-09-17,00:00,BR - Parque Fluminense,RJ229,PTS,216.49,µg/m3,manual,2019,9,17,00,2019-09-17
2019-09-23,2019-09-23,00:00,BR - Parque Fluminense,RJ229,PTS,21.14,µg/m3,manual,2019,9,23,00,2019-09-23
2019-10-05,2019-10-05,00:00,BR - Parque Fluminense,RJ229,PTS,512.45,µg/m3,manual,2019,10,5,00,2019-10-05
2019-10-11,2019-10-11,00:00,BR - Parque Fluminense,RJ229,PTS,143.33,µg/m3,manual,2019,10,11,00,2019-10-11
2019-10-17,2019-10-17,00:00,BR - Parque Fluminense,RJ229,PTS,117.05,µg/m3,manual,2019,10,17,00,2019-10-17
2019-10-23,2019-10-23,00:00,BR - Parque Fluminense,RJ229,PTS,180.77,µg/m3,manual,2019,10,23,00,2019-10-23
2019-10-29,2019-10-29,00:00,BR - Parque Fluminense,RJ229,PTS,63.05,µg/m3,manual,2019,10,29,00,2019-10-29
2019-11-04,2019-11-04,00:00,BR - Parque Fluminense,RJ229,PTS,115.26,µg/m3,manual,2019,11,4,00,2019-11-04
2019-11-10,2019-11-10,00:00,BR - Parque Fluminense,RJ229,PTS,96.45,µg/m3,manual,2019,11,10,00,2019-11-10
2019-11-16,2019-11-16,00:00,BR - Parque Fluminense,RJ229,PTS,121.19,µg/m3,manual,2019,11,16,00,2019-11-16
2019-11-22,2019-11-22,00:00,BR - Parque Fluminense,RJ229,PTS,114.5,µg/m3,manual,2019,11,22,00,2019-11-22
2019-11-28,2019-11-28,00:00,BR - Parque Fluminense,RJ229,PTS,90.12,µg/m3,manual,2019,11,28,00,2019-11-28
2019-12-04,2019-12-04,00:00,BR - Parque Fluminense,RJ229,PTS,33.66,µg/m3,manual,2019,12,4,00,2019-12-04
2019-12-10,2019-12-10,00:00,BR - Parque Fluminense,RJ229,PTS,213.66,µg/m3,manual,2019,12,10,00,2019-12-10
2019-12-16,2019-12-16,00:00,BR - Parque Fluminense,RJ229,PTS,149.5,µg/m3,manual,2019,12,16,00,2019-12-16
2019-12-22,2019-12-22,00:00,BR - Parque Fluminense,RJ229,PTS,89.96,µg/m3,manual,2019,12,22,00,2019-12-22
2020-01-03,2020-01-03,00:00,BR - Parque Fluminense,RJ229,PTS,102.26,µg/m3,manual,2020,1,3,00,2020-01-03
2020-01-09,2020-01-09,00:00,BR - Parque Fluminense,RJ229,PTS,86.62,µg/m3,manual,2020,1,9,00,2020-01-09
2020-01-15,2020-01-15,00:00,BR - Parque Fluminense,RJ229,PTS,122.53,µg/m3,manual,2020,1,15,00,2020-01-15
