datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-08-06,2019-08-06,00:00,BR - Praça do Farrula,RJ265,PTS,142.89,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-12,2019-08-12,00:00,BR - Praça do Farrula,RJ265,PTS,77.3,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-18,2019-08-18,00:00,BR - Praça do Farrula,RJ265,PTS,112.45,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-24,2019-08-24,00:00,BR - Praça do Farrula,RJ265,PTS,179.37,µg/m3,manual,2019,8,24,00,2019-08-24
2019-08-30,2019-08-30,00:00,BR - Praça do Farrula,RJ265,PTS,200.16,µg/m3,manual,2019,8,30,00,2019-08-30
2019-09-05,2019-09-05,00:00,BR - Praça do Farrula,RJ265,PTS,112.37,µg/m3,manual,2019,9,5,00,2019-09-05
2019-09-11,2019-09-11,00:00,BR - Praça do Farrula,RJ265,PTS,150.44,µg/m3,manual,2019,9,11,00,2019-09-11
2019-09-17,2019-09-17,00:00,BR - Praça do Farrula,RJ265,PTS,118.27,µg/m3,manual,2019,9,17,00,2019-09-17
2019-09-29,2019-09-29,00:00,BR - Praça do Farrula,RJ265,PTS,88.72,µg/m3,manual,2019,9,29,00,2019-09-29
2019-10-05,2019-10-05,00:00,BR - Praça do Farrula,RJ265,PTS,121.72,µg/m3,manual,2019,10,5,00,2019-10-05
2019-10-11,2019-10-11,00:00,BR - Praça do Farrula,RJ265,PTS,89.34,µg/m3,manual,2019,10,11,00,2019-10-11
2019-11-10,2019-11-10,00:00,BR - Praça do Farrula,RJ265,PTS,102.35,µg/m3,manual,2019,11,10,00,2019-11-10
2019-11-16,2019-11-16,00:00,BR - Praça do Farrula,RJ265,PTS,80.45,µg/m3,manual,2019,11,16,00,2019-11-16
2019-11-22,2019-11-22,00:00,BR - Praça do Farrula,RJ265,PTS,97.25,µg/m3,manual,2019,11,22,00,2019-11-22
2019-11-28,2019-11-28,00:00,BR - Praça do Farrula,RJ265,PTS,72.12,µg/m3,manual,2019,11,28,00,2019-11-28
2019-12-16,2019-12-16,00:00,BR - Praça do Farrula,RJ265,PTS,42.92,µg/m3,manual,2019,12,16,00,2019-12-16
2019-12-22,2019-12-22,00:00,BR - Praça do Farrula,RJ265,PTS,77.5,µg/m3,manual,2019,12,22,00,2019-12-22
2019-12-28,2019-12-28,00:00,BR - Praça do Farrula,RJ265,PTS,40.97,µg/m3,manual,2019,12,28,00,2019-12-28
2020-01-03,2020-01-03,00:00,BR - Praça do Farrula,RJ265,PTS,111.19,µg/m3,manual,2020,1,3,00,2020-01-03
2020-01-09,2020-01-09,00:00,BR - Praça do Farrula,RJ265,PTS,22.72,µg/m3,manual,2020,1,9,00,2020-01-09
2020-01-15,2020-01-15,00:00,BR - Praça do Farrula,RJ265,PTS,30.74,µg/m3,manual,2020,1,15,00,2020-01-15
2020-01-21,2020-01-21,00:00,BR - Praça do Farrula,RJ265,PTS,183.7,µg/m3,manual,2020,1,21,00,2020-01-21
2020-01-27,2020-01-27,00:00,BR - Praça do Farrula,RJ265,PTS,87.06,µg/m3,manual,2020,1,27,00,2020-01-27
2020-08-12,2020-08-12,00:00,BR - Praça do Farrula,RJ265,PTS,465.66,µg/m3,manual,2020,8,12,00,2020-08-12
2020-08-18,2020-08-18,00:00,BR - Praça do Farrula,RJ265,PTS,246.64,µg/m3,manual,2020,8,18,00,2020-08-18
2020-08-24,2020-08-24,00:00,BR - Praça do Farrula,RJ265,PTS,201.24,µg/m3,manual,2020,8,24,00,2020-08-24
2020-08-30,2020-08-30,00:00,BR - Praça do Farrula,RJ265,PTS,118.08,µg/m3,manual,2020,8,30,00,2020-08-30
2020-09-05,2020-09-05,00:00,BR - Praça do Farrula,RJ265,PTS,98.06,µg/m3,manual,2020,9,5,00,2020-09-05
2020-09-11,2020-09-11,00:00,BR - Praça do Farrula,RJ265,PTS,155.16,µg/m3,manual,2020,9,11,00,2020-09-11
2020-09-17,2020-09-17,00:00,BR - Praça do Farrula,RJ265,PTS,127.76,µg/m3,manual,2020,9,17,00,2020-09-17
2020-09-23,2020-09-23,00:00,BR - Praça do Farrula,RJ265,PTS,196.56,µg/m3,manual,2020,9,23,00,2020-09-23
2020-09-29,2020-09-29,00:00,BR - Praça do Farrula,RJ265,PTS,114.57,µg/m3,manual,2020,9,29,00,2020-09-29
2020-10-05,2020-10-05,00:00,BR - Praça do Farrula,RJ265,PTS,100.46,µg/m3,manual,2020,10,5,00,2020-10-05
2020-10-11,2020-10-11,00:00,BR - Praça do Farrula,RJ265,PTS,82.73,µg/m3,manual,2020,10,11,00,2020-10-11
2020-10-17,2020-10-17,00:00,BR - Praça do Farrula,RJ265,PTS,85.4,µg/m3,manual,2020,10,17,00,2020-10-17
2020-10-23,2020-10-23,00:00,BR - Praça do Farrula,RJ265,PTS,114.8,µg/m3,manual,2020,10,23,00,2020-10-23
2020-10-29,2020-10-29,00:00,BR - Praça do Farrula,RJ265,PTS,136.42,µg/m3,manual,2020,10,29,00,2020-10-29
2020-11-04,2020-11-04,00:00,BR - Praça do Farrula,RJ265,PTS,81.04,µg/m3,manual,2020,11,4,00,2020-11-04
2020-11-10,2020-11-10,00:00,BR - Praça do Farrula,RJ265,PTS,162.44,µg/m3,manual,2020,11,10,00,2020-11-10
2020-11-22,2020-11-22,00:00,BR - Praça do Farrula,RJ265,PTS,149.24,µg/m3,manual,2020,11,22,00,2020-11-22
2020-11-28,2020-11-28,00:00,BR - Praça do Farrula,RJ265,PTS,131.23,µg/m3,manual,2020,11,28,00,2020-11-28
2020-12-04,2020-12-04,00:00,BR - Praça do Farrula,RJ265,PTS,138.35,µg/m3,manual,2020,12,4,00,2020-12-04
2020-12-10,2020-12-10,00:00,BR - Praça do Farrula,RJ265,PTS,110.07,µg/m3,manual,2020,12,10,00,2020-12-10
2020-12-16,2020-12-16,00:00,BR - Praça do Farrula,RJ265,PTS,148.92,µg/m3,manual,2020,12,16,00,2020-12-16
2020-12-22,2020-12-22,00:00,BR - Praça do Farrula,RJ265,PTS,145.03,µg/m3,manual,2020,12,22,00,2020-12-22
2021-01-09,2021-01-09,00:00:00,BR - Praça do Farrula,RJ265,PTS,93.07,µg/m³,Manual,2021,1,9,00,2021-01-09
2021-01-15,2021-01-15,00:00:00,BR - Praça do Farrula,RJ265,PTS,114.68,µg/m³,Manual,2021,1,15,00,2021-01-15
2021-01-27,2021-01-27,00:00:00,BR - Praça do Farrula,RJ265,PTS,114.22,µg/m³,Manual,2021,1,27,00,2021-01-27
2021-02-02,2021-02-02,00:00:00,BR - Praça do Farrula,RJ265,PTS,73.3,µg/m³,Manual,2021,2,2,00,2021-02-02
2021-02-08,2021-02-08,00:00:00,BR - Praça do Farrula,RJ265,PTS,116.72,µg/m³,Manual,2021,2,8,00,2021-02-08
2021-02-14,2021-02-14,00:00:00,BR - Praça do Farrula,RJ265,PTS,82.77,µg/m³,Manual,2021,2,14,00,2021-02-14
