datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,BR - Santa Maria,RJ230,PTS,184.76,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,BR - Santa Maria,RJ230,PTS,149.74,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,BR - Santa Maria,RJ230,PTS,108.67,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,BR - Santa Maria,RJ230,PTS,128.64,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,BR - Santa Maria,RJ230,PTS,107.57,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,BR - Santa Maria,RJ230,PTS,171.99,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,BR - Santa Maria,RJ230,PTS,184.02,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,BR - Santa Maria,RJ230,PTS,77.84,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,BR - Santa Maria,RJ230,PTS,98.12,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,BR - Santa Maria,RJ230,PTS,87.25,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,BR - Santa Maria,RJ230,PTS,112.56,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,BR - Santa Maria,RJ230,PTS,98.19,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,BR - Santa Maria,RJ230,PTS,78.03,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,BR - Santa Maria,RJ230,PTS,122.45,µg/m3,manual,2019,3,21,00,2019-03-21
2019-04-02,2019-04-02,00:00,BR - Santa Maria,RJ230,PTS,88.17,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,BR - Santa Maria,RJ230,PTS,102.01,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,BR - Santa Maria,RJ230,PTS,79.05,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,BR - Santa Maria,RJ230,PTS,124.69,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,BR - Santa Maria,RJ230,PTS,132.9,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,BR - Santa Maria,RJ230,PTS,128.03,µg/m3,manual,2019,5,2,00,2019-05-02
