datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-01-11,2015-01-11,12:00,BR - Secretaria de Transporte,RJ32,PTS,139.0,ug/m3,manual,2015,1,11,12,2015-01-11 12:00:00
2015-01-17,2015-01-17,12:00,BR - Secretaria de Transporte,RJ32,PTS,207.0,ug/m3,manual,2015,1,17,12,2015-01-17 12:00:00
2015-01-23,2015-01-23,12:00,BR - Secretaria de Transporte,RJ32,PTS,287.0,ug/m3,manual,2015,1,23,12,2015-01-23 12:00:00
2015-01-29,2015-01-29,12:00,BR - Secretaria de Transporte,RJ32,PTS,201.0,ug/m3,manual,2015,1,29,12,2015-01-29 12:00:00
2015-02-04,2015-02-04,12:00,BR - Secretaria de Transporte,RJ32,PTS,315.0,ug/m3,manual,2015,2,4,12,2015-02-04 12:00:00
2015-02-16,2015-02-16,12:00,BR - Secretaria de Transporte,RJ32,PTS,155.0,ug/m3,manual,2015,2,16,12,2015-02-16 12:00:00
2015-02-22,2015-02-22,12:00,BR - Secretaria de Transporte,RJ32,PTS,95.0,ug/m3,manual,2015,2,22,12,2015-02-22 12:00:00
2015-03-06,2015-03-06,12:00,BR - Secretaria de Transporte,RJ32,PTS,191.0,ug/m3,manual,2015,3,6,12,2015-03-06 12:00:00
2015-03-12,2015-03-12,12:00,BR - Secretaria de Transporte,RJ32,PTS,281.0,ug/m3,manual,2015,3,12,12,2015-03-12 12:00:00
2015-03-18,2015-03-18,12:00,BR - Secretaria de Transporte,RJ32,PTS,380.0,ug/m3,manual,2015,3,18,12,2015-03-18 12:00:00
2015-03-24,2015-03-24,12:00,BR - Secretaria de Transporte,RJ32,PTS,284.0,ug/m3,manual,2015,3,24,12,2015-03-24 12:00:00
2015-03-30,2015-03-30,12:00,BR - Secretaria de Transporte,RJ32,PTS,267.0,ug/m3,manual,2015,3,30,12,2015-03-30 12:00:00
2015-04-05,2015-04-05,12:00,BR - Secretaria de Transporte,RJ32,PTS,235.0,ug/m3,manual,2015,4,5,12,2015-04-05 12:00:00
2015-04-11,2015-04-11,12:00,BR - Secretaria de Transporte,RJ32,PTS,159.0,ug/m3,manual,2015,4,11,12,2015-04-11 12:00:00
2015-04-23,2015-04-23,12:00,BR - Secretaria de Transporte,RJ32,PTS,206.0,ug/m3,manual,2015,4,23,12,2015-04-23 12:00:00
2015-04-29,2015-04-29,12:00,BR - Secretaria de Transporte,RJ32,PTS,256.0,ug/m3,manual,2015,4,29,12,2015-04-29 12:00:00
2015-05-05,2015-05-05,12:00,BR - Secretaria de Transporte,RJ32,PTS,197.0,ug/m3,manual,2015,5,5,12,2015-05-05 12:00:00
2015-06-04,2015-06-04,12:00,BR - Secretaria de Transporte,RJ32,PTS,314.0,ug/m3,manual,2015,6,4,12,2015-06-04 12:00:00
2015-06-16,2015-06-16,12:00,BR - Secretaria de Transporte,RJ32,PTS,124.0,ug/m3,manual,2015,6,16,12,2015-06-16 12:00:00
2015-06-22,2015-06-22,12:00,BR - Secretaria de Transporte,RJ32,PTS,416.0,ug/m3,manual,2015,6,22,12,2015-06-22 12:00:00
2015-06-28,2015-06-28,12:00,BR - Secretaria de Transporte,RJ32,PTS,248.0,ug/m3,manual,2015,6,28,12,2015-06-28 12:00:00
2015-07-04,2015-07-04,12:00,BR - Secretaria de Transporte,RJ32,PTS,340.0,ug/m3,manual,2015,7,4,12,2015-07-04 12:00:00
2015-07-10,2015-07-10,12:00,BR - Secretaria de Transporte,RJ32,PTS,282.0,ug/m3,manual,2015,7,10,12,2015-07-10 12:00:00
2016-04-29,2016-04-29,12:00,BR - Secretaria de Transporte,RJ32,PTS,176.0,ug/m3,manual,2016,4,29,12,2016-04-29 12:00:00
2016-05-05,2016-05-05,12:00,BR - Secretaria de Transporte,RJ32,PTS,196.0,ug/m3,manual,2016,5,5,12,2016-05-05 12:00:00
2016-05-11,2016-05-11,12:00,BR - Secretaria de Transporte,RJ32,PTS,223.0,ug/m3,manual,2016,5,11,12,2016-05-11 12:00:00
2016-05-17,2016-05-17,12:00,BR - Secretaria de Transporte,RJ32,PTS,154.0,ug/m3,manual,2016,5,17,12,2016-05-17 12:00:00
2016-05-23,2016-05-23,12:00,BR - Secretaria de Transporte,RJ32,PTS,125.0,ug/m3,manual,2016,5,23,12,2016-05-23 12:00:00
2016-05-29,2016-05-29,12:00,BR - Secretaria de Transporte,RJ32,PTS,251.0,ug/m3,manual,2016,5,29,12,2016-05-29 12:00:00
2016-06-04,2016-06-04,12:00,BR - Secretaria de Transporte,RJ32,PTS,163.0,ug/m3,manual,2016,6,4,12,2016-06-04 12:00:00
2016-06-10,2016-06-10,12:00,BR - Secretaria de Transporte,RJ32,PTS,272.0,ug/m3,manual,2016,6,10,12,2016-06-10 12:00:00
2016-06-16,2016-06-16,12:00,BR - Secretaria de Transporte,RJ32,PTS,334.0,ug/m3,manual,2016,6,16,12,2016-06-16 12:00:00
2016-06-22,2016-06-22,12:00,BR - Secretaria de Transporte,RJ32,PTS,206.0,ug/m3,manual,2016,6,22,12,2016-06-22 12:00:00
2016-06-28,2016-06-28,12:00,BR - Secretaria de Transporte,RJ32,PTS,309.0,ug/m3,manual,2016,6,28,12,2016-06-28 12:00:00
2016-07-04,2016-07-04,12:00,BR - Secretaria de Transporte,RJ32,PTS,454.0,ug/m3,manual,2016,7,4,12,2016-07-04 12:00:00
