datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-01-11,2015-01-11,12:00,DC - INSS,RJ38,MP10,62.0,ug/m3,manual,2015,1,11,12,2015-01-11 12:00:00
2015-01-17,2015-01-17,12:00,DC - INSS,RJ38,MP10,70.0,ug/m3,manual,2015,1,17,12,2015-01-17 12:00:00
2015-02-28,2015-02-28,12:00,DC - INSS,RJ38,MP10,55.0,ug/m3,manual,2015,2,28,12,2015-02-28 12:00:00
2015-03-06,2015-03-06,12:00,DC - INSS,RJ38,MP10,68.0,ug/m3,manual,2015,3,6,12,2015-03-06 12:00:00
2015-03-12,2015-03-12,12:00,DC - INSS,RJ38,MP10,114.0,ug/m3,manual,2015,3,12,12,2015-03-12 12:00:00
2015-03-18,2015-03-18,12:00,DC - INSS,RJ38,MP10,76.0,ug/m3,manual,2015,3,18,12,2015-03-18 12:00:00
2015-03-24,2015-03-24,12:00,DC - INSS,RJ38,MP10,66.0,ug/m3,manual,2015,3,24,12,2015-03-24 12:00:00
2015-03-30,2015-03-30,12:00,DC - INSS,RJ38,MP10,78.0,ug/m3,manual,2015,3,30,12,2015-03-30 12:00:00
2015-04-05,2015-04-05,12:00,DC - INSS,RJ38,MP10,49.0,ug/m3,manual,2015,4,5,12,2015-04-05 12:00:00
2015-04-23,2015-04-23,12:00,DC - INSS,RJ38,MP10,42.0,ug/m3,manual,2015,4,23,12,2015-04-23 12:00:00
2015-04-29,2015-04-29,12:00,DC - INSS,RJ38,MP10,64.0,ug/m3,manual,2015,4,29,12,2015-04-29 12:00:00
2015-05-05,2015-05-05,12:00,DC - INSS,RJ38,MP10,31.0,ug/m3,manual,2015,5,5,12,2015-05-05 12:00:00
2015-05-11,2015-05-11,12:00,DC - INSS,RJ38,MP10,68.0,ug/m3,manual,2015,5,11,12,2015-05-11 12:00:00
2015-05-17,2015-05-17,12:00,DC - INSS,RJ38,MP10,55.0,ug/m3,manual,2015,5,17,12,2015-05-17 12:00:00
2015-05-23,2015-05-23,12:00,DC - INSS,RJ38,MP10,56.0,ug/m3,manual,2015,5,23,12,2015-05-23 12:00:00
2015-05-29,2015-05-29,12:00,DC - INSS,RJ38,MP10,93.0,ug/m3,manual,2015,5,29,12,2015-05-29 12:00:00
2015-06-04,2015-06-04,12:00,DC - INSS,RJ38,MP10,79.0,ug/m3,manual,2015,6,4,12,2015-06-04 12:00:00
2015-06-10,2015-06-10,12:00,DC - INSS,RJ38,MP10,142.0,ug/m3,manual,2015,6,10,12,2015-06-10 12:00:00
