datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-08,2019-01-08,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,178.82,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,135.9,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,113.03,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,93.48,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-13,2019-02-13,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,46.52,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-25,2019-02-25,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,186.03,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,42.1,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,157.07,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,150.2,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,34.21,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,179.55,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,222.2,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,127.87,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,62.77,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,158.54,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,217.53,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,Estrada Riachão (Jardim Excelcior),RJ251,PTS,210.43,µg/m3,manual,2019,5,2,00,2019-05-02
