datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-11-19,2019-11-19,11:00,Fiocruz - Móvel,RJ271,MP10,59.0,µg/m3,automático,2019,11,19,11,2019-11-19 11:00:00
2019-11-19,2019-11-19,12:00,Fiocruz - Móvel,RJ271,MP10,42.0,µg/m3,automático,2019,11,19,12,2019-11-19 12:00:00
2019-11-19,2019-11-19,13:00,Fiocruz - Móvel,RJ271,CO,0.000127,ppm,automático,2019,11,19,13,2019-11-19 13:00:00
2019-11-19,2019-11-19,13:00,Fiocruz - Móvel,RJ271,MP10,25.0,µg/m3,automático,2019,11,19,13,2019-11-19 13:00:00
2019-11-19,2019-11-19,13:00,Fiocruz - Móvel,RJ271,MP2.5,330.96,µg/m3,automático,2019,11,19,13,2019-11-19 13:00:00
2019-11-19,2019-11-19,14:00,Fiocruz - Móvel,RJ271,CO,0.0001,ppm,automático,2019,11,19,14,2019-11-19 14:00:00
2019-11-19,2019-11-19,15:00,Fiocruz - Móvel,RJ271,CO,0.00025,ppm,automático,2019,11,19,15,2019-11-19 15:00:00
2019-11-19,2019-11-19,15:00,Fiocruz - Móvel,RJ271,O3,7.23,µg/m3,automático,2019,11,19,15,2019-11-19 15:00:00
2019-11-19,2019-11-19,16:00,Fiocruz - Móvel,RJ271,CO,0.000131,ppm,automático,2019,11,19,16,2019-11-19 16:00:00
2019-11-19,2019-11-19,16:00,Fiocruz - Móvel,RJ271,MP10,36.0,µg/m3,automático,2019,11,19,16,2019-11-19 16:00:00
2019-11-19,2019-11-19,16:00,Fiocruz - Móvel,RJ271,MP2.5,52.48333333,µg/m3,automático,2019,11,19,16,2019-11-19 16:00:00
2019-11-19,2019-11-19,16:00,Fiocruz - Móvel,RJ271,O3,5.608333333,µg/m3,automático,2019,11,19,16,2019-11-19 16:00:00
2019-11-19,2019-11-19,17:00,Fiocruz - Móvel,RJ271,MP10,27.0,µg/m3,automático,2019,11,19,17,2019-11-19 17:00:00
2019-11-19,2019-11-19,17:00,Fiocruz - Móvel,RJ271,MP2.5,45.025,µg/m3,automático,2019,11,19,17,2019-11-19 17:00:00
2019-11-19,2019-11-19,17:00,Fiocruz - Móvel,RJ271,O3,5.181666667,µg/m3,automático,2019,11,19,17,2019-11-19 17:00:00
2019-11-19,2019-11-19,18:00,Fiocruz - Móvel,RJ271,CO,0.000135,ppm,automático,2019,11,19,18,2019-11-19 18:00:00
2019-11-19,2019-11-19,18:00,Fiocruz - Móvel,RJ271,MP10,28.0,µg/m3,automático,2019,11,19,18,2019-11-19 18:00:00
2019-11-19,2019-11-19,18:00,Fiocruz - Móvel,RJ271,MP2.5,37.23166667,µg/m3,automático,2019,11,19,18,2019-11-19 18:00:00
2019-11-19,2019-11-19,18:00,Fiocruz - Móvel,RJ271,O3,6.595,µg/m3,automático,2019,11,19,18,2019-11-19 18:00:00
