datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-03-03,2019-03-03,00:00,Gisela Urim,RJ262,PTS,31.6,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,Gisela Urim,RJ262,PTS,78.86,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,Gisela Urim,RJ262,PTS,47.08,µg/m3,manual,2019,3,15,00,2019-03-15
2019-04-14,2019-04-14,00:00,Gisela Urim,RJ262,PTS,36.87,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Gisela Urim,RJ262,PTS,64.69,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Gisela Urim,RJ262,PTS,86.04,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,Gisela Urim,RJ262,PTS,63.45,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-14,2019-05-14,00:00,Gisela Urim,RJ262,PTS,71.33,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,Gisela Urim,RJ262,PTS,76.58,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,Gisela Urim,RJ262,PTS,59.13,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,Gisela Urim,RJ262,PTS,86.64,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,Gisela Urim,RJ262,PTS,172.54,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,Gisela Urim,RJ262,PTS,143.21,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,Gisela Urim,RJ262,PTS,160.58,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-25,2019-06-25,00:00,Gisela Urim,RJ262,PTS,130.51,µg/m3,manual,2019,6,25,00,2019-06-25
2019-07-07,2019-07-07,00:00,Gisela Urim,RJ262,PTS,70.02,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-13,2019-07-13,00:00,Gisela Urim,RJ262,PTS,158.75,µg/m3,manual,2019,7,13,00,2019-07-13
2019-07-19,2019-07-19,00:00,Gisela Urim,RJ262,PTS,102.49,µg/m3,manual,2019,7,19,00,2019-07-19
2019-07-31,2019-07-31,00:00,Gisela Urim,RJ262,PTS,130.78,µg/m3,manual,2019,7,31,00,2019-07-31
2019-08-06,2019-08-06,00:00,Gisela Urim,RJ262,PTS,79.98,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-12,2019-08-12,00:00,Gisela Urim,RJ262,PTS,132.41,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-18,2019-08-18,00:00,Gisela Urim,RJ262,PTS,101.7,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-24,2019-08-24,00:00,Gisela Urim,RJ262,PTS,40.67,µg/m3,manual,2019,8,24,00,2019-08-24
2019-08-30,2019-08-30,00:00,Gisela Urim,RJ262,PTS,112.3,µg/m3,manual,2019,8,30,00,2019-08-30
2019-09-05,2019-09-05,00:00,Gisela Urim,RJ262,PTS,110.17,µg/m3,manual,2019,9,5,00,2019-09-05
2019-09-11,2019-09-11,00:00,Gisela Urim,RJ262,PTS,140.28,µg/m3,manual,2019,9,11,00,2019-09-11
2019-09-23,2019-09-23,00:00,Gisela Urim,RJ262,PTS,68.47,µg/m3,manual,2019,9,23,00,2019-09-23
2019-09-29,2019-09-29,00:00,Gisela Urim,RJ262,PTS,54.57,µg/m3,manual,2019,9,29,00,2019-09-29
2019-10-05,2019-10-05,00:00,Gisela Urim,RJ262,PTS,141.83,µg/m3,manual,2019,10,5,00,2019-10-05
2019-10-11,2019-10-11,00:00,Gisela Urim,RJ262,PTS,75.04,µg/m3,manual,2019,10,11,00,2019-10-11
2019-10-17,2019-10-17,00:00,Gisela Urim,RJ262,PTS,70.85,µg/m3,manual,2019,10,17,00,2019-10-17
2019-10-23,2019-10-23,00:00,Gisela Urim,RJ262,PTS,71.03,µg/m3,manual,2019,10,23,00,2019-10-23
2019-10-29,2019-10-29,00:00,Gisela Urim,RJ262,PTS,187.92,µg/m3,manual,2019,10,29,00,2019-10-29
2019-11-04,2019-11-04,00:00,Gisela Urim,RJ262,PTS,120.84,µg/m3,manual,2019,11,4,00,2019-11-04
2019-11-10,2019-11-10,00:00,Gisela Urim,RJ262,PTS,52.6,µg/m3,manual,2019,11,10,00,2019-11-10
2019-11-16,2019-11-16,00:00,Gisela Urim,RJ262,PTS,45.1,µg/m3,manual,2019,11,16,00,2019-11-16
2019-11-22,2019-11-22,00:00,Gisela Urim,RJ262,PTS,70.26,µg/m3,manual,2019,11,22,00,2019-11-22
2019-11-28,2019-11-28,00:00,Gisela Urim,RJ262,PTS,44.46,µg/m3,manual,2019,11,28,00,2019-11-28
2019-12-04,2019-12-04,00:00,Gisela Urim,RJ262,PTS,102.9,µg/m3,manual,2019,12,4,00,2019-12-04
2019-12-16,2019-12-16,00:00,Gisela Urim,RJ262,PTS,88.31,µg/m3,manual,2019,12,16,00,2019-12-16
2019-12-22,2019-12-22,00:00,Gisela Urim,RJ262,PTS,40.09,µg/m3,manual,2019,12,22,00,2019-12-22
2019-12-28,2019-12-28,00:00,Gisela Urim,RJ262,PTS,86.02,µg/m3,manual,2019,12,28,00,2019-12-28
2020-01-03,2020-01-03,00:00,Gisela Urim,RJ262,PTS,77.35,µg/m3,manual,2020,1,3,00,2020-01-03
2020-01-09,2020-01-09,00:00,Gisela Urim,RJ262,PTS,76.29,µg/m3,manual,2020,1,9,00,2020-01-09
