datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-01-05,2015-01-05,00:00,Guapimirim (APA),RJ31,MP10,8.259,ug/m3,manual,2015,1,5,00,2015-01-05 00:00:00
2015-01-11,2015-01-11,00:00,Guapimirim (APA),RJ31,MP10,56.31,ug/m3,manual,2015,1,11,00,2015-01-11 00:00:00
2015-01-17,2015-01-17,00:00,Guapimirim (APA),RJ31,MP10,17.789,ug/m3,manual,2015,1,17,00,2015-01-17 00:00:00
2015-01-23,2015-01-23,00:00,Guapimirim (APA),RJ31,MP10,18.719,ug/m3,manual,2015,1,23,00,2015-01-23 00:00:00
2015-02-04,2015-02-04,00:00,Guapimirim (APA),RJ31,MP10,9.82,ug/m3,manual,2015,2,4,00,2015-02-04 00:00:00
2015-02-10,2015-02-10,00:00,Guapimirim (APA),RJ31,MP10,12.039,ug/m3,manual,2015,2,10,00,2015-02-10 00:00:00
2015-02-16,2015-02-16,00:00,Guapimirim (APA),RJ31,MP10,6.36,ug/m3,manual,2015,2,16,00,2015-02-16 00:00:00
2015-02-22,2015-02-22,00:00,Guapimirim (APA),RJ31,MP10,9.98,ug/m3,manual,2015,2,22,00,2015-02-22 00:00:00
2015-03-06,2015-03-06,00:00,Guapimirim (APA),RJ31,MP10,14.099,ug/m3,manual,2015,3,6,00,2015-03-06 00:00:00
2015-03-12,2015-03-12,00:00,Guapimirim (APA),RJ31,MP10,17.3,ug/m3,manual,2015,3,12,00,2015-03-12 00:00:00
2015-03-18,2015-03-18,00:00,Guapimirim (APA),RJ31,MP10,17.8,ug/m3,manual,2015,3,18,00,2015-03-18 00:00:00
2015-03-24,2015-03-24,00:00,Guapimirim (APA),RJ31,MP10,9.4,ug/m3,manual,2015,3,24,00,2015-03-24 00:00:00
2015-03-30,2015-03-30,00:00,Guapimirim (APA),RJ31,MP10,12.5,ug/m3,manual,2015,3,30,00,2015-03-30 00:00:00
2015-04-05,2015-04-05,00:00,Guapimirim (APA),RJ31,MP10,14.598,ug/m3,manual,2015,4,5,00,2015-04-05 00:00:00
2015-04-11,2015-04-11,00:00,Guapimirim (APA),RJ31,MP10,24.187,ug/m3,manual,2015,4,11,00,2015-04-11 00:00:00
2015-04-23,2015-04-23,00:00,Guapimirim (APA),RJ31,MP10,2.673,ug/m3,manual,2015,4,23,00,2015-04-23 00:00:00
2015-04-29,2015-04-29,00:00,Guapimirim (APA),RJ31,MP10,11.991,ug/m3,manual,2015,4,29,00,2015-04-29 00:00:00
2015-05-11,2015-05-11,00:00,Guapimirim (APA),RJ31,MP10,5.57,ug/m3,manual,2015,5,11,00,2015-05-11 00:00:00
2015-05-17,2015-05-17,00:00,Guapimirim (APA),RJ31,MP10,4.679,ug/m3,manual,2015,5,17,00,2015-05-17 00:00:00
2015-05-23,2015-05-23,00:00,Guapimirim (APA),RJ31,MP10,13.99,ug/m3,manual,2015,5,23,00,2015-05-23 00:00:00
2015-05-29,2015-05-29,00:00,Guapimirim (APA),RJ31,MP10,13.89,ug/m3,manual,2015,5,29,00,2015-05-29 00:00:00
2015-06-04,2015-06-04,00:00,Guapimirim (APA),RJ31,MP10,4.889,ug/m3,manual,2015,6,4,00,2015-06-04 00:00:00
2015-06-10,2015-06-10,00:00,Guapimirim (APA),RJ31,MP10,15.539,ug/m3,manual,2015,6,10,00,2015-06-10 00:00:00
2015-07-04,2015-07-04,00:00,Guapimirim (APA),RJ31,MP10,18.539,ug/m3,manual,2015,7,4,00,2015-07-04 00:00:00
2015-07-10,2015-07-10,00:00,Guapimirim (APA),RJ31,MP10,20.079,ug/m3,manual,2015,7,10,00,2015-07-10 00:00:00
2015-07-16,2015-07-16,00:00,Guapimirim (APA),RJ31,MP10,28.829,ug/m3,manual,2015,7,16,00,2015-07-16 00:00:00
2015-07-22,2015-07-22,00:00,Guapimirim (APA),RJ31,MP10,0.46,ug/m3,manual,2015,7,22,00,2015-07-22 00:00:00
2015-07-28,2015-07-28,00:00,Guapimirim (APA),RJ31,MP10,3.69,ug/m3,manual,2015,7,28,00,2015-07-28 00:00:00
2015-08-03,2015-08-03,00:00,Guapimirim (APA),RJ31,MP10,23.57,ug/m3,manual,2015,8,3,00,2015-08-03 00:00:00
2015-08-09,2015-08-09,00:00,Guapimirim (APA),RJ31,MP10,10.4,ug/m3,manual,2015,8,9,00,2015-08-09 00:00:00
2015-08-15,2015-08-15,00:00,Guapimirim (APA),RJ31,MP10,15.33,ug/m3,manual,2015,8,15,00,2015-08-15 00:00:00
2015-08-21,2015-08-21,00:00,Guapimirim (APA),RJ31,MP10,8.089,ug/m3,manual,2015,8,21,00,2015-08-21 00:00:00
2015-09-02,2015-09-02,00:00,Guapimirim (APA),RJ31,MP10,18.09,ug/m3,manual,2015,9,2,00,2015-09-02 00:00:00
2015-09-08,2015-09-08,00:00,Guapimirim (APA),RJ31,MP10,3.83,ug/m3,manual,2015,9,8,00,2015-09-08 00:00:00
2015-09-14,2015-09-14,00:00,Guapimirim (APA),RJ31,MP10,1.055,ug/m3,manual,2015,9,14,00,2015-09-14 00:00:00
2015-09-20,2015-09-20,00:00,Guapimirim (APA),RJ31,MP10,25.14,ug/m3,manual,2015,9,20,00,2015-09-20 00:00:00
2015-09-26,2015-09-26,00:00,Guapimirim (APA),RJ31,MP10,50.511,ug/m3,manual,2015,9,26,00,2015-09-26 00:00:00
2015-10-02,2015-10-02,00:00,Guapimirim (APA),RJ31,MP10,26.808,ug/m3,manual,2015,10,2,00,2015-10-02 00:00:00
2015-10-08,2015-10-08,00:00,Guapimirim (APA),RJ31,MP10,14.208,ug/m3,manual,2015,10,8,00,2015-10-08 00:00:00
2015-10-14,2015-10-14,00:00,Guapimirim (APA),RJ31,MP10,61.744,ug/m3,manual,2015,10,14,00,2015-10-14 00:00:00
2015-10-20,2015-10-20,00:00,Guapimirim (APA),RJ31,MP10,29.02,ug/m3,manual,2015,10,20,00,2015-10-20 00:00:00
2015-10-26,2015-10-26,00:00,Guapimirim (APA),RJ31,MP10,9.61,ug/m3,manual,2015,10,26,00,2015-10-26 00:00:00
2015-11-01,2015-11-01,00:00,Guapimirim (APA),RJ31,MP10,10.476,ug/m3,manual,2015,11,1,00,2015-11-01 00:00:00
2015-11-07,2015-11-07,00:00,Guapimirim (APA),RJ31,MP10,1.352,ug/m3,manual,2015,11,7,00,2015-11-07 00:00:00
2015-11-13,2015-11-13,00:00,Guapimirim (APA),RJ31,MP10,10.759,ug/m3,manual,2015,11,13,00,2015-11-13 00:00:00
2015-11-19,2015-11-19,00:00,Guapimirim (APA),RJ31,MP10,8.317,ug/m3,manual,2015,11,19,00,2015-11-19 00:00:00
2015-11-25,2015-11-25,00:00,Guapimirim (APA),RJ31,MP10,9.65,ug/m3,manual,2015,11,25,00,2015-11-25 00:00:00
2015-12-01,2015-12-01,00:00,Guapimirim (APA),RJ31,MP10,10.578,ug/m3,manual,2015,12,1,00,2015-12-01 00:00:00
2015-12-07,2015-12-07,00:00,Guapimirim (APA),RJ31,MP10,12.292,ug/m3,manual,2015,12,7,00,2015-12-07 00:00:00
2015-12-13,2015-12-13,00:00,Guapimirim (APA),RJ31,MP10,13.168,ug/m3,manual,2015,12,13,00,2015-12-13 00:00:00
2015-12-19,2015-12-19,00:00,Guapimirim (APA),RJ31,MP10,22.789,ug/m3,manual,2015,12,19,00,2015-12-19 00:00:00
2015-12-25,2015-12-25,00:00,Guapimirim (APA),RJ31,MP10,19.884,ug/m3,manual,2015,12,25,00,2015-12-25 00:00:00
2015-12-31,2015-12-31,00:00,Guapimirim (APA),RJ31,MP10,14.907,ug/m3,manual,2015,12,31,00,2015-12-31 00:00:00
2015-01-05,2015-01-05,00:00,Guapimirim (APA),RJ31,PTS,25.6,ug/m3,manual,2015,1,5,00,2015-01-05 00:00:00
2015-01-11,2015-01-11,00:00,Guapimirim (APA),RJ31,PTS,62.17,ug/m3,manual,2015,1,11,00,2015-01-11 00:00:00
2015-01-17,2015-01-17,00:00,Guapimirim (APA),RJ31,PTS,68.299,ug/m3,manual,2015,1,17,00,2015-01-17 00:00:00
2015-01-23,2015-01-23,00:00,Guapimirim (APA),RJ31,PTS,26.899,ug/m3,manual,2015,1,23,00,2015-01-23 00:00:00
2015-02-04,2015-02-04,00:00,Guapimirim (APA),RJ31,PTS,46.729,ug/m3,manual,2015,2,4,00,2015-02-04 00:00:00
2015-02-10,2015-02-10,00:00,Guapimirim (APA),RJ31,PTS,20.42,ug/m3,manual,2015,2,10,00,2015-02-10 00:00:00
2015-02-16,2015-02-16,00:00,Guapimirim (APA),RJ31,PTS,23.8,ug/m3,manual,2015,2,16,00,2015-02-16 00:00:00
2015-02-22,2015-02-22,00:00,Guapimirim (APA),RJ31,PTS,19.039,ug/m3,manual,2015,2,22,00,2015-02-22 00:00:00
2015-02-28,2015-02-28,00:00,Guapimirim (APA),RJ31,PTS,37.07,ug/m3,manual,2015,2,28,00,2015-02-28 00:00:00
2015-03-06,2015-03-06,00:00,Guapimirim (APA),RJ31,PTS,37.399,ug/m3,manual,2015,3,6,00,2015-03-06 00:00:00
2015-03-12,2015-03-12,00:00,Guapimirim (APA),RJ31,PTS,24.8,ug/m3,manual,2015,3,12,00,2015-03-12 00:00:00
2015-03-18,2015-03-18,00:00,Guapimirim (APA),RJ31,PTS,28.899,ug/m3,manual,2015,3,18,00,2015-03-18 00:00:00
2015-03-24,2015-03-24,00:00,Guapimirim (APA),RJ31,PTS,11.3,ug/m3,manual,2015,3,24,00,2015-03-24 00:00:00
2015-03-30,2015-03-30,00:00,Guapimirim (APA),RJ31,PTS,17.199,ug/m3,manual,2015,3,30,00,2015-03-30 00:00:00
2015-04-05,2015-04-05,00:00,Guapimirim (APA),RJ31,PTS,21.469,ug/m3,manual,2015,4,5,00,2015-04-05 00:00:00
2015-04-11,2015-04-11,00:00,Guapimirim (APA),RJ31,PTS,20.129,ug/m3,manual,2015,4,11,00,2015-04-11 00:00:00
2015-04-17,2015-04-17,00:00,Guapimirim (APA),RJ31,PTS,38.63,ug/m3,manual,2015,4,17,00,2015-04-17 00:00:00
2015-04-23,2015-04-23,00:00,Guapimirim (APA),RJ31,PTS,12.939,ug/m3,manual,2015,4,23,00,2015-04-23 00:00:00
2015-04-29,2015-04-29,00:00,Guapimirim (APA),RJ31,PTS,28.35,ug/m3,manual,2015,4,29,00,2015-04-29 00:00:00
2015-05-05,2015-05-05,00:00,Guapimirim (APA),RJ31,PTS,8.9,ug/m3,manual,2015,5,5,00,2015-05-05 00:00:00
2015-05-11,2015-05-11,00:00,Guapimirim (APA),RJ31,PTS,12.73,ug/m3,manual,2015,5,11,00,2015-05-11 00:00:00
2015-05-17,2015-05-17,00:00,Guapimirim (APA),RJ31,PTS,10.029,ug/m3,manual,2015,5,17,00,2015-05-17 00:00:00
2015-05-23,2015-05-23,00:00,Guapimirim (APA),RJ31,PTS,21.85,ug/m3,manual,2015,5,23,00,2015-05-23 00:00:00
2015-05-29,2015-05-29,00:00,Guapimirim (APA),RJ31,PTS,22.62,ug/m3,manual,2015,5,29,00,2015-05-29 00:00:00
2015-06-04,2015-06-04,00:00,Guapimirim (APA),RJ31,PTS,23.709,ug/m3,manual,2015,6,4,00,2015-06-04 00:00:00
2015-06-10,2015-06-10,00:00,Guapimirim (APA),RJ31,PTS,38.32,ug/m3,manual,2015,6,10,00,2015-06-10 00:00:00
2015-06-22,2015-06-22,00:00,Guapimirim (APA),RJ31,PTS,7.799,ug/m3,manual,2015,6,22,00,2015-06-22 00:00:00
2015-06-28,2015-06-28,00:00,Guapimirim (APA),RJ31,PTS,7.679,ug/m3,manual,2015,6,28,00,2015-06-28 00:00:00
2015-07-04,2015-07-04,00:00,Guapimirim (APA),RJ31,PTS,33.039,ug/m3,manual,2015,7,4,00,2015-07-04 00:00:00
2015-07-10,2015-07-10,00:00,Guapimirim (APA),RJ31,PTS,44.469,ug/m3,manual,2015,7,10,00,2015-07-10 00:00:00
2015-07-22,2015-07-22,00:00,Guapimirim (APA),RJ31,PTS,10.82,ug/m3,manual,2015,7,22,00,2015-07-22 00:00:00
2015-07-28,2015-07-28,00:00,Guapimirim (APA),RJ31,PTS,12.32,ug/m3,manual,2015,7,28,00,2015-07-28 00:00:00
2015-08-03,2015-08-03,00:00,Guapimirim (APA),RJ31,PTS,45.579,ug/m3,manual,2015,8,3,00,2015-08-03 00:00:00
2015-08-09,2015-08-09,00:00,Guapimirim (APA),RJ31,PTS,22.899,ug/m3,manual,2015,8,9,00,2015-08-09 00:00:00
2015-08-15,2015-08-15,00:00,Guapimirim (APA),RJ31,PTS,35.96,ug/m3,manual,2015,8,15,00,2015-08-15 00:00:00
