datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-07-04,2015-07-04,12:00,Ilha Grande - UERJ,RJ117,MP2.5,19.0,ug/m3,manual,2015,7,4,12,2015-07-04 12:00:00
2015-07-22,2015-07-22,12:00,Ilha Grande - UERJ,RJ117,MP2.5,4.0,ug/m3,manual,2015,7,22,12,2015-07-22 12:00:00
2015-07-28,2015-07-28,12:00,Ilha Grande - UERJ,RJ117,MP2.5,8.0,ug/m3,manual,2015,7,28,12,2015-07-28 12:00:00
2015-08-03,2015-08-03,12:00,Ilha Grande - UERJ,RJ117,MP2.5,8.0,ug/m3,manual,2015,8,3,12,2015-08-03 12:00:00
2015-08-09,2015-08-09,12:00,Ilha Grande - UERJ,RJ117,MP2.5,8.0,ug/m3,manual,2015,8,9,12,2015-08-09 12:00:00
2015-08-15,2015-08-15,12:00,Ilha Grande - UERJ,RJ117,MP2.5,7.0,ug/m3,manual,2015,8,15,12,2015-08-15 12:00:00
2015-08-21,2015-08-21,12:00,Ilha Grande - UERJ,RJ117,MP2.5,3.0,ug/m3,manual,2015,8,21,12,2015-08-21 12:00:00
2015-08-27,2015-08-27,12:00,Ilha Grande - UERJ,RJ117,MP2.5,8.0,ug/m3,manual,2015,8,27,12,2015-08-27 12:00:00
2015-09-20,2015-09-20,12:00,Ilha Grande - UERJ,RJ117,MP2.5,9.0,ug/m3,manual,2015,9,20,12,2015-09-20 12:00:00
2015-09-26,2015-09-26,12:00,Ilha Grande - UERJ,RJ117,MP2.5,4.0,ug/m3,manual,2015,9,26,12,2015-09-26 12:00:00
2015-10-02,2015-10-02,12:00,Ilha Grande - UERJ,RJ117,MP2.5,12.0,ug/m3,manual,2015,10,2,12,2015-10-02 12:00:00
2015-10-08,2015-10-08,12:00,Ilha Grande - UERJ,RJ117,MP2.5,9.0,ug/m3,manual,2015,10,8,12,2015-10-08 12:00:00
2015-10-14,2015-10-14,12:00,Ilha Grande - UERJ,RJ117,MP2.5,14.0,ug/m3,manual,2015,10,14,12,2015-10-14 12:00:00
2015-10-20,2015-10-20,12:00,Ilha Grande - UERJ,RJ117,MP2.5,9.0,ug/m3,manual,2015,10,20,12,2015-10-20 12:00:00
2015-10-26,2015-10-26,12:00,Ilha Grande - UERJ,RJ117,MP2.5,3.0,ug/m3,manual,2015,10,26,12,2015-10-26 12:00:00
2015-11-07,2015-11-07,12:00,Ilha Grande - UERJ,RJ117,MP2.5,7.0,ug/m3,manual,2015,11,7,12,2015-11-07 12:00:00
2015-11-13,2015-11-13,12:00,Ilha Grande - UERJ,RJ117,MP2.5,6.0,ug/m3,manual,2015,11,13,12,2015-11-13 12:00:00
