datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2022-01-04,2022-01-04,00:00:00,Inoã - Maricá,RJ298,PTS,61.13,ug/m3,Manual,2022,1,4,00,2022-01-04
2022-01-10,2022-01-10,00:00:00,Inoã - Maricá,RJ298,PTS,22.39,ug/m3,Manual,2022,1,10,00,2022-01-10
2022-01-16,2022-01-16,00:00:00,Inoã - Maricá,RJ298,PTS,21.04,ug/m3,Manual,2022,1,16,00,2022-01-16
2022-01-22,2022-01-22,00:00:00,Inoã - Maricá,RJ298,PTS,47.79,ug/m3,Manual,2022,1,22,00,2022-01-22
2022-01-28,2022-01-28,00:00:00,Inoã - Maricá,RJ298,PTS,62.51,ug/m3,Manual,2022,1,28,00,2022-01-28
2022-02-03,2022-02-03,00:00:00,Inoã - Maricá,RJ298,PTS,30.26,ug/m3,Manual,2022,2,3,00,2022-02-03
2022-02-09,2022-02-09,00:00:00,Inoã - Maricá,RJ298,PTS,8.13,ug/m3,Manual,2022,2,9,00,2022-02-09
2022-02-21,2022-02-21,00:00:00,Inoã - Maricá,RJ298,PTS,42.74,ug/m3,Manual,2022,2,21,00,2022-02-21
2022-02-27,2022-02-27,00:00:00,Inoã - Maricá,RJ298,PTS,28.07,ug/m3,Manual,2022,2,27,00,2022-02-27
2022-03-05,2022-03-05,00:00:00,Inoã - Maricá,RJ298,PTS,69.6,ug/m3,Manual,2022,3,5,00,2022-03-05
2022-03-11,2022-03-11,00:00:00,Inoã - Maricá,RJ298,PTS,95.7,ug/m3,Manual,2022,3,11,00,2022-03-11
2022-03-17,2022-03-17,00:00:00,Inoã - Maricá,RJ298,PTS,83.72,ug/m3,Manual,2022,3,17,00,2022-03-17
2022-03-23,2022-03-23,00:00:00,Inoã - Maricá,RJ298,PTS,106.06,ug/m3,Manual,2022,3,23,00,2022-03-23
2022-04-04,2022-04-04,00:00:00,Inoã - Maricá,RJ298,PTS,58.93,ug/m3,Manual,2022,4,4,00,2022-04-04
