datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-01-05,2015-01-05,00:00,Itb - Auto Jacu,RJ29,MP10,20.969,ug/m3,manual,2015,1,5,00,2015-01-05 00:00:00
2015-01-11,2015-01-11,00:00,Itb - Auto Jacu,RJ29,MP10,43.45,ug/m3,manual,2015,1,11,00,2015-01-11 00:00:00
2015-01-17,2015-01-17,00:00,Itb - Auto Jacu,RJ29,MP10,47.46,ug/m3,manual,2015,1,17,00,2015-01-17 00:00:00
2015-01-23,2015-01-23,00:00,Itb - Auto Jacu,RJ29,MP10,20.179,ug/m3,manual,2015,1,23,00,2015-01-23 00:00:00
2015-01-29,2015-01-29,00:00,Itb - Auto Jacu,RJ29,MP10,29.41,ug/m3,manual,2015,1,29,00,2015-01-29 00:00:00
2015-02-04,2015-02-04,00:00,Itb - Auto Jacu,RJ29,MP10,10.679,ug/m3,manual,2015,2,4,00,2015-02-04 00:00:00
2015-02-16,2015-02-16,00:00,Itb - Auto Jacu,RJ29,MP10,9.49,ug/m3,manual,2015,2,16,00,2015-02-16 00:00:00
2015-02-22,2015-02-22,00:00,Itb - Auto Jacu,RJ29,MP10,9.369,ug/m3,manual,2015,2,22,00,2015-02-22 00:00:00
2015-03-06,2015-03-06,00:00,Itb - Auto Jacu,RJ29,MP10,18.5,ug/m3,manual,2015,3,6,00,2015-03-06 00:00:00
2015-03-12,2015-03-12,00:00,Itb - Auto Jacu,RJ29,MP10,24.3,ug/m3,manual,2015,3,12,00,2015-03-12 00:00:00
2015-03-18,2015-03-18,00:00,Itb - Auto Jacu,RJ29,MP10,16.399,ug/m3,manual,2015,3,18,00,2015-03-18 00:00:00
2015-03-24,2015-03-24,00:00,Itb - Auto Jacu,RJ29,MP10,12.0,ug/m3,manual,2015,3,24,00,2015-03-24 00:00:00
2015-03-30,2015-03-30,00:00,Itb - Auto Jacu,RJ29,MP10,10.5,ug/m3,manual,2015,3,30,00,2015-03-30 00:00:00
2015-04-05,2015-04-05,00:00,Itb - Auto Jacu,RJ29,MP10,11.585,ug/m3,manual,2015,4,5,00,2015-04-05 00:00:00
2015-04-11,2015-04-11,00:00,Itb - Auto Jacu,RJ29,MP10,17.963,ug/m3,manual,2015,4,11,00,2015-04-11 00:00:00
