datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Itb - Badureco,RJ275,PTS,67.12,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-02,2019-01-02,00:00,Itb - Badureco,RJ275,PTS,182.2,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Itb - Badureco,RJ275,PTS,79.76,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-08,2019-01-08,00:00,Itb - Badureco,RJ275,PTS,225.36,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Itb - Badureco,RJ275,PTS,79.19,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-14,2019-01-14,00:00,Itb - Badureco,RJ275,PTS,311.46,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Itb - Badureco,RJ275,PTS,69.18,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,Itb - Badureco,RJ275,PTS,36.24,µg/m3,manual,2019,1,26,00,2019-01-26
2019-01-26,2019-01-26,00:00,Itb - Badureco,RJ275,PTS,64.37,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,Itb - Badureco,RJ275,PTS,110.8,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-13,2019-02-13,00:00,Itb - Badureco,RJ275,PTS,40.19,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Itb - Badureco,RJ275,PTS,44.14,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,Itb - Badureco,RJ275,PTS,63.78,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,Itb - Badureco,RJ275,PTS,37.84,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,Itb - Badureco,RJ275,PTS,67.25,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,Itb - Badureco,RJ275,PTS,49.36,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,Itb - Badureco,RJ275,PTS,25.67,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Itb - Badureco,RJ275,PTS,30.24,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Itb - Badureco,RJ275,PTS,54.38,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Itb - Badureco,RJ275,PTS,76.56,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Itb - Badureco,RJ275,PTS,33.43,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Itb - Badureco,RJ275,PTS,40.56,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Itb - Badureco,RJ275,PTS,97.41,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,Itb - Badureco,RJ275,PTS,64.71,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-20,2019-05-20,00:00,Itb - Badureco,RJ275,PTS,57.1,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,Itb - Badureco,RJ275,PTS,55.6,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,Itb - Badureco,RJ275,PTS,78.5,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-19,2019-06-19,00:00,Itb - Badureco,RJ275,PTS,102.19,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-25,2019-06-25,00:00,Itb - Badureco,RJ275,PTS,95.85,µg/m3,manual,2019,6,25,00,2019-06-25
2020-01-03,2020-01-03,00:00,Itb - Badureco,RJ275,PTS,0.0,µg/m3,manual,2020,1,3,00,2020-01-03
2020-01-09,2020-01-09,00:00,Itb - Badureco,RJ275,PTS,87.77,µg/m3,manual,2020,1,9,00,2020-01-09
2020-01-15,2020-01-15,00:00,Itb - Badureco,RJ275,PTS,31.16,µg/m3,manual,2020,1,15,00,2020-01-15
2020-01-21,2020-01-21,00:00,Itb - Badureco,RJ275,PTS,183.74,µg/m3,manual,2020,1,21,00,2020-01-21
2020-01-27,2020-01-27,00:00,Itb - Badureco,RJ275,PTS,135.18,µg/m3,manual,2020,1,27,00,2020-01-27
2020-02-02,2020-02-02,00:00,Itb - Badureco,RJ275,PTS,0.0,µg/m3,manual,2020,2,2,00,2020-02-02
2020-02-08,2020-02-08,00:00,Itb - Badureco,RJ275,PTS,0.0,µg/m3,manual,2020,2,8,00,2020-02-08
2020-02-14,2020-02-14,00:00,Itb - Badureco,RJ275,PTS,0.0,µg/m3,manual,2020,2,14,00,2020-02-14
2020-02-20,2020-02-20,00:00,Itb - Badureco,RJ275,PTS,0.0,µg/m3,manual,2020,2,20,00,2020-02-20
2020-02-26,2020-02-26,00:00,Itb - Badureco,RJ275,PTS,0.0,µg/m3,manual,2020,2,26,00,2020-02-26
2020-03-03,2020-03-03,00:00,Itb - Badureco,RJ275,PTS,79.06,µg/m3,manual,2020,3,3,00,2020-03-03
2020-03-09,2020-03-09,00:00,Itb - Badureco,RJ275,PTS,74.1,µg/m3,manual,2020,3,9,00,2020-03-09
2020-03-15,2020-03-15,00:00,Itb - Badureco,RJ275,PTS,160.3,µg/m3,manual,2020,3,15,00,2020-03-15
2020-03-21,2020-03-21,00:00,Itb - Badureco,RJ275,PTS,0.0,µg/m3,manual,2020,3,21,00,2020-03-21
2020-03-27,2020-03-27,00:00,Itb - Badureco,RJ275,PTS,185.84,µg/m3,manual,2020,3,27,00,2020-03-27
2020-04-02,2020-04-02,00:00,Itb - Badureco,RJ275,PTS,48.95,µg/m3,manual,2020,4,2,00,2020-04-02
2020-04-08,2020-04-08,00:00,Itb - Badureco,RJ275,PTS,76.9,µg/m3,manual,2020,4,8,00,2020-04-08
