datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-08,2019-01-08,00:00,Itb - Fazenda do Macuco,RJ118,MP10,24.25,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-08,2019-01-08,00:00,Itb - Fazenda do Macuco,RJ118,PTS,35.66,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Itb - Fazenda do Macuco,RJ118,MP10,16.17,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-14,2019-01-14,00:00,Itb - Fazenda do Macuco,RJ118,PTS,26.59,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Itb - Fazenda do Macuco,RJ118,MP10,26.67,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-20,2019-01-20,00:00,Itb - Fazenda do Macuco,RJ118,PTS,44.92,µg/m3,manual,2019,1,20,00,2019-01-20
2019-02-01,2019-02-01,00:00,Itb - Fazenda do Macuco,RJ118,MP10,37.47,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-01,2019-02-01,00:00,Itb - Fazenda do Macuco,RJ118,PTS,55.32,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Itb - Fazenda do Macuco,RJ118,MP10,14.97,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-07,2019-02-07,00:00,Itb - Fazenda do Macuco,RJ118,PTS,19.54,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Itb - Fazenda do Macuco,RJ118,MP10,24.23,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-13,2019-02-13,00:00,Itb - Fazenda do Macuco,RJ118,PTS,29.57,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Itb - Fazenda do Macuco,RJ118,MP10,19.36,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-19,2019-02-19,00:00,Itb - Fazenda do Macuco,RJ118,PTS,24.47,µg/m3,manual,2019,2,19,00,2019-02-19
2019-03-03,2019-03-03,00:00,Itb - Fazenda do Macuco,RJ118,MP10,23.6,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-03,2019-03-03,00:00,Itb - Fazenda do Macuco,RJ118,PTS,26.95,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,Itb - Fazenda do Macuco,RJ118,MP10,22.33,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-09,2019-03-09,00:00,Itb - Fazenda do Macuco,RJ118,PTS,28.99,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,Itb - Fazenda do Macuco,RJ118,MP10,18.94,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-15,2019-03-15,00:00,Itb - Fazenda do Macuco,RJ118,PTS,23.8,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-27,2019-03-27,00:00,Itb - Fazenda do Macuco,RJ118,MP10,17.18,µg/m3,manual,2019,3,27,00,2019-03-27
2019-03-27,2019-03-27,00:00,Itb - Fazenda do Macuco,RJ118,PTS,29.21,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Itb - Fazenda do Macuco,RJ118,MP10,19.23,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-02,2019-04-02,00:00,Itb - Fazenda do Macuco,RJ118,PTS,30.48,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Itb - Fazenda do Macuco,RJ118,MP10,29.5,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-08,2019-04-08,00:00,Itb - Fazenda do Macuco,RJ118,PTS,50.92,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Itb - Fazenda do Macuco,RJ118,MP10,14.08,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-14,2019-04-14,00:00,Itb - Fazenda do Macuco,RJ118,PTS,17.77,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Itb - Fazenda do Macuco,RJ118,MP10,23.59,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-20,2019-04-20,00:00,Itb - Fazenda do Macuco,RJ118,PTS,30.99,µg/m3,manual,2019,4,20,00,2019-04-20
