datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Itb - Itambi,RJ119,MP10,18.8,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Itb - Itambi,RJ119,MP10,37.2,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-08,2019-01-08,00:00,Itb - Itambi,RJ119,PTS,83.34,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Itb - Itambi,RJ119,MP10,42.8,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-14,2019-01-14,00:00,Itb - Itambi,RJ119,PTS,71.79,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Itb - Itambi,RJ119,MP10,39.7,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-20,2019-01-20,00:00,Itb - Itambi,RJ119,PTS,72.87,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,Itb - Itambi,RJ119,MP10,29.2,µg/m3,manual,2019,1,26,00,2019-01-26
2019-01-26,2019-01-26,00:00,Itb - Itambi,RJ119,PTS,43.97,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,Itb - Itambi,RJ119,MP10,61.945,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-01,2019-02-01,00:00,Itb - Itambi,RJ119,PTS,116.16,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Itb - Itambi,RJ119,MP10,20.795,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-07,2019-02-07,00:00,Itb - Itambi,RJ119,PTS,30.54,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Itb - Itambi,RJ119,MP10,30.495,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-13,2019-02-13,00:00,Itb - Itambi,RJ119,PTS,44.66,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Itb - Itambi,RJ119,MP10,30.405,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-19,2019-02-19,00:00,Itb - Itambi,RJ119,PTS,43.16,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,Itb - Itambi,RJ119,MP10,47.9,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,Itb - Itambi,RJ119,MP10,26.435,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-03,2019-03-03,00:00,Itb - Itambi,RJ119,PTS,38.55,µg/m3,manual,2019,3,3,00,2019-03-03
