datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2022-02-09,2022-02-09,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,36.15,ug/m3,Manual,2022,2,9,00,2022-02-09
2022-02-15,2022-02-15,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,42.54,ug/m3,Manual,2022,2,15,00,2022-02-15
2022-02-21,2022-02-21,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,29.34,ug/m3,Manual,2022,2,21,00,2022-02-21
2022-02-27,2022-02-27,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,39.18,ug/m3,Manual,2022,2,27,00,2022-02-27
2022-03-05,2022-03-05,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,44.64,ug/m3,Manual,2022,3,5,00,2022-03-05
2022-03-17,2022-03-17,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,41.56,ug/m3,Manual,2022,3,17,00,2022-03-17
2022-03-23,2022-03-23,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,19.73,ug/m3,Manual,2022,3,23,00,2022-03-23
2022-03-29,2022-03-29,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,33.61,ug/m3,Manual,2022,3,29,00,2022-03-29
2022-04-04,2022-04-04,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,29.43,ug/m3,Manual,2022,4,4,00,2022-04-04
2022-04-10,2022-04-10,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,28.99,ug/m3,Manual,2022,4,10,00,2022-04-10
2022-04-22,2022-04-22,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,44.24,ug/m3,Manual,2022,4,22,00,2022-04-22
2022-04-28,2022-04-28,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,67.91,ug/m3,Manual,2022,4,28,00,2022-04-28
2022-05-04,2022-05-04,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,41.17,ug/m3,Manual,2022,5,4,00,2022-05-04
2022-05-10,2022-05-10,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,36.7,ug/m3,Manual,2022,5,10,00,2022-05-10
2022-05-16,2022-05-16,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,15.64,ug/m3,Manual,2022,5,16,00,2022-05-16
2022-05-22,2022-05-22,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,31.05,ug/m3,Manual,2022,5,22,00,2022-05-22
2022-05-28,2022-05-28,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,28.61,ug/m3,Manual,2022,5,28,00,2022-05-28
2022-06-03,2022-06-03,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,16.75,ug/m3,Manual,2022,6,3,00,2022-06-03
2022-06-09,2022-06-09,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,19.22,ug/m3,Manual,2022,6,9,00,2022-06-09
2022-06-15,2022-06-15,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,25.33,ug/m3,Manual,2022,6,15,00,2022-06-15
2022-06-21,2022-06-21,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,26.32,ug/m3,Manual,2022,6,21,00,2022-06-21
2022-06-27,2022-06-27,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,23.95,ug/m3,Manual,2022,6,27,00,2022-06-27
2022-07-03,2022-07-03,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,33.12,ug/m3,Manual,2022,7,3,00,2022-07-03
2022-07-09,2022-07-09,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,55.2,ug/m3,Manual,2022,7,9,00,2022-07-09
2022-07-15,2022-07-15,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,31.56,ug/m3,Manual,2022,7,15,00,2022-07-15
2022-07-21,2022-07-21,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,38.38,ug/m3,Manual,2022,7,21,00,2022-07-21
2022-07-27,2022-07-27,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,72.85,ug/m3,Manual,2022,7,27,00,2022-07-27
2022-08-02,2022-08-02,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,66.36,ug/m3,Manual,2022,8,2,00,2022-08-02
2022-08-08,2022-08-08,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,50.37,ug/m3,Manual,2022,8,8,00,2022-08-08
2022-08-14,2022-08-14,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,41.54,ug/m3,Manual,2022,8,14,00,2022-08-14
2022-08-20,2022-08-20,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,25.04,ug/m3,Manual,2022,8,20,00,2022-08-20
2022-08-26,2022-08-26,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,59.44,ug/m3,Manual,2022,8,26,00,2022-08-26
2022-09-01,2022-09-01,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,51.47,ug/m3,Manual,2022,9,1,00,2022-09-01
2022-09-07,2022-09-07,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,47.79,ug/m3,Manual,2022,9,7,00,2022-09-07
2022-09-13,2022-09-13,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,46.6,ug/m3,Manual,2022,9,13,00,2022-09-13
2022-09-19,2022-09-19,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,71.79,ug/m3,Manual,2022,9,19,00,2022-09-19
2022-09-25,2022-09-25,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,69.52,ug/m3,Manual,2022,9,25,00,2022-09-25
2022-10-01,2022-10-01,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,36.59,ug/m3,Manual,2022,10,1,00,2022-10-01
2022-10-07,2022-10-07,00:00:00,Itg - Mineração Santa Luzia,RJ299,PTS,32.6,ug/m3,Manual,2022,10,7,00,2022-10-07
