datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Jp - Chacrinha Japeri,RJ241,PTS,49.58,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Jp - Chacrinha Japeri,RJ241,PTS,55.65,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Jp - Chacrinha Japeri,RJ241,PTS,98.22,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Jp - Chacrinha Japeri,RJ241,PTS,48.66,µg/m3,manual,2019,1,20,00,2019-01-20
2019-02-01,2019-02-01,00:00,Jp - Chacrinha Japeri,RJ241,PTS,76.38,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Jp - Chacrinha Japeri,RJ241,PTS,39.86,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Jp - Chacrinha Japeri,RJ241,PTS,29.79,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Jp - Chacrinha Japeri,RJ241,PTS,31.75,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,Jp - Chacrinha Japeri,RJ241,PTS,50.19,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,Jp - Chacrinha Japeri,RJ241,PTS,26.78,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,Jp - Chacrinha Japeri,RJ241,PTS,69.85,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-21,2019-03-21,00:00,Jp - Chacrinha Japeri,RJ241,PTS,19.53,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Jp - Chacrinha Japeri,RJ241,PTS,51.88,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Jp - Chacrinha Japeri,RJ241,PTS,46.03,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Jp - Chacrinha Japeri,RJ241,PTS,40.62,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Jp - Chacrinha Japeri,RJ241,PTS,41.21,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Jp - Chacrinha Japeri,RJ241,PTS,63.52,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Jp - Chacrinha Japeri,RJ241,PTS,66.59,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-08,2019-05-08,00:00,Jp - Chacrinha Japeri,RJ241,PTS,49.72,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,Jp - Chacrinha Japeri,RJ241,PTS,51.94,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,Jp - Chacrinha Japeri,RJ241,PTS,56.54,µg/m3,manual,2019,5,20,00,2019-05-20
2019-06-01,2019-06-01,00:00,Jp - Chacrinha Japeri,RJ241,PTS,67.82,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,Jp - Chacrinha Japeri,RJ241,PTS,71.08,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,Jp - Chacrinha Japeri,RJ241,PTS,61.63,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,Jp - Chacrinha Japeri,RJ241,PTS,155.62,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-25,2019-06-25,00:00,Jp - Chacrinha Japeri,RJ241,PTS,83.12,µg/m3,manual,2019,6,25,00,2019-06-25
2019-07-01,2019-07-01,00:00,Jp - Chacrinha Japeri,RJ241,PTS,136.04,µg/m3,manual,2019,7,1,00,2019-07-01
2019-07-07,2019-07-07,00:00,Jp - Chacrinha Japeri,RJ241,PTS,60.73,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-19,2019-07-19,00:00,Jp - Chacrinha Japeri,RJ241,PTS,80.4,µg/m3,manual,2019,7,19,00,2019-07-19
2019-07-25,2019-07-25,00:00,Jp - Chacrinha Japeri,RJ241,PTS,102.63,µg/m3,manual,2019,7,25,00,2019-07-25
2019-08-06,2019-08-06,00:00,Jp - Chacrinha Japeri,RJ241,PTS,75.33,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-12,2019-08-12,00:00,Jp - Chacrinha Japeri,RJ241,PTS,99.43,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-18,2019-08-18,00:00,Jp - Chacrinha Japeri,RJ241,PTS,176.93,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-24,2019-08-24,00:00,Jp - Chacrinha Japeri,RJ241,PTS,48.92,µg/m3,manual,2019,8,24,00,2019-08-24
2019-08-30,2019-08-30,00:00,Jp - Chacrinha Japeri,RJ241,PTS,110.0,µg/m3,manual,2019,8,30,00,2019-08-30
2019-09-05,2019-09-05,00:00,Jp - Chacrinha Japeri,RJ241,PTS,7.25,µg/m3,manual,2019,9,5,00,2019-09-05
2019-09-11,2019-09-11,00:00,Jp - Chacrinha Japeri,RJ241,PTS,99.11,µg/m3,manual,2019,9,11,00,2019-09-11
2019-09-17,2019-09-17,00:00,Jp - Chacrinha Japeri,RJ241,PTS,214.65,µg/m3,manual,2019,9,17,00,2019-09-17
2019-09-23,2019-09-23,00:00,Jp - Chacrinha Japeri,RJ241,PTS,67.21,µg/m3,manual,2019,9,23,00,2019-09-23
2019-09-29,2019-09-29,00:00,Jp - Chacrinha Japeri,RJ241,PTS,46.87,µg/m3,manual,2019,9,29,00,2019-09-29
2019-10-05,2019-10-05,00:00,Jp - Chacrinha Japeri,RJ241,PTS,99.72,µg/m3,manual,2019,10,5,00,2019-10-05
2019-10-11,2019-10-11,00:00,Jp - Chacrinha Japeri,RJ241,PTS,90.33,µg/m3,manual,2019,10,11,00,2019-10-11
