datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,48.85,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,128.2,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,124.69,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,59.26,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,42.9,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,83.6,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,0.0,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,48.27,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,51.23,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,87.87,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,40.58,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,35.15,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,43.97,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,31.19,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,45.38,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,58.7,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,0.0,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-20,2019-04-20,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,41.32,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,39.46,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,40.49,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,66.92,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,41.55,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,22.09,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,0.0,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,33.95,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,0.0,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,84.97,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,151.85,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-25,2019-06-25,00:00,Jurujuba - Av. Carlos Ermelindo Marins,RJ240,PTS,94.65,µg/m3,manual,2019,6,25,00,2019-06-25
