datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Major Januario Ribeiro,RJ234,PTS,39.87,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Major Januario Ribeiro,RJ234,PTS,58.21,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Major Januario Ribeiro,RJ234,PTS,56.76,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Major Januario Ribeiro,RJ234,PTS,55.0,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,Major Januario Ribeiro,RJ234,PTS,31.81,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,Major Januario Ribeiro,RJ234,PTS,39.87,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Major Januario Ribeiro,RJ234,PTS,58.21,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Major Januario Ribeiro,RJ234,PTS,56.76,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Major Januario Ribeiro,RJ234,PTS,55.0,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,Major Januario Ribeiro,RJ234,PTS,31.81,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,Major Januario Ribeiro,RJ234,PTS,37.25,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-15,2019-03-15,00:00,Major Januario Ribeiro,RJ234,PTS,23.3,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,Major Januario Ribeiro,RJ234,PTS,21.7,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Major Januario Ribeiro,RJ234,PTS,50.3,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Major Januario Ribeiro,RJ234,PTS,44.71,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Major Januario Ribeiro,RJ234,PTS,59.28,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Major Januario Ribeiro,RJ234,PTS,36.38,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Major Januario Ribeiro,RJ234,PTS,55.82,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Major Januario Ribeiro,RJ234,PTS,53.54,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,Major Januario Ribeiro,RJ234,PTS,48.4,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,Major Januario Ribeiro,RJ234,PTS,32.24,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-26,2019-05-26,00:00,Major Januario Ribeiro,RJ234,PTS,37.68,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,Major Januario Ribeiro,RJ234,PTS,48.87,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,Major Januario Ribeiro,RJ234,PTS,87.21,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,Major Januario Ribeiro,RJ234,PTS,111.83,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,Major Januario Ribeiro,RJ234,PTS,160.33,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-25,2019-06-25,00:00,Major Januario Ribeiro,RJ234,PTS,179.45,µg/m3,manual,2019,6,25,00,2019-06-25
