datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2021-01-03,2021-01-03,00:00:00,Mc - Salutares,RJ292,MP10,7.72,µg/m³,Manual,2021,1,3,00,2021-01-03
2021-01-09,2021-01-09,00:00:00,Mc - Salutares,RJ292,MP10,16.3,µg/m³,Manual,2021,1,9,00,2021-01-09
2021-01-15,2021-01-15,00:00:00,Mc - Salutares,RJ292,MP10,18.11,µg/m³,Manual,2021,1,15,00,2021-01-15
2021-01-27,2021-01-27,00:00:00,Mc - Salutares,RJ292,MP10,30.96,µg/m³,Manual,2021,1,27,00,2021-01-27
2021-02-08,2021-02-08,00:00:00,Mc - Salutares,RJ292,MP10,10.25,µg/m³,Manual,2021,2,8,00,2021-02-08
2021-02-14,2021-02-14,00:00:00,Mc - Salutares,RJ292,MP10,13.67,µg/m³,Manual,2021,2,14,00,2021-02-14
2021-02-20,2021-02-20,00:00:00,Mc - Salutares,RJ292,MP10,12.39,µg/m³,Manual,2021,2,20,00,2021-02-20
2021-03-10,2021-03-10,00:00:00,Mc - Salutares,RJ292,MP10,12.72,µg/m³,Manual,2021,3,10,00,2021-03-10
2021-03-28,2021-03-28,00:00:00,Mc - Salutares,RJ292,MP10,6.3,µg/m³,Manual,2021,3,28,00,2021-03-28
2021-04-09,2021-04-09,00:00:00,Mc - Salutares,RJ292,MP10,16.28,µg/m³,Manual,2021,4,9,00,2021-04-09
2021-04-15,2021-04-15,00:00:00,Mc - Salutares,RJ292,MP10,18.08,µg/m³,Manual,2021,4,15,00,2021-04-15
2021-04-21,2021-04-21,00:00:00,Mc - Salutares,RJ292,MP10,13.33,µg/m³,Manual,2021,4,21,00,2021-04-21
2021-04-27,2021-04-27,00:00:00,Mc - Salutares,RJ292,MP10,11.84,µg/m³,Manual,2021,4,27,00,2021-04-27
2021-05-03,2021-05-03,00:00:00,Mc - Salutares,RJ292,MP10,16.35,µg/m³,Manual,2021,5,3,00,2021-05-03
2021-05-09,2021-05-09,00:00:00,Mc - Salutares,RJ292,MP10,10.8,µg/m³,Manual,2021,5,9,00,2021-05-09
2021-05-15,2021-05-15,00:00:00,Mc - Salutares,RJ292,MP10,14.16,µg/m³,Manual,2021,5,15,00,2021-05-15
2021-05-21,2021-05-21,00:00:00,Mc - Salutares,RJ292,MP10,25.91,µg/m³,Manual,2021,5,21,00,2021-05-21
2021-05-27,2021-05-27,00:00:00,Mc - Salutares,RJ292,MP10,25.14,µg/m³,Manual,2021,5,27,00,2021-05-27
2021-06-02,2021-06-02,00:00:00,Mc - Salutares,RJ292,MP10,11.02,µg/m³,Manual,2021,6,2,00,2021-06-02
2021-06-20,2021-06-20,00:00:00,Mc - Salutares,RJ292,MP10,15.01,µg/m³,Manual,2021,6,20,00,2021-06-20
2021-07-02,2021-07-02,00:00:00,Mc - Salutares,RJ292,MP10,9.03,µg/m³,Manual,2021,7,2,00,2021-07-02
2021-07-08,2021-07-08,00:00:00,Mc - Salutares,RJ292,MP10,9.11,µg/m³,Manual,2021,7,8,00,2021-07-08
2021-07-14,2021-07-14,00:00:00,Mc - Salutares,RJ292,MP10,13.13,µg/m³,Manual,2021,7,14,00,2021-07-14
2021-07-20,2021-07-20,00:00:00,Mc - Salutares,RJ292,MP10,11.8,µg/m³,Manual,2021,7,20,00,2021-07-20
2021-07-26,2021-07-26,00:00:00,Mc - Salutares,RJ292,MP10,12.11,µg/m³,Manual,2021,7,26,00,2021-07-26
2021-08-01,2021-08-01,00:00:00,Mc - Salutares,RJ292,MP10,6.05,µg/m³,Manual,2021,8,1,00,2021-08-01
2021-08-07,2021-08-07,00:00:00,Mc - Salutares,RJ292,MP10,14.18,µg/m³,Manual,2021,8,7,00,2021-08-07
2021-08-13,2021-08-13,00:00:00,Mc - Salutares,RJ292,MP10,17.86,µg/m³,Manual,2021,8,13,00,2021-08-13
2021-08-19,2021-08-19,00:00:00,Mc - Salutares,RJ292,MP10,30.47,µg/m³,Manual,2021,8,19,00,2021-08-19
