datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Mg - Bombeiros,RJ259,MP10,31.7,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Mg - Bombeiros,RJ259,MP10,52.6,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Mg - Bombeiros,RJ259,MP10,45.4,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-26,2019-01-26,00:00,Mg - Bombeiros,RJ259,MP10,25.6,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,Mg - Bombeiros,RJ259,MP10,135.8,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Mg - Bombeiros,RJ259,MP10,27.8,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Mg - Bombeiros,RJ259,MP10,27.4,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Mg - Bombeiros,RJ259,MP10,37.3,µg/m3,manual,2019,2,19,00,2019-02-19
2019-03-03,2019-03-03,00:00,Mg - Bombeiros,RJ259,MP10,35.2,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,Mg - Bombeiros,RJ259,MP10,55.6,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-21,2019-03-21,00:00,Mg - Bombeiros,RJ259,MP10,19.6,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Mg - Bombeiros,RJ259,MP10,47.9,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Mg - Bombeiros,RJ259,MP10,46.1,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Mg - Bombeiros,RJ259,MP10,45.0,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Mg - Bombeiros,RJ259,MP10,32.1,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Mg - Bombeiros,RJ259,MP10,54.4,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Mg - Bombeiros,RJ259,MP10,62.2,µg/m3,manual,2019,4,26,00,2019-04-26
