datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Mg - Estação Vila Inca,RJ255,PTS,29.66,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Mg - Estação Vila Inca,RJ255,PTS,127.59,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Mg - Estação Vila Inca,RJ255,PTS,117.94,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-26,2019-01-26,00:00,Mg - Estação Vila Inca,RJ255,PTS,33.89,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,Mg - Estação Vila Inca,RJ255,PTS,210.46,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Mg - Estação Vila Inca,RJ255,PTS,42.41,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Mg - Estação Vila Inca,RJ255,PTS,35.04,µg/m3,manual,2019,2,13,00,2019-02-13
2019-03-15,2019-03-15,00:00,Mg - Estação Vila Inca,RJ255,PTS,149.0,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,Mg - Estação Vila Inca,RJ255,PTS,26.68,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Mg - Estação Vila Inca,RJ255,PTS,114.84,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Mg - Estação Vila Inca,RJ255,PTS,81.25,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Mg - Estação Vila Inca,RJ255,PTS,89.93,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Mg - Estação Vila Inca,RJ255,PTS,37.04,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Mg - Estação Vila Inca,RJ255,PTS,100.14,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Mg - Estação Vila Inca,RJ255,PTS,130.8,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,Mg - Estação Vila Inca,RJ255,PTS,39.05,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,Mg - Estação Vila Inca,RJ255,PTS,41.16,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,Mg - Estação Vila Inca,RJ255,PTS,46.65,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,Mg - Estação Vila Inca,RJ255,PTS,43.36,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,Mg - Estação Vila Inca,RJ255,PTS,70.56,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,Mg - Estação Vila Inca,RJ255,PTS,56.19,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-13,2019-06-13,00:00,Mg - Estação Vila Inca,RJ255,PTS,104.5,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,Mg - Estação Vila Inca,RJ255,PTS,148.2,µg/m3,manual,2019,6,19,00,2019-06-19
2019-07-01,2019-07-01,00:00,Mg - Estação Vila Inca,RJ255,PTS,231.15,µg/m3,manual,2019,7,1,00,2019-07-01
2019-07-07,2019-07-07,00:00,Mg - Estação Vila Inca,RJ255,PTS,33.8,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-13,2019-07-13,00:00,Mg - Estação Vila Inca,RJ255,PTS,216.16,µg/m3,manual,2019,7,13,00,2019-07-13
2019-07-19,2019-07-19,00:00,Mg - Estação Vila Inca,RJ255,PTS,103.19,µg/m3,manual,2019,7,19,00,2019-07-19
2019-07-25,2019-07-25,00:00,Mg - Estação Vila Inca,RJ255,PTS,218.83,µg/m3,manual,2019,7,25,00,2019-07-25
2019-07-31,2019-07-31,00:00,Mg - Estação Vila Inca,RJ255,PTS,124.74,µg/m3,manual,2019,7,31,00,2019-07-31
2019-08-06,2019-08-06,00:00,Mg - Estação Vila Inca,RJ255,PTS,40.38,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-12,2019-08-12,00:00,Mg - Estação Vila Inca,RJ255,PTS,144.56,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-18,2019-08-18,00:00,Mg - Estação Vila Inca,RJ255,PTS,53.3,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-24,2019-08-24,00:00,Mg - Estação Vila Inca,RJ255,PTS,50.15,µg/m3,manual,2019,8,24,00,2019-08-24
2019-09-05,2019-09-05,00:00,Mg - Estação Vila Inca,RJ255,PTS,10.57,µg/m3,manual,2019,9,5,00,2019-09-05
2019-09-11,2019-09-11,00:00,Mg - Estação Vila Inca,RJ255,PTS,138.11,µg/m3,manual,2019,9,11,00,2019-09-11
2019-09-17,2019-09-17,00:00,Mg - Estação Vila Inca,RJ255,PTS,201.3,µg/m3,manual,2019,9,17,00,2019-09-17
2019-09-29,2019-09-29,00:00,Mg - Estação Vila Inca,RJ255,PTS,26.65,µg/m3,manual,2019,9,29,00,2019-09-29
2019-10-11,2019-10-11,00:00,Mg - Estação Vila Inca,RJ255,PTS,33.45,µg/m3,manual,2019,10,11,00,2019-10-11
2019-10-23,2019-10-23,00:00,Mg - Estação Vila Inca,RJ255,PTS,30.87,µg/m3,manual,2019,10,23,00,2019-10-23
2019-10-29,2019-10-29,00:00,Mg - Estação Vila Inca,RJ255,PTS,100.23,µg/m3,manual,2019,10,29,00,2019-10-29
2019-11-04,2019-11-04,00:00,Mg - Estação Vila Inca,RJ255,PTS,105.28,µg/m3,manual,2019,11,4,00,2019-11-04
2019-11-10,2019-11-10,00:00,Mg - Estação Vila Inca,RJ255,PTS,46.76,µg/m3,manual,2019,11,10,00,2019-11-10
2019-11-16,2019-11-16,00:00,Mg - Estação Vila Inca,RJ255,PTS,31.32,µg/m3,manual,2019,11,16,00,2019-11-16
2019-11-22,2019-11-22,00:00,Mg - Estação Vila Inca,RJ255,PTS,36.05,µg/m3,manual,2019,11,22,00,2019-11-22
2019-11-28,2019-11-28,00:00,Mg - Estação Vila Inca,RJ255,PTS,58.48,µg/m3,manual,2019,11,28,00,2019-11-28
2019-12-04,2019-12-04,00:00,Mg - Estação Vila Inca,RJ255,PTS,57.37,µg/m3,manual,2019,12,4,00,2019-12-04
2019-12-10,2019-12-10,00:00,Mg - Estação Vila Inca,RJ255,PTS,40.74,µg/m3,manual,2019,12,10,00,2019-12-10
2019-12-16,2019-12-16,00:00,Mg - Estação Vila Inca,RJ255,PTS,77.4,µg/m3,manual,2019,12,16,00,2019-12-16
2019-12-22,2019-12-22,00:00,Mg - Estação Vila Inca,RJ255,PTS,34.68,µg/m3,manual,2019,12,22,00,2019-12-22
2020-01-09,2020-01-09,00:00,Mg - Estação Vila Inca,RJ255,PTS,42.15,µg/m3,manual,2020,1,9,00,2020-01-09
2020-01-15,2020-01-15,00:00,Mg - Estação Vila Inca,RJ255,PTS,77.39,µg/m3,manual,2020,1,15,00,2020-01-15
2020-01-27,2020-01-27,00:00,Mg - Estação Vila Inca,RJ255,PTS,103.82,µg/m3,manual,2020,1,27,00,2020-01-27
2020-02-02,2020-02-02,00:00,Mg - Estação Vila Inca,RJ255,PTS,35.73,µg/m3,manual,2020,2,2,00,2020-02-02
2020-02-08,2020-02-08,00:00,Mg - Estação Vila Inca,RJ255,PTS,36.43,µg/m3,manual,2020,2,8,00,2020-02-08
2020-02-14,2020-02-14,00:00,Mg - Estação Vila Inca,RJ255,PTS,33.2,µg/m3,manual,2020,2,14,00,2020-02-14
2020-03-21,2020-03-21,00:00,Mg - Estação Vila Inca,RJ255,PTS,36.81,µg/m3,manual,2020,3,21,00,2020-03-21
2020-04-02,2020-04-02,00:00,Mg - Estação Vila Inca,RJ255,PTS,58.69,µg/m3,manual,2020,4,2,00,2020-04-02
2020-04-08,2020-04-08,00:00,Mg - Estação Vila Inca,RJ255,PTS,29.21,µg/m3,manual,2020,4,8,00,2020-04-08
2020-04-14,2020-04-14,00:00,Mg - Estação Vila Inca,RJ255,PTS,102.74,µg/m3,manual,2020,4,14,00,2020-04-14
2020-04-20,2020-04-20,00:00,Mg - Estação Vila Inca,RJ255,PTS,58.42,µg/m3,manual,2020,4,20,00,2020-04-20
2020-04-26,2020-04-26,00:00,Mg - Estação Vila Inca,RJ255,PTS,51.05,µg/m3,manual,2020,4,26,00,2020-04-26
