datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Mg - Magé (DNIT),RJ258,MP10,26.6,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Mg - Magé (DNIT),RJ258,MP10,33.6,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Mg - Magé (DNIT),RJ258,MP10,40.5,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-26,2019-01-26,00:00,Mg - Magé (DNIT),RJ258,MP10,21.0,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,Mg - Magé (DNIT),RJ258,MP10,55.6,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Mg - Magé (DNIT),RJ258,MP10,16.8,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Mg - Magé (DNIT),RJ258,MP10,24.5,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Mg - Magé (DNIT),RJ258,MP10,27.5,µg/m3,manual,2019,2,19,00,2019-02-19
2019-03-03,2019-03-03,00:00,Mg - Magé (DNIT),RJ258,MP10,28.1,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-21,2019-03-21,00:00,Mg - Magé (DNIT),RJ258,MP10,20.1,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Mg - Magé (DNIT),RJ258,MP10,35.6,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Mg - Magé (DNIT),RJ258,MP10,30.2,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Mg - Magé (DNIT),RJ258,MP10,32.4,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Mg - Magé (DNIT),RJ258,MP10,17.2,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Mg - Magé (DNIT),RJ258,MP10,41.0,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Mg - Magé (DNIT),RJ258,MP10,41.6,µg/m3,manual,2019,4,26,00,2019-04-26
