datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2020-03-03,2020-03-03,00:00,NI - Augusto Távora,RJ266,PTS,36.29,µg/m3,manual,2020,3,3,00,2020-03-03
2020-03-09,2020-03-09,00:00,NI - Augusto Távora,RJ266,PTS,46.44,µg/m3,manual,2020,3,9,00,2020-03-09
2020-03-15,2020-03-15,00:00,NI - Augusto Távora,RJ266,PTS,65.32,µg/m3,manual,2020,3,15,00,2020-03-15
2020-06-07,2020-06-07,00:00,NI - Augusto Távora,RJ266,PTS,77.04,µg/m3,manual,2020,6,7,00,2020-06-07
2020-06-13,2020-06-13,00:00,NI - Augusto Távora,RJ266,PTS,118.88,µg/m3,manual,2020,6,13,00,2020-06-13
2020-06-19,2020-06-19,00:00,NI - Augusto Távora,RJ266,PTS,122.07,µg/m3,manual,2020,6,19,00,2020-06-19
2020-06-25,2020-06-25,00:00,NI - Augusto Távora,RJ266,PTS,160.45,µg/m3,manual,2020,6,25,00,2020-06-25
2020-07-01,2020-07-01,00:00,NI - Augusto Távora,RJ266,PTS,162.59,µg/m3,manual,2020,7,1,00,2020-07-01
2020-07-07,2020-07-07,00:00,NI - Augusto Távora,RJ266,PTS,160.6,µg/m3,manual,2020,7,7,00,2020-07-07
2020-07-13,2020-07-13,00:00,NI - Augusto Távora,RJ266,PTS,126.38,µg/m3,manual,2020,7,13,00,2020-07-13
2020-07-19,2020-07-19,00:00,NI - Augusto Távora,RJ266,PTS,64.27,µg/m3,manual,2020,7,19,00,2020-07-19
2020-07-25,2020-07-25,00:00,NI - Augusto Távora,RJ266,PTS,89.59,µg/m3,manual,2020,7,25,00,2020-07-25
2020-08-06,2020-08-06,00:00,NI - Augusto Távora,RJ266,PTS,81.01,µg/m3,manual,2020,8,6,00,2020-08-06
2020-08-12,2020-08-12,00:00,NI - Augusto Távora,RJ266,PTS,76.78,µg/m3,manual,2020,8,12,00,2020-08-12
2020-08-18,2020-08-18,00:00,NI - Augusto Távora,RJ266,PTS,16.63,µg/m3,manual,2020,8,18,00,2020-08-18
2020-08-24,2020-08-24,00:00,NI - Augusto Távora,RJ266,PTS,77.27,µg/m3,manual,2020,8,24,00,2020-08-24
2020-08-30,2020-08-30,00:00,NI - Augusto Távora,RJ266,PTS,86.76,µg/m3,manual,2020,8,30,00,2020-08-30
2020-09-05,2020-09-05,00:00,NI - Augusto Távora,RJ266,PTS,128.87,µg/m3,manual,2020,9,5,00,2020-09-05
2020-09-11,2020-09-11,00:00,NI - Augusto Távora,RJ266,PTS,125.7,µg/m3,manual,2020,9,11,00,2020-09-11
2020-09-23,2020-09-23,00:00,NI - Augusto Távora,RJ266,PTS,26.55,µg/m3,manual,2020,9,23,00,2020-09-23
2020-09-29,2020-09-29,00:00,NI - Augusto Távora,RJ266,PTS,64.95,µg/m3,manual,2020,9,29,00,2020-09-29
2020-10-05,2020-10-05,00:00,NI - Augusto Távora,RJ266,PTS,88.5,µg/m3,manual,2020,10,5,00,2020-10-05
2020-10-11,2020-10-11,00:00,NI - Augusto Távora,RJ266,PTS,28.22,µg/m3,manual,2020,10,11,00,2020-10-11
2020-10-17,2020-10-17,00:00,NI - Augusto Távora,RJ266,PTS,27.8,µg/m3,manual,2020,10,17,00,2020-10-17
2020-10-23,2020-10-23,00:00,NI - Augusto Távora,RJ266,PTS,104.49,µg/m3,manual,2020,10,23,00,2020-10-23
2020-11-04,2020-11-04,00:00,NI - Augusto Távora,RJ266,PTS,71.02,µg/m3,manual,2020,11,4,00,2020-11-04
2020-11-10,2020-11-10,00:00,NI - Augusto Távora,RJ266,PTS,44.62,µg/m3,manual,2020,11,10,00,2020-11-10
2020-11-16,2020-11-16,00:00,NI - Augusto Távora,RJ266,PTS,100.55,µg/m3,manual,2020,11,16,00,2020-11-16
2020-12-04,2020-12-04,00:00,NI - Augusto Távora,RJ266,PTS,52.95,µg/m3,manual,2020,12,4,00,2020-12-04
2020-12-10,2020-12-10,00:00,NI - Augusto Távora,RJ266,PTS,13.75,µg/m3,manual,2020,12,10,00,2020-12-10
2020-12-16,2020-12-16,00:00,NI - Augusto Távora,RJ266,PTS,70.58,µg/m3,manual,2020,12,16,00,2020-12-16
2020-12-22,2020-12-22,00:00,NI - Augusto Távora,RJ266,PTS,68.67,µg/m3,manual,2020,12,22,00,2020-12-22
2020-12-28,2020-12-28,00:00,NI - Augusto Távora,RJ266,PTS,12.89,µg/m3,manual,2020,12,28,00,2020-12-28
