datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2022-01-04,2022-01-04,00:00:00,NI - Cermica,RJ293,PTS,45.58,ug/m3,Manual,2022,1,4,00,2022-01-04
2022-01-10,2022-01-10,00:00:00,NI - Cermica,RJ293,PTS,27.51,ug/m3,Manual,2022,1,10,00,2022-01-10
2022-01-22,2022-01-22,00:00:00,NI - Cermica,RJ293,PTS,63.69,ug/m3,Manual,2022,1,22,00,2022-01-22
2022-01-28,2022-01-28,00:00:00,NI - Cermica,RJ293,PTS,60.69,ug/m3,Manual,2022,1,28,00,2022-01-28
2022-02-03,2022-02-03,00:00:00,NI - Cermica,RJ293,PTS,38.08,ug/m3,Manual,2022,2,3,00,2022-02-03
2022-02-09,2022-02-09,00:00:00,NI - Cermica,RJ293,PTS,35.94,ug/m3,Manual,2022,2,9,00,2022-02-09
2022-02-15,2022-02-15,00:00:00,NI - Cermica,RJ293,PTS,53.03,ug/m3,Manual,2022,2,15,00,2022-02-15
2022-02-21,2022-02-21,00:00:00,NI - Cermica,RJ293,PTS,48.14,ug/m3,Manual,2022,2,21,00,2022-02-21
2022-02-27,2022-02-27,00:00:00,NI - Cermica,RJ293,PTS,53.78,ug/m3,Manual,2022,2,27,00,2022-02-27
2022-03-05,2022-03-05,00:00:00,NI - Cermica,RJ293,PTS,89.91,ug/m3,Manual,2022,3,5,00,2022-03-05
2022-03-11,2022-03-11,00:00:00,NI - Cermica,RJ293,PTS,87.14,ug/m3,Manual,2022,3,11,00,2022-03-11
2022-03-17,2022-03-17,00:00:00,NI - Cermica,RJ293,PTS,96.86,ug/m3,Manual,2022,3,17,00,2022-03-17
2022-03-23,2022-03-23,00:00:00,NI - Cermica,RJ293,PTS,56.72,ug/m3,Manual,2022,3,23,00,2022-03-23
2022-03-29,2022-03-29,00:00:00,NI - Cermica,RJ293,PTS,68.7,ug/m3,Manual,2022,3,29,00,2022-03-29
2022-04-04,2022-04-04,00:00:00,NI - Cermica,RJ293,PTS,97.38,ug/m3,Manual,2022,4,4,00,2022-04-04
2022-04-10,2022-04-10,00:00:00,NI - Cermica,RJ293,PTS,53.71,ug/m3,Manual,2022,4,10,00,2022-04-10
2022-04-22,2022-04-22,00:00:00,NI - Cermica,RJ293,PTS,122.02,ug/m3,Manual,2022,4,22,00,2022-04-22
2022-04-28,2022-04-28,00:00:00,NI - Cermica,RJ293,PTS,128.66,ug/m3,Manual,2022,4,28,00,2022-04-28
2022-05-04,2022-05-04,00:00:00,NI - Cermica,RJ293,PTS,72.47,ug/m3,Manual,2022,5,4,00,2022-05-04
2022-05-10,2022-05-10,00:00:00,NI - Cermica,RJ293,PTS,52.32,ug/m3,Manual,2022,5,10,00,2022-05-10
2022-05-16,2022-05-16,00:00:00,NI - Cermica,RJ293,PTS,52.96,ug/m3,Manual,2022,5,16,00,2022-05-16
2022-05-22,2022-05-22,00:00:00,NI - Cermica,RJ293,PTS,74.64,ug/m3,Manual,2022,5,22,00,2022-05-22
2022-05-28,2022-05-28,00:00:00,NI - Cermica,RJ293,PTS,125.04,ug/m3,Manual,2022,5,28,00,2022-05-28
2022-06-03,2022-06-03,00:00:00,NI - Cermica,RJ293,PTS,46.25,ug/m3,Manual,2022,6,3,00,2022-06-03
2022-06-09,2022-06-09,00:00:00,NI - Cermica,RJ293,PTS,67.93,ug/m3,Manual,2022,6,9,00,2022-06-09
2022-06-15,2022-06-15,00:00:00,NI - Cermica,RJ293,PTS,99.3,ug/m3,Manual,2022,6,15,00,2022-06-15
2022-06-21,2022-06-21,00:00:00,NI - Cermica,RJ293,PTS,144.93,ug/m3,Manual,2022,6,21,00,2022-06-21
2022-06-27,2022-06-27,00:00:00,NI - Cermica,RJ293,PTS,67.1,ug/m3,Manual,2022,6,27,00,2022-06-27
2022-07-03,2022-07-03,00:00:00,NI - Cermica,RJ293,PTS,94.89,ug/m3,Manual,2022,7,3,00,2022-07-03
2022-07-09,2022-07-09,00:00:00,NI - Cermica,RJ293,PTS,129.44,ug/m3,Manual,2022,7,9,00,2022-07-09
2022-07-15,2022-07-15,00:00:00,NI - Cermica,RJ293,PTS,133.47,ug/m3,Manual,2022,7,15,00,2022-07-15
2022-07-21,2022-07-21,00:00:00,NI - Cermica,RJ293,PTS,118.14,ug/m3,Manual,2022,7,21,00,2022-07-21
2022-07-27,2022-07-27,00:00:00,NI - Cermica,RJ293,PTS,132.04,ug/m3,Manual,2022,7,27,00,2022-07-27
2022-08-20,2022-08-20,00:00:00,NI - Cermica,RJ293,PTS,145.92,ug/m3,Manual,2022,8,20,00,2022-08-20
2022-08-26,2022-08-26,00:00:00,NI - Cermica,RJ293,PTS,194.98,ug/m3,Manual,2022,8,26,00,2022-08-26
2022-09-07,2022-09-07,00:00:00,NI - Cermica,RJ293,PTS,198.77,ug/m3,Manual,2022,9,7,00,2022-09-07
2022-09-19,2022-09-19,00:00:00,NI - Cermica,RJ293,PTS,201.42,ug/m3,Manual,2022,9,19,00,2022-09-19
2022-09-25,2022-09-25,00:00:00,NI - Cermica,RJ293,PTS,197.4,ug/m3,Manual,2022,9,25,00,2022-09-25
2022-10-01,2022-10-01,00:00:00,NI - Cermica,RJ293,PTS,109.79,ug/m3,Manual,2022,10,1,00,2022-10-01
2022-10-07,2022-10-07,00:00:00,NI - Cermica,RJ293,PTS,103.6,ug/m3,Manual,2022,10,7,00,2022-10-07
2022-10-13,2022-10-13,00:00:00,NI - Cermica,RJ293,PTS,136.77,ug/m3,Manual,2022,10,13,00,2022-10-13
