datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2021-01-03,2021-01-03,00:00:00,NI - Cerâmica,RJ293,PTS,21.72,µg/m³,Manual,2021,1,3,00,2021-01-03
2021-01-15,2021-01-15,00:00:00,NI - Cerâmica,RJ293,PTS,59.51,µg/m³,Manual,2021,1,15,00,2021-01-15
2021-01-21,2021-01-21,00:00:00,NI - Cerâmica,RJ293,PTS,63.02,µg/m³,Manual,2021,1,21,00,2021-01-21
2021-02-14,2021-02-14,00:00:00,NI - Cerâmica,RJ293,PTS,44.07,µg/m³,Manual,2021,2,14,00,2021-02-14
2021-02-20,2021-02-20,00:00:00,NI - Cerâmica,RJ293,PTS,29.06,µg/m³,Manual,2021,2,20,00,2021-02-20
2021-02-26,2021-02-26,00:00:00,NI - Cerâmica,RJ293,PTS,31.42,µg/m³,Manual,2021,2,26,00,2021-02-26
2021-03-04,2021-03-04,00:00:00,NI - Cerâmica,RJ293,PTS,64.8,µg/m³,Manual,2021,3,4,00,2021-03-04
2021-03-22,2021-03-22,00:00:00,NI - Cerâmica,RJ293,PTS,63.9,µg/m³,Manual,2021,3,22,00,2021-03-22
2021-03-28,2021-03-28,00:00:00,NI - Cerâmica,RJ293,PTS,93.44,µg/m³,Manual,2021,3,28,00,2021-03-28
2021-04-03,2021-04-03,00:00:00,NI - Cerâmica,RJ293,PTS,41.17,µg/m³,Manual,2021,4,3,00,2021-04-03
2021-04-27,2021-04-27,00:00:00,NI - Cerâmica,RJ293,PTS,47.29,µg/m³,Manual,2021,4,27,00,2021-04-27
2021-05-03,2021-05-03,00:00:00,NI - Cerâmica,RJ293,PTS,73.32,µg/m³,Manual,2021,5,3,00,2021-05-03
2021-07-20,2021-07-20,00:00:00,NI - Cerâmica,RJ293,PTS,113.82,µg/m³,Manual,2021,7,20,00,2021-07-20
2021-07-26,2021-07-26,00:00:00,NI - Cerâmica,RJ293,PTS,142.01,µg/m³,Manual,2021,7,26,00,2021-07-26
2021-08-01,2021-08-01,00:00:00,NI - Cerâmica,RJ293,PTS,60.7,µg/m³,Manual,2021,8,1,00,2021-08-01
2021-08-07,2021-08-07,00:00:00,NI - Cerâmica,RJ293,PTS,72.44,µg/m³,Manual,2021,8,7,00,2021-08-07
2021-08-13,2021-08-13,00:00:00,NI - Cerâmica,RJ293,PTS,33.14,µg/m³,Manual,2021,8,13,00,2021-08-13
2021-08-19,2021-08-19,00:00:00,NI - Cerâmica,RJ293,PTS,85.36,µg/m³,Manual,2021,8,19,00,2021-08-19
2021-08-25,2021-08-25,00:00:00,NI - Cerâmica,RJ293,PTS,126.13,µg/m³,Manual,2021,8,25,00,2021-08-25
2021-08-31,2021-08-31,00:00:00,NI - Cerâmica,RJ293,PTS,38.97,µg/m³,Manual,2021,8,31,00,2021-08-31
2021-09-06,2021-09-06,00:00:00,NI - Cerâmica,RJ293,PTS,70.87,µg/m³,Manual,2021,9,6,00,2021-09-06
2021-09-18,2021-09-18,00:00:00,NI - Cerâmica,RJ293,PTS,96.56,µg/m³,Manual,2021,9,18,00,2021-09-18
2021-09-30,2021-09-30,00:00:00,NI - Cerâmica,RJ293,PTS,72.35,µg/m³,Manual,2021,9,30,00,2021-09-30
2021-10-06,2021-10-06,00:00:00,NI - Cerâmica,RJ293,PTS,45.61,µg/m³,Manual,2021,10,6,00,2021-10-06
2021-10-12,2021-10-12,00:00:00,NI - Cerâmica,RJ293,PTS,37.87,µg/m³,Manual,2021,10,12,00,2021-10-12
2021-10-18,2021-10-18,00:00:00,NI - Cerâmica,RJ293,PTS,23.62,µg/m³,Manual,2021,10,18,00,2021-10-18
2021-10-24,2021-10-24,00:00:00,NI - Cerâmica,RJ293,PTS,52.66,µg/m³,Manual,2021,10,24,00,2021-10-24
2021-10-30,2021-10-30,00:00:00,NI - Cerâmica,RJ293,PTS,43.0,µg/m³,Manual,2021,10,30,00,2021-10-30
2021-11-05,2021-11-05,00:00:00,NI - Cerâmica,RJ293,PTS,60.67,µg/m³,Manual,2021,11,5,00,2021-11-05
2021-11-11,2021-11-11,00:00:00,NI - Cerâmica,RJ293,PTS,36.56,µg/m³,Manual,2021,11,11,00,2021-11-11
2021-11-17,2021-11-17,00:00:00,NI - Cerâmica,RJ293,PTS,77.66,µg/m³,Manual,2021,11,17,00,2021-11-17
2021-11-23,2021-11-23,00:00:00,NI - Cerâmica,RJ293,PTS,86.15,µg/m³,Manual,2021,11,23,00,2021-11-23
2021-11-29,2021-11-29,00:00:00,NI - Cerâmica,RJ293,PTS,32.07,µg/m³,Manual,2021,11,29,00,2021-11-29
2021-12-05,2021-12-05,00:00:00,NI - Cerâmica,RJ293,PTS,37.99,µg/m³,Manual,2021,12,5,00,2021-12-05
2021-12-11,2021-12-11,00:00:00,NI - Cerâmica,RJ293,PTS,48.22,µg/m³,Manual,2021,12,11,00,2021-12-11
2021-12-17,2021-12-17,00:00:00,NI - Cerâmica,RJ293,PTS,35.46,µg/m³,Manual,2021,12,17,00,2021-12-17
2021-12-23,2021-12-23,00:00:00,NI - Cerâmica,RJ293,PTS,45.09,µg/m³,Manual,2021,12,23,00,2021-12-23
2021-12-29,2021-12-29,00:00:00,NI - Cerâmica,RJ293,PTS,25.5,µg/m³,Manual,2021,12,29,00,2021-12-29
