datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Nit - AABB/Piratininga,RJ247,MP10,37.08,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-02,2019-01-02,00:00,Nit - AABB/Piratininga,RJ247,PTS,53.28,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Nit - AABB/Piratininga,RJ247,MP10,28.37,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-08,2019-01-08,00:00,Nit - AABB/Piratininga,RJ247,PTS,54.77,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Nit - AABB/Piratininga,RJ247,MP10,76.98,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-14,2019-01-14,00:00,Nit - AABB/Piratininga,RJ247,PTS,83.26,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Nit - AABB/Piratininga,RJ247,MP10,29.44,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-20,2019-01-20,00:00,Nit - AABB/Piratininga,RJ247,PTS,65.83,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,Nit - AABB/Piratininga,RJ247,MP10,25.25,µg/m3,manual,2019,1,26,00,2019-01-26
2019-01-26,2019-01-26,00:00,Nit - AABB/Piratininga,RJ247,PTS,90.17,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,Nit - AABB/Piratininga,RJ247,MP10,60.84,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-01,2019-02-01,00:00,Nit - AABB/Piratininga,RJ247,PTS,76.97,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Nit - AABB/Piratininga,RJ247,PTS,24.84,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Nit - AABB/Piratininga,RJ247,MP10,23.77,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-13,2019-02-13,00:00,Nit - AABB/Piratininga,RJ247,PTS,40.28,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Nit - AABB/Piratininga,RJ247,MP10,25.97,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-19,2019-02-19,00:00,Nit - AABB/Piratininga,RJ247,PTS,52.9,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,Nit - AABB/Piratininga,RJ247,MP10,32.68,µg/m3,manual,2019,2,25,00,2019-02-25
2019-02-25,2019-02-25,00:00,Nit - AABB/Piratininga,RJ247,PTS,38.94,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,Nit - AABB/Piratininga,RJ247,MP10,23.15,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-03,2019-03-03,00:00,Nit - AABB/Piratininga,RJ247,PTS,37.39,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-21,2019-03-21,00:00,Nit - AABB/Piratininga,RJ247,MP10,27.54,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-21,2019-03-21,00:00,Nit - AABB/Piratininga,RJ247,PTS,38.14,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Nit - AABB/Piratininga,RJ247,MP10,32.58,µg/m3,manual,2019,3,27,00,2019-03-27
2019-03-27,2019-03-27,00:00,Nit - AABB/Piratininga,RJ247,PTS,47.12,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Nit - AABB/Piratininga,RJ247,MP10,26.79,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-02,2019-04-02,00:00,Nit - AABB/Piratininga,RJ247,PTS,65.78,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Nit - AABB/Piratininga,RJ247,MP10,18.12,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-08,2019-04-08,00:00,Nit - AABB/Piratininga,RJ247,PTS,64.81,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Nit - AABB/Piratininga,RJ247,MP10,30.27,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-14,2019-04-14,00:00,Nit - AABB/Piratininga,RJ247,PTS,24.96,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Nit - AABB/Piratininga,RJ247,MP10,25.69,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-20,2019-04-20,00:00,Nit - AABB/Piratininga,RJ247,PTS,72.67,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Nit - AABB/Piratininga,RJ247,MP10,26.46,µg/m3,manual,2019,4,26,00,2019-04-26
2019-04-26,2019-04-26,00:00,Nit - AABB/Piratininga,RJ247,PTS,59.58,µg/m3,manual,2019,4,26,00,2019-04-26
