datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Nit - Corpo de Bombeiros/Itaipu,RJ249,PTS,117.79,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Nit - Corpo de Bombeiros/Itaipu,RJ249,MP10,19.65,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-08,2019-01-08,00:00,Nit - Corpo de Bombeiros/Itaipu,RJ249,PTS,62.32,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Nit - Corpo de Bombeiros/Itaipu,RJ249,MP10,64.12,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-14,2019-01-14,00:00,Nit - Corpo de Bombeiros/Itaipu,RJ249,PTS,112.88,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Nit - Corpo de Bombeiros/Itaipu,RJ249,MP10,46.92,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-20,2019-01-20,00:00,Nit - Corpo de Bombeiros/Itaipu,RJ249,PTS,104.14,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,Nit - Corpo de Bombeiros/Itaipu,RJ249,MP10,29.21,µg/m3,manual,2019,1,26,00,2019-01-26
2019-01-26,2019-01-26,00:00,Nit - Corpo de Bombeiros/Itaipu,RJ249,PTS,53.96,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-07,2019-02-07,00:00,Nit - Corpo de Bombeiros/Itaipu,RJ249,MP10,18.96,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-07,2019-02-07,00:00,Nit - Corpo de Bombeiros/Itaipu,RJ249,PTS,47.54,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Nit - Corpo de Bombeiros/Itaipu,RJ249,MP10,28.15,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-13,2019-02-13,00:00,Nit - Corpo de Bombeiros/Itaipu,RJ249,PTS,58.44,µg/m3,manual,2019,2,13,00,2019-02-13
