datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Nit - DPO/Cafubá,RJ273,MP10,38.12,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-02,2019-01-02,00:00,Nit - DPO/Cafubá,RJ273,PTS,82.01,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Nit - DPO/Cafubá,RJ273,MP10,55.77,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-08,2019-01-08,00:00,Nit - DPO/Cafubá,RJ273,PTS,93.35,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Nit - DPO/Cafubá,RJ273,MP10,57.92,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-14,2019-01-14,00:00,Nit - DPO/Cafubá,RJ273,PTS,80.95,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Nit - DPO/Cafubá,RJ273,MP10,33.81,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-20,2019-01-20,00:00,Nit - DPO/Cafubá,RJ273,PTS,71.32,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,Nit - DPO/Cafubá,RJ273,MP10,33.13,µg/m3,manual,2019,1,26,00,2019-01-26
2019-01-26,2019-01-26,00:00,Nit - DPO/Cafubá,RJ273,PTS,61.39,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,Nit - DPO/Cafubá,RJ273,MP10,51.97,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-01,2019-02-01,00:00,Nit - DPO/Cafubá,RJ273,PTS,97.38,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Nit - DPO/Cafubá,RJ273,MP10,31.16,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-07,2019-02-07,00:00,Nit - DPO/Cafubá,RJ273,PTS,38.33,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Nit - DPO/Cafubá,RJ273,MP10,43.23,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-13,2019-02-13,00:00,Nit - DPO/Cafubá,RJ273,PTS,56.23,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Nit - DPO/Cafubá,RJ273,MP10,50.18,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-19,2019-02-19,00:00,Nit - DPO/Cafubá,RJ273,PTS,47.78,µg/m3,manual,2019,2,19,00,2019-02-19
