datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Nit - E M Francisco Portugal Neves/Piratininga,RJ250,MP10,52.6,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-02,2019-01-02,00:00,Nit - E M Francisco Portugal Neves/Piratininga,RJ250,PTS,76.1,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Nit - E M Francisco Portugal Neves/Piratininga,RJ250,MP10,65.56,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-08,2019-01-08,00:00,Nit - E M Francisco Portugal Neves/Piratininga,RJ250,PTS,118.45,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Nit - E M Francisco Portugal Neves/Piratininga,RJ250,MP10,82.52,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-14,2019-01-14,00:00,Nit - E M Francisco Portugal Neves/Piratininga,RJ250,PTS,87.28,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Nit - E M Francisco Portugal Neves/Piratininga,RJ250,MP10,39.47,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,Nit - E M Francisco Portugal Neves/Piratininga,RJ250,MP10,24.02,µg/m3,manual,2019,1,26,00,2019-01-26
2019-01-26,2019-01-26,00:00,Nit - E M Francisco Portugal Neves/Piratininga,RJ250,PTS,125.33,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,Nit - E M Francisco Portugal Neves/Piratininga,RJ250,MP10,25.45,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-01,2019-02-01,00:00,Nit - E M Francisco Portugal Neves/Piratininga,RJ250,PTS,53.55,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Nit - E M Francisco Portugal Neves/Piratininga,RJ250,MP10,22.54,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-07,2019-02-07,00:00,Nit - E M Francisco Portugal Neves/Piratininga,RJ250,PTS,47.85,µg/m3,manual,2019,2,7,00,2019-02-07
