datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-08,2019-01-08,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,22.37,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-08,2019-01-08,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,66.73,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,109.41,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-14,2019-01-14,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,127.04,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,36.29,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-20,2019-01-20,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,59.22,µg/m3,manual,2019,1,20,00,2019-01-20
2019-02-07,2019-02-07,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,55.92,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-07,2019-02-07,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,71.51,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,31.69,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-13,2019-02-13,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,63.28,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,74.43,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,45.23,µg/m3,manual,2019,2,25,00,2019-02-25
2019-02-25,2019-02-25,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,79.12,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,19.02,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-03,2019-03-03,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,63.35,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,23.92,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-09,2019-03-09,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,59.18,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,75.28,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,37.87,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-21,2019-03-21,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,80.51,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,40.03,µg/m3,manual,2019,3,27,00,2019-03-27
2019-03-27,2019-03-27,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,66.84,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,74.11,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-02,2019-04-02,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,48.33,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,12.13,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-08,2019-04-08,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,33.38,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,18.39,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-14,2019-04-14,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,48.59,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,22.69,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-20,2019-04-20,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,PTS,51.32,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Nit - Hospital Psiquiátrico/Jurujuba,RJ246,MP10,16.41,µg/m3,manual,2019,4,26,00,2019-04-26
