datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2020-07-01,2020-07-01,00:00,Nit - Jurujuba,RJ269,PTS,183.63,µg/m3,manual,2020,7,1,00,2020-07-01
2020-07-07,2020-07-07,00:00,Nit - Jurujuba,RJ269,PTS,76.72,µg/m3,manual,2020,7,7,00,2020-07-07
2020-07-25,2020-07-25,00:00,Nit - Jurujuba,RJ269,PTS,41.86,µg/m3,manual,2020,7,25,00,2020-07-25
2020-07-31,2020-07-31,00:00,Nit - Jurujuba,RJ269,PTS,74.04,µg/m3,manual,2020,7,31,00,2020-07-31
2020-08-06,2020-08-06,00:00,Nit - Jurujuba,RJ269,PTS,110.59,µg/m3,manual,2020,8,6,00,2020-08-06
2020-08-12,2020-08-12,00:00,Nit - Jurujuba,RJ269,PTS,113.61,µg/m3,manual,2020,8,12,00,2020-08-12
2020-08-18,2020-08-18,00:00,Nit - Jurujuba,RJ269,PTS,162.57,µg/m3,manual,2020,8,18,00,2020-08-18
2020-08-24,2020-08-24,00:00,Nit - Jurujuba,RJ269,PTS,21.68,µg/m3,manual,2020,8,24,00,2020-08-24
2020-08-30,2020-08-30,00:00,Nit - Jurujuba,RJ269,PTS,44.82,µg/m3,manual,2020,8,30,00,2020-08-30
2020-09-05,2020-09-05,00:00,Nit - Jurujuba,RJ269,PTS,79.38,µg/m3,manual,2020,9,5,00,2020-09-05
2020-09-11,2020-09-11,00:00,Nit - Jurujuba,RJ269,PTS,78.07,µg/m3,manual,2020,9,11,00,2020-09-11
2020-09-17,2020-09-17,00:00,Nit - Jurujuba,RJ269,PTS,212.03,µg/m3,manual,2020,9,17,00,2020-09-17
2020-09-23,2020-09-23,00:00,Nit - Jurujuba,RJ269,PTS,60.89,µg/m3,manual,2020,9,23,00,2020-09-23
2020-09-29,2020-09-29,00:00,Nit - Jurujuba,RJ269,PTS,98.26,µg/m3,manual,2020,9,29,00,2020-09-29
2020-10-05,2020-10-05,00:00,Nit - Jurujuba,RJ269,PTS,160.55,µg/m3,manual,2020,10,5,00,2020-10-05
2020-10-11,2020-10-11,00:00,Nit - Jurujuba,RJ269,PTS,31.63,µg/m3,manual,2020,10,11,00,2020-10-11
2020-10-17,2020-10-17,00:00,Nit - Jurujuba,RJ269,PTS,31.48,µg/m3,manual,2020,10,17,00,2020-10-17
2020-10-23,2020-10-23,00:00,Nit - Jurujuba,RJ269,PTS,166.55,µg/m3,manual,2020,10,23,00,2020-10-23
2020-11-04,2020-11-04,00:00,Nit - Jurujuba,RJ269,PTS,49.09,µg/m3,manual,2020,11,4,00,2020-11-04
2020-11-16,2020-11-16,00:00,Nit - Jurujuba,RJ269,PTS,137.91,µg/m3,manual,2020,11,16,00,2020-11-16
2020-11-22,2020-11-22,00:00,Nit - Jurujuba,RJ269,PTS,28.36,µg/m3,manual,2020,11,22,00,2020-11-22
2020-11-28,2020-11-28,00:00,Nit - Jurujuba,RJ269,PTS,48.95,µg/m3,manual,2020,11,28,00,2020-11-28
2020-12-04,2020-12-04,00:00,Nit - Jurujuba,RJ269,PTS,48.58,µg/m3,manual,2020,12,4,00,2020-12-04
2020-12-10,2020-12-10,00:00,Nit - Jurujuba,RJ269,PTS,22.76,µg/m3,manual,2020,12,10,00,2020-12-10
2020-12-16,2020-12-16,00:00,Nit - Jurujuba,RJ269,PTS,42.04,µg/m3,manual,2020,12,16,00,2020-12-16
2020-12-22,2020-12-22,00:00,Nit - Jurujuba,RJ269,PTS,52.56,µg/m3,manual,2020,12,22,00,2020-12-22
2020-12-28,2020-12-28,00:00,Nit - Jurujuba,RJ269,PTS,31.46,µg/m3,manual,2020,12,28,00,2020-12-28
2022-02-03,2022-02-03,00:00:00,Nit - Jurujuba,RJ269,PTS,22.71,ug/m3,Manual,2022,2,3,00,2022-02-03
2022-02-09,2022-02-09,00:00:00,Nit - Jurujuba,RJ269,PTS,70.32,ug/m3,Manual,2022,2,9,00,2022-02-09
2022-02-15,2022-02-15,00:00:00,Nit - Jurujuba,RJ269,PTS,33.37,ug/m3,Manual,2022,2,15,00,2022-02-15
