datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,53.78,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-02,2019-01-02,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,101.82,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,70.52,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-08,2019-01-08,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,101.85,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,59.06,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-14,2019-01-14,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,122.2,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,44.77,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-20,2019-01-20,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,97.0,µg/m3,manual,2019,1,20,00,2019-01-20
2019-02-07,2019-02-07,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,98.41,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,60.92,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-13,2019-02-13,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,88.12,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,52.54,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-19,2019-02-19,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,126.33,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,60.12,µg/m3,manual,2019,2,25,00,2019-02-25
2019-02-25,2019-02-25,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,89.47,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,53.44,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-03,2019-03-03,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,105.36,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,37.32,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-09,2019-03-09,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,84.96,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,44.76,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-15,2019-03-15,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,76.18,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,60.24,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-21,2019-03-21,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,90.11,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,74.22,µg/m3,manual,2019,3,27,00,2019-03-27
2019-03-27,2019-03-27,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,108.45,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,37.5,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-02,2019-04-02,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,78.8,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,16.19,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-08,2019-04-08,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,41.4,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,48.1,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-14,2019-04-14,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,130.33,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,40.42,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-20,2019-04-20,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,76.25,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Nit - Águas de Niterói/Itaipu,RJ248,MP10,38.24,µg/m3,manual,2019,4,26,00,2019-04-26
2019-04-26,2019-04-26,00:00,Nit - Águas de Niterói/Itaipu,RJ248,PTS,69.25,µg/m3,manual,2019,4,26,00,2019-04-26
