datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-20,2019-01-20,00:00,Pedreira Bangu,RJ238,PTS,68.23,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,Pedreira Bangu,RJ238,PTS,77.21,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,Pedreira Bangu,RJ238,PTS,141.21,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,Pedreira Bangu,RJ238,PTS,67.03,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,Pedreira Bangu,RJ238,PTS,79.54,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,Pedreira Bangu,RJ238,PTS,128.35,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,Pedreira Bangu,RJ238,PTS,185.49,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,Pedreira Bangu,RJ238,PTS,71.24,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,Pedreira Bangu,RJ238,PTS,130.28,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,Pedreira Bangu,RJ238,PTS,144.2,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,Pedreira Bangu,RJ238,PTS,47.02,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,Pedreira Bangu,RJ238,PTS,55.97,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,Pedreira Bangu,RJ238,PTS,76.79,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Pedreira Bangu,RJ238,PTS,99.59,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Pedreira Bangu,RJ238,PTS,45.57,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Pedreira Bangu,RJ238,PTS,143.3,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Pedreira Bangu,RJ238,PTS,116.23,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-08,2019-05-08,00:00,Pedreira Bangu,RJ238,PTS,100.6,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,Pedreira Bangu,RJ238,PTS,97.77,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,Pedreira Bangu,RJ238,PTS,157.54,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,Pedreira Bangu,RJ238,PTS,112.57,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,Pedreira Bangu,RJ238,PTS,106.1,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,Pedreira Bangu,RJ238,PTS,157.87,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,Pedreira Bangu,RJ238,PTS,142.11,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,Pedreira Bangu,RJ238,PTS,226.02,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-25,2019-06-25,00:00,Pedreira Bangu,RJ238,PTS,172.62,µg/m3,manual,2019,6,25,00,2019-06-25
2022-04-04,2022-04-04,00:00:00,Pedreira Bangu,RJ238,PTS,150.22,ug/m3,Manual,2022,4,4,00,2022-04-04
2022-04-10,2022-04-10,00:00:00,Pedreira Bangu,RJ238,PTS,86.29,ug/m3,Manual,2022,4,10,00,2022-04-10
2022-04-16,2022-04-16,00:00:00,Pedreira Bangu,RJ238,PTS,92.07,ug/m3,Manual,2022,4,16,00,2022-04-16
2022-04-22,2022-04-22,00:00:00,Pedreira Bangu,RJ238,PTS,122.94,ug/m3,Manual,2022,4,22,00,2022-04-22
2022-05-04,2022-05-04,00:00:00,Pedreira Bangu,RJ238,PTS,150.39,ug/m3,Manual,2022,5,4,00,2022-05-04
2022-05-10,2022-05-10,00:00:00,Pedreira Bangu,RJ238,PTS,113.16,ug/m3,Manual,2022,5,10,00,2022-05-10
2022-05-16,2022-05-16,00:00:00,Pedreira Bangu,RJ238,PTS,106.99,ug/m3,Manual,2022,5,16,00,2022-05-16
