datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2022-10-01,2022-10-01,00:00:00,Ponte Coberta,RJ300,PTS,22.43,ug/m3,Manual,2022,10,1,00,2022-10-01
2022-10-07,2022-10-07,00:00:00,Ponte Coberta,RJ300,PTS,32.51,ug/m3,Manual,2022,10,7,00,2022-10-07
2022-10-13,2022-10-13,00:00:00,Ponte Coberta,RJ300,PTS,50.2,ug/m3,Manual,2022,10,13,00,2022-10-13
2022-10-19,2022-10-19,00:00:00,Ponte Coberta,RJ300,PTS,42.83,ug/m3,Manual,2022,10,19,00,2022-10-19
2022-10-25,2022-10-25,00:00:00,Ponte Coberta,RJ300,PTS,13.12,ug/m3,Manual,2022,10,25,00,2022-10-25
2022-11-06,2022-11-06,00:00:00,Ponte Coberta,RJ300,PTS,10.53,ug/m3,Manual,2022,11,6,00,2022-11-06
2022-11-12,2022-11-12,00:00:00,Ponte Coberta,RJ300,PTS,28.92,ug/m3,Manual,2022,11,12,00,2022-11-12
2022-11-18,2022-11-18,00:00:00,Ponte Coberta,RJ300,PTS,65.92,ug/m3,Manual,2022,11,18,00,2022-11-18
2022-11-24,2022-11-24,00:00:00,Ponte Coberta,RJ300,PTS,11.33,ug/m3,Manual,2022,11,24,00,2022-11-24
2022-12-06,2022-12-06,00:00:00,Ponte Coberta,RJ300,PTS,14.5,ug/m3,Manual,2022,12,6,00,2022-12-06
2022-12-24,2022-12-24,00:00:00,Ponte Coberta,RJ300,PTS,15.46,ug/m3,Manual,2022,12,24,00,2022-12-24
2022-12-30,2022-12-30,00:00:00,Ponte Coberta,RJ300,PTS,9.9,ug/m3,Manual,2022,12,30,00,2022-12-30
