datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-04-02,2019-04-02,00:00,Próximo ao Galpão,RJ274,PTS,149.28,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,Próximo ao Galpão,RJ274,PTS,83.11,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,Próximo ao Galpão,RJ274,PTS,27.71,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,Próximo ao Galpão,RJ274,PTS,98.56,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,Próximo ao Galpão,RJ274,PTS,73.92,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,Próximo ao Galpão,RJ274,PTS,56.95,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,Próximo ao Galpão,RJ274,PTS,71.66,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,Próximo ao Galpão,RJ274,PTS,114.15,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,Próximo ao Galpão,RJ274,PTS,147.46,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,Próximo ao Galpão,RJ274,PTS,91.77,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,Próximo ao Galpão,RJ274,PTS,61.99,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,Próximo ao Galpão,RJ274,PTS,81.25,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,Próximo ao Galpão,RJ274,PTS,161.71,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-25,2019-06-25,00:00,Próximo ao Galpão,RJ274,PTS,179.98,µg/m3,manual,2019,6,25,00,2019-06-25
2019-07-01,2019-07-01,00:00,Próximo ao Galpão,RJ274,PTS,217.93,µg/m3,manual,2019,7,1,00,2019-07-01
2019-07-07,2019-07-07,00:00,Próximo ao Galpão,RJ274,PTS,61.24,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-13,2019-07-13,00:00,Próximo ao Galpão,RJ274,PTS,221.3,µg/m3,manual,2019,7,13,00,2019-07-13
2019-07-19,2019-07-19,00:00,Próximo ao Galpão,RJ274,PTS,130.02,µg/m3,manual,2019,7,19,00,2019-07-19
2019-07-25,2019-07-25,00:00,Próximo ao Galpão,RJ274,PTS,174.85,µg/m3,manual,2019,7,25,00,2019-07-25
2019-07-31,2019-07-31,00:00,Próximo ao Galpão,RJ274,PTS,176.64,µg/m3,manual,2019,7,31,00,2019-07-31
2019-08-12,2019-08-12,00:00,Próximo ao Galpão,RJ274,PTS,159.65,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-24,2019-08-24,00:00,Próximo ao Galpão,RJ274,PTS,63.9,µg/m3,manual,2019,8,24,00,2019-08-24
