datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-01-17,2015-01-17,12:00,RJ - Benfica,RJ33,PTS,105.0,ug/m3,manual,2015,1,17,12,2015-01-17 12:00:00
2015-01-23,2015-01-23,12:00,RJ - Benfica,RJ33,PTS,73.0,ug/m3,manual,2015,1,23,12,2015-01-23 12:00:00
2015-01-29,2015-01-29,12:00,RJ - Benfica,RJ33,PTS,86.0,ug/m3,manual,2015,1,29,12,2015-01-29 12:00:00
2015-02-04,2015-02-04,12:00,RJ - Benfica,RJ33,PTS,88.0,ug/m3,manual,2015,2,4,12,2015-02-04 12:00:00
2015-02-10,2015-02-10,12:00,RJ - Benfica,RJ33,PTS,98.0,ug/m3,manual,2015,2,10,12,2015-02-10 12:00:00
2015-02-28,2015-02-28,12:00,RJ - Benfica,RJ33,PTS,85.0,ug/m3,manual,2015,2,28,12,2015-02-28 12:00:00
2015-03-06,2015-03-06,12:00,RJ - Benfica,RJ33,PTS,90.0,ug/m3,manual,2015,3,6,12,2015-03-06 12:00:00
2015-03-12,2015-03-12,12:00,RJ - Benfica,RJ33,PTS,101.0,ug/m3,manual,2015,3,12,12,2015-03-12 12:00:00
2015-03-18,2015-03-18,12:00,RJ - Benfica,RJ33,PTS,88.0,ug/m3,manual,2015,3,18,12,2015-03-18 12:00:00
2015-03-24,2015-03-24,12:00,RJ - Benfica,RJ33,PTS,69.0,ug/m3,manual,2015,3,24,12,2015-03-24 12:00:00
2015-03-30,2015-03-30,12:00,RJ - Benfica,RJ33,PTS,83.0,ug/m3,manual,2015,3,30,12,2015-03-30 12:00:00
2015-04-05,2015-04-05,12:00,RJ - Benfica,RJ33,PTS,53.0,ug/m3,manual,2015,4,5,12,2015-04-05 12:00:00
2015-04-11,2015-04-11,12:00,RJ - Benfica,RJ33,PTS,61.0,ug/m3,manual,2015,4,11,12,2015-04-11 12:00:00
2015-04-23,2015-04-23,12:00,RJ - Benfica,RJ33,PTS,66.0,ug/m3,manual,2015,4,23,12,2015-04-23 12:00:00
2015-04-29,2015-04-29,12:00,RJ - Benfica,RJ33,PTS,85.0,ug/m3,manual,2015,4,29,12,2015-04-29 12:00:00
2015-05-05,2015-05-05,12:00,RJ - Benfica,RJ33,PTS,69.0,ug/m3,manual,2015,5,5,12,2015-05-05 12:00:00
2015-05-11,2015-05-11,12:00,RJ - Benfica,RJ33,PTS,66.0,ug/m3,manual,2015,5,11,12,2015-05-11 12:00:00
2015-05-17,2015-05-17,12:00,RJ - Benfica,RJ33,PTS,64.0,ug/m3,manual,2015,5,17,12,2015-05-17 12:00:00
2015-05-23,2015-05-23,12:00,RJ - Benfica,RJ33,PTS,104.0,ug/m3,manual,2015,5,23,12,2015-05-23 12:00:00
2015-05-29,2015-05-29,12:00,RJ - Benfica,RJ33,PTS,111.0,ug/m3,manual,2015,5,29,12,2015-05-29 12:00:00
2015-06-04,2015-06-04,12:00,RJ - Benfica,RJ33,PTS,100.0,ug/m3,manual,2015,6,4,12,2015-06-04 12:00:00
2015-06-10,2015-06-10,12:00,RJ - Benfica,RJ33,PTS,200.0,ug/m3,manual,2015,6,10,12,2015-06-10 12:00:00
2015-06-22,2015-06-22,12:00,RJ - Benfica,RJ33,PTS,131.0,ug/m3,manual,2015,6,22,12,2015-06-22 12:00:00
2015-06-28,2015-06-28,12:00,RJ - Benfica,RJ33,PTS,53.0,ug/m3,manual,2015,6,28,12,2015-06-28 12:00:00
2015-07-04,2015-07-04,12:00,RJ - Benfica,RJ33,PTS,124.0,ug/m3,manual,2015,7,4,12,2015-07-04 12:00:00
2015-07-16,2015-07-16,12:00,RJ - Benfica,RJ33,PTS,146.0,ug/m3,manual,2015,7,16,12,2015-07-16 12:00:00
2015-07-22,2015-07-22,12:00,RJ - Benfica,RJ33,PTS,115.0,ug/m3,manual,2015,7,22,12,2015-07-22 12:00:00
2015-07-28,2015-07-28,12:00,RJ - Benfica,RJ33,PTS,94.0,ug/m3,manual,2015,7,28,12,2015-07-28 12:00:00
2015-08-03,2015-08-03,12:00,RJ - Benfica,RJ33,PTS,127.0,ug/m3,manual,2015,8,3,12,2015-08-03 12:00:00
2015-08-09,2015-08-09,12:00,RJ - Benfica,RJ33,PTS,67.0,ug/m3,manual,2015,8,9,12,2015-08-09 12:00:00
