datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-01-11,2015-01-11,12:00,RJ - Copacabana,RJ37,MP2.5,4.0,ug/m3,manual,2015,1,11,12,2015-01-11 12:00:00
2015-01-23,2015-01-23,12:00,RJ - Copacabana,RJ37,MP2.5,8.0,ug/m3,manual,2015,1,23,12,2015-01-23 12:00:00
2015-01-29,2015-01-29,12:00,RJ - Copacabana,RJ37,MP2.5,13.0,ug/m3,manual,2015,1,29,12,2015-01-29 12:00:00
2015-02-10,2015-02-10,12:00,RJ - Copacabana,RJ37,MP2.5,11.0,ug/m3,manual,2015,2,10,12,2015-02-10 12:00:00
2015-02-16,2015-02-16,12:00,RJ - Copacabana,RJ37,MP2.5,9.0,ug/m3,manual,2015,2,16,12,2015-02-16 12:00:00
2015-02-22,2015-02-22,12:00,RJ - Copacabana,RJ37,MP2.5,4.0,ug/m3,manual,2015,2,22,12,2015-02-22 12:00:00
2015-02-28,2015-02-28,12:00,RJ - Copacabana,RJ37,MP2.5,9.0,ug/m3,manual,2015,2,28,12,2015-02-28 12:00:00
2015-03-06,2015-03-06,12:00,RJ - Copacabana,RJ37,MP2.5,1.0,ug/m3,manual,2015,3,6,12,2015-03-06 12:00:00
2015-03-12,2015-03-12,12:00,RJ - Copacabana,RJ37,MP2.5,8.0,ug/m3,manual,2015,3,12,12,2015-03-12 12:00:00
2015-05-29,2015-05-29,12:00,RJ - Copacabana,RJ37,MP2.5,11.0,ug/m3,manual,2015,5,29,12,2015-05-29 12:00:00
2015-06-04,2015-06-04,12:00,RJ - Copacabana,RJ37,MP2.5,11.0,ug/m3,manual,2015,6,4,12,2015-06-04 12:00:00
2015-06-10,2015-06-10,12:00,RJ - Copacabana,RJ37,MP2.5,24.0,ug/m3,manual,2015,6,10,12,2015-06-10 12:00:00
2015-07-04,2015-07-04,12:00,RJ - Copacabana,RJ37,MP2.5,5.0,ug/m3,manual,2015,7,4,12,2015-07-04 12:00:00
2015-07-10,2015-07-10,12:00,RJ - Copacabana,RJ37,MP2.5,14.0,ug/m3,manual,2015,7,10,12,2015-07-10 12:00:00
2015-07-16,2015-07-16,12:00,RJ - Copacabana,RJ37,MP2.5,21.0,ug/m3,manual,2015,7,16,12,2015-07-16 12:00:00
2015-07-22,2015-07-22,12:00,RJ - Copacabana,RJ37,MP2.5,6.0,ug/m3,manual,2015,7,22,12,2015-07-22 12:00:00
2015-07-28,2015-07-28,12:00,RJ - Copacabana,RJ37,MP2.5,9.0,ug/m3,manual,2015,7,28,12,2015-07-28 12:00:00
2015-11-01,2015-11-01,12:00,RJ - Copacabana,RJ37,MP2.5,11.0,ug/m3,manual,2015,11,1,12,2015-11-01 12:00:00
2015-11-07,2015-11-07,12:00,RJ - Copacabana,RJ37,MP2.5,1.0,ug/m3,manual,2015,11,7,12,2015-11-07 12:00:00
2015-11-19,2015-11-19,12:00,RJ - Copacabana,RJ37,MP2.5,22.0,ug/m3,manual,2015,11,19,12,2015-11-19 12:00:00
2015-11-25,2015-11-25,12:00,RJ - Copacabana,RJ37,MP2.5,9.0,ug/m3,manual,2015,11,25,12,2015-11-25 12:00:00
2015-12-01,2015-12-01,12:00,RJ - Copacabana,RJ37,MP2.5,6.0,ug/m3,manual,2015,12,1,12,2015-12-01 12:00:00
2016-03-06,2016-03-06,12:00,RJ - Copacabana,RJ37,MP2.5,14.0,ug/m3,manual,2016,3,6,12,2016-03-06 12:00:00
2016-03-12,2016-03-12,12:00,RJ - Copacabana,RJ37,MP2.5,6.0,ug/m3,manual,2016,3,12,12,2016-03-12 12:00:00
2016-03-18,2016-03-18,12:00,RJ - Copacabana,RJ37,MP2.5,8.0,ug/m3,manual,2016,3,18,12,2016-03-18 12:00:00
2016-03-24,2016-03-24,12:00,RJ - Copacabana,RJ37,MP2.5,5.0,ug/m3,manual,2016,3,24,12,2016-03-24 12:00:00
2016-07-04,2016-07-04,12:00,RJ - Copacabana,RJ37,MP2.5,23.0,ug/m3,manual,2016,7,4,12,2016-07-04 12:00:00
2016-07-10,2016-07-10,12:00,RJ - Copacabana,RJ37,MP2.5,29.0,ug/m3,manual,2016,7,10,12,2016-07-10 12:00:00
2016-07-22,2016-07-22,12:00,RJ - Copacabana,RJ37,MP2.5,20.0,ug/m3,manual,2016,7,22,12,2016-07-22 12:00:00
