datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,29.05,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,56.54,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-20,2019-01-20,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,40.18,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,20.78,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,64.34,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-13,2019-02-13,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,34.81,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,40.71,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,51.28,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,27.94,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,52.91,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,36.25,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,29.16,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,26.85,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,28.08,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-14,2019-04-14,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,30.74,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,32.05,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,56.92,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,39.4,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,36.25,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,39.43,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,38.38,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,23.7,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,54.46,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,52.31,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,65.36,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,60.59,µg/m3,manual,2019,6,19,00,2019-06-19
2019-07-07,2019-07-07,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,26.13,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-13,2019-07-13,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,62.15,µg/m3,manual,2019,7,13,00,2019-07-13
2019-07-19,2019-07-19,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,53.71,µg/m3,manual,2019,7,19,00,2019-07-19
2019-07-25,2019-07-25,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,68.4,µg/m3,manual,2019,7,25,00,2019-07-25
2019-07-31,2019-07-31,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,51.23,µg/m3,manual,2019,7,31,00,2019-07-31
2019-08-06,2019-08-06,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,42.54,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-12,2019-08-12,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,69.17,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-18,2019-08-18,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,52.09,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-24,2019-08-24,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,22.68,µg/m3,manual,2019,8,24,00,2019-08-24
2019-08-30,2019-08-30,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,48.81,µg/m3,manual,2019,8,30,00,2019-08-30
2019-09-05,2019-09-05,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,12.68,µg/m3,manual,2019,9,5,00,2019-09-05
2019-09-11,2019-09-11,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,95.83,µg/m3,manual,2019,9,11,00,2019-09-11
2019-09-17,2019-09-17,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,76.16,µg/m3,manual,2019,9,17,00,2019-09-17
2019-09-23,2019-09-23,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,37.78,µg/m3,manual,2019,9,23,00,2019-09-23
2019-09-29,2019-09-29,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,33.73,µg/m3,manual,2019,9,29,00,2019-09-29
2019-10-05,2019-10-05,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,73.1,µg/m3,manual,2019,10,5,00,2019-10-05
2019-10-11,2019-10-11,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,52.25,µg/m3,manual,2019,10,11,00,2019-10-11
2019-10-17,2019-10-17,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,50.7,µg/m3,manual,2019,10,17,00,2019-10-17
2019-10-23,2019-10-23,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,26.64,µg/m3,manual,2019,10,23,00,2019-10-23
2019-10-29,2019-10-29,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,48.51,µg/m3,manual,2019,10,29,00,2019-10-29
2019-11-04,2019-11-04,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,48.67,µg/m3,manual,2019,11,4,00,2019-11-04
2019-11-10,2019-11-10,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,41.43,µg/m3,manual,2019,11,10,00,2019-11-10
2019-11-16,2019-11-16,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,29.72,µg/m3,manual,2019,11,16,00,2019-11-16
2019-11-22,2019-11-22,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,74.96,µg/m3,manual,2019,11,22,00,2019-11-22
2019-11-28,2019-11-28,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,8.98,µg/m3,manual,2019,11,28,00,2019-11-28
2019-12-04,2019-12-04,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,84.65,µg/m3,manual,2019,12,4,00,2019-12-04
2019-12-10,2019-12-10,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,65.84,µg/m3,manual,2019,12,10,00,2019-12-10
2019-12-16,2019-12-16,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,52.85,µg/m3,manual,2019,12,16,00,2019-12-16
2020-01-03,2020-01-03,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,23.45,µg/m3,manual,2020,1,3,00,2020-01-03
2020-01-09,2020-01-09,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,56.61,µg/m3,manual,2020,1,9,00,2020-01-09
2020-01-15,2020-01-15,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,61.43,µg/m3,manual,2020,1,15,00,2020-01-15
2020-01-21,2020-01-21,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,41.46,µg/m3,manual,2020,1,21,00,2020-01-21
2020-01-27,2020-01-27,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,76.69,µg/m3,manual,2020,1,27,00,2020-01-27
2020-02-02,2020-02-02,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,30.56,µg/m3,manual,2020,2,2,00,2020-02-02
2020-02-20,2020-02-20,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,4.72,µg/m3,manual,2020,2,20,00,2020-02-20
2020-04-20,2020-04-20,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,30.51,µg/m3,manual,2020,4,20,00,2020-04-20
2020-04-26,2020-04-26,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,39.85,µg/m3,manual,2020,4,26,00,2020-04-26
2020-05-08,2020-05-08,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,16.02,µg/m3,manual,2020,5,8,00,2020-05-08
2020-05-14,2020-05-14,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,31.14,µg/m3,manual,2020,5,14,00,2020-05-14
2020-05-20,2020-05-20,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,41.93,µg/m3,manual,2020,5,20,00,2020-05-20
2020-05-26,2020-05-26,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,27.75,µg/m3,manual,2020,5,26,00,2020-05-26
2020-06-01,2020-06-01,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,37.91,µg/m3,manual,2020,6,1,00,2020-06-01
2020-06-07,2020-06-07,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,30.3,µg/m3,manual,2020,6,7,00,2020-06-07
2020-06-13,2020-06-13,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,38.25,µg/m3,manual,2020,6,13,00,2020-06-13
2020-06-19,2020-06-19,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,48.81,µg/m3,manual,2020,6,19,00,2020-06-19
2020-06-25,2020-06-25,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,74.92,µg/m3,manual,2020,6,25,00,2020-06-25
2020-07-07,2020-07-07,00:00,RJ - Estrada dos Bandeirantes,RJ235,PTS,54.56,µg/m3,manual,2020,7,7,00,2020-07-07
