datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-02-11,2015-02-11,11:30,RJ - Jacarepaguá,RJ99,O3,27.0,ppb,automatico,2015,2,11,11,2015-02-11 11:00:00
2015-02-11,2015-02-11,12:30,RJ - Jacarepaguá,RJ99,O3,22.9,ppb,automatico,2015,2,11,12,2015-02-11 12:00:00
2015-02-11,2015-02-11,13:30,RJ - Jacarepaguá,RJ99,O3,51.8,ppb,automatico,2015,2,11,13,2015-02-11 13:00:00
2015-02-11,2015-02-11,15:30,RJ - Jacarepaguá,RJ99,O3,62.6,ppb,automatico,2015,2,11,15,2015-02-11 15:00:00
2015-02-23,2015-02-23,00:30,RJ - Jacarepaguá,RJ99,O3,0.0,ppb,automatico,2015,2,23,00,2015-02-23 00:00:00
2015-02-23,2015-02-23,01:30,RJ - Jacarepaguá,RJ99,O3,0.0,ppb,automatico,2015,2,23,01,2015-02-23 01:00:00
2015-02-23,2015-02-23,02:30,RJ - Jacarepaguá,RJ99,O3,0.0,ppb,automatico,2015,2,23,02,2015-02-23 02:00:00
2015-02-23,2015-02-23,03:30,RJ - Jacarepaguá,RJ99,O3,0.0,ppb,automatico,2015,2,23,03,2015-02-23 03:00:00
2015-02-23,2015-02-23,04:30,RJ - Jacarepaguá,RJ99,O3,0.0,ppb,automatico,2015,2,23,04,2015-02-23 04:00:00
2015-02-23,2015-02-23,05:30,RJ - Jacarepaguá,RJ99,O3,0.0,ppb,automatico,2015,2,23,05,2015-02-23 05:00:00
2015-02-23,2015-02-23,06:30,RJ - Jacarepaguá,RJ99,O3,0.0,ppb,automatico,2015,2,23,06,2015-02-23 06:00:00
2015-02-23,2015-02-23,07:30,RJ - Jacarepaguá,RJ99,O3,0.0,ppb,automatico,2015,2,23,07,2015-02-23 07:00:00
2015-02-23,2015-02-23,08:30,RJ - Jacarepaguá,RJ99,O3,0.0,ppb,automatico,2015,2,23,08,2015-02-23 08:00:00
2015-02-23,2015-02-23,09:30,RJ - Jacarepaguá,RJ99,O3,0.0,ppb,automatico,2015,2,23,09,2015-02-23 09:00:00
2015-02-23,2015-02-23,10:30,RJ - Jacarepaguá,RJ99,O3,0.1,ppb,automatico,2015,2,23,10,2015-02-23 10:00:00
2015-02-23,2015-02-23,11:30,RJ - Jacarepaguá,RJ99,O3,1.0,ppb,automatico,2015,2,23,11,2015-02-23 11:00:00
2015-02-23,2015-02-23,12:30,RJ - Jacarepaguá,RJ99,O3,1.9,ppb,automatico,2015,2,23,12,2015-02-23 12:00:00
2015-02-23,2015-02-23,13:30,RJ - Jacarepaguá,RJ99,O3,3.1,ppb,automatico,2015,2,23,13,2015-02-23 13:00:00
2015-02-23,2015-02-23,14:30,RJ - Jacarepaguá,RJ99,O3,2.0,ppb,automatico,2015,2,23,14,2015-02-23 14:00:00
