datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2022-01-04,2022-01-04,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,37.99,ug/m3,Manual,2022,1,4,00,2022-01-04
2022-01-10,2022-01-10,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,52.44,ug/m3,Manual,2022,1,10,00,2022-01-10
2022-01-16,2022-01-16,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,57.5,ug/m3,Manual,2022,1,16,00,2022-01-16
2022-02-03,2022-02-03,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,14.91,ug/m3,Manual,2022,2,3,00,2022-02-03
2022-02-09,2022-02-09,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,32.87,ug/m3,Manual,2022,2,9,00,2022-02-09
2022-02-15,2022-02-15,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,59.65,ug/m3,Manual,2022,2,15,00,2022-02-15
2022-02-21,2022-02-21,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,35.88,ug/m3,Manual,2022,2,21,00,2022-02-21
2022-02-27,2022-02-27,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,34.89,ug/m3,Manual,2022,2,27,00,2022-02-27
2022-03-05,2022-03-05,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,54.04,ug/m3,Manual,2022,3,5,00,2022-03-05
2022-03-11,2022-03-11,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,72.4,ug/m3,Manual,2022,3,11,00,2022-03-11
2022-03-17,2022-03-17,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,84.12,ug/m3,Manual,2022,3,17,00,2022-03-17
2022-03-23,2022-03-23,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,78.47,ug/m3,Manual,2022,3,23,00,2022-03-23
2022-03-29,2022-03-29,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,54.0,ug/m3,Manual,2022,3,29,00,2022-03-29
2022-04-04,2022-04-04,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,35.79,ug/m3,Manual,2022,4,4,00,2022-04-04
2022-04-10,2022-04-10,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,42.04,ug/m3,Manual,2022,4,10,00,2022-04-10
2022-04-16,2022-04-16,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,34.42,ug/m3,Manual,2022,4,16,00,2022-04-16
2022-04-22,2022-04-22,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,33.99,ug/m3,Manual,2022,4,22,00,2022-04-22
2022-04-28,2022-04-28,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,39.26,ug/m3,Manual,2022,4,28,00,2022-04-28
2022-05-04,2022-05-04,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,35.97,ug/m3,Manual,2022,5,4,00,2022-05-04
2022-05-10,2022-05-10,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,40.39,ug/m3,Manual,2022,5,10,00,2022-05-10
2022-05-16,2022-05-16,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,31.74,ug/m3,Manual,2022,5,16,00,2022-05-16
2022-05-22,2022-05-22,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,33.11,ug/m3,Manual,2022,5,22,00,2022-05-22
2022-05-28,2022-05-28,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,41.16,ug/m3,Manual,2022,5,28,00,2022-05-28
2022-06-03,2022-06-03,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,32.4,ug/m3,Manual,2022,6,3,00,2022-06-03
2022-06-09,2022-06-09,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,35.02,ug/m3,Manual,2022,6,9,00,2022-06-09
2022-06-15,2022-06-15,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,26.31,ug/m3,Manual,2022,6,15,00,2022-06-15
2022-06-21,2022-06-21,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,40.63,ug/m3,Manual,2022,6,21,00,2022-06-21
2022-06-27,2022-06-27,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,38.6,ug/m3,Manual,2022,6,27,00,2022-06-27
2022-07-03,2022-07-03,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,31.83,ug/m3,Manual,2022,7,3,00,2022-07-03
2022-07-09,2022-07-09,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,39.97,ug/m3,Manual,2022,7,9,00,2022-07-09
2022-07-15,2022-07-15,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,27.86,ug/m3,Manual,2022,7,15,00,2022-07-15
2022-07-21,2022-07-21,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,28.63,ug/m3,Manual,2022,7,21,00,2022-07-21
2022-07-27,2022-07-27,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,49.34,ug/m3,Manual,2022,7,27,00,2022-07-27
2022-08-02,2022-08-02,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,47.84,ug/m3,Manual,2022,8,2,00,2022-08-02
2022-08-08,2022-08-08,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,26.07,ug/m3,Manual,2022,8,8,00,2022-08-08
2022-08-14,2022-08-14,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,28.57,ug/m3,Manual,2022,8,14,00,2022-08-14
2022-08-20,2022-08-20,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,51.07,ug/m3,Manual,2022,8,20,00,2022-08-20
2022-08-26,2022-08-26,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,28.69,ug/m3,Manual,2022,8,26,00,2022-08-26
2022-09-01,2022-09-01,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,60.44,ug/m3,Manual,2022,9,1,00,2022-09-01
2022-09-07,2022-09-07,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,35.08,ug/m3,Manual,2022,9,7,00,2022-09-07
2022-09-13,2022-09-13,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,56.62,ug/m3,Manual,2022,9,13,00,2022-09-13
2022-09-25,2022-09-25,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,48.45,ug/m3,Manual,2022,9,25,00,2022-09-25
2022-10-01,2022-10-01,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,45.58,ug/m3,Manual,2022,10,1,00,2022-10-01
2022-10-07,2022-10-07,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,35.14,ug/m3,Manual,2022,10,7,00,2022-10-07
2022-10-13,2022-10-13,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,66.05,ug/m3,Manual,2022,10,13,00,2022-10-13
2022-10-19,2022-10-19,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,35.32,ug/m3,Manual,2022,10,19,00,2022-10-19
2022-10-25,2022-10-25,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,39.68,ug/m3,Manual,2022,10,25,00,2022-10-25
2022-10-31,2022-10-31,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,72.2,ug/m3,Manual,2022,10,31,00,2022-10-31
2022-11-06,2022-11-06,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,70.35,ug/m3,Manual,2022,11,6,00,2022-11-06
2022-11-12,2022-11-12,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,41.58,ug/m3,Manual,2022,11,12,00,2022-11-12
2022-11-18,2022-11-18,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,36.75,ug/m3,Manual,2022,11,18,00,2022-11-18
2022-11-24,2022-11-24,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,49.11,ug/m3,Manual,2022,11,24,00,2022-11-24
2022-11-30,2022-11-30,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,32.7,ug/m3,Manual,2022,11,30,00,2022-11-30
2022-12-06,2022-12-06,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,65.27,ug/m3,Manual,2022,12,6,00,2022-12-06
2022-12-12,2022-12-12,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,79.29,ug/m3,Manual,2022,12,12,00,2022-12-12
2022-12-18,2022-12-18,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,30.25,ug/m3,Manual,2022,12,18,00,2022-12-18
2022-12-24,2022-12-24,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,34.3,ug/m3,Manual,2022,12,24,00,2022-12-24
2022-12-30,2022-12-30,00:00:00,RJ - Jardim Ocenico,RJ245,MP2.5,67.66,ug/m3,Manual,2022,12,30,00,2022-12-30
2022-01-04,2022-01-04,00:00:00,RJ - Jardim Ocenico,RJ245,PTS,84.08,ug/m3,Manual,2022,1,4,00,2022-01-04
2022-01-10,2022-01-10,00:00:00,RJ - Jardim Ocenico,RJ245,PTS,95.63,ug/m3,Manual,2022,1,10,00,2022-01-10
2022-01-16,2022-01-16,00:00:00,RJ - Jardim Ocenico,RJ245,PTS,115.05,ug/m3,Manual,2022,1,16,00,2022-01-16
2022-01-28,2022-01-28,00:00:00,RJ - Jardim Ocenico,RJ245,PTS,77.86,ug/m3,Manual,2022,1,28,00,2022-01-28
2022-02-03,2022-02-03,00:00:00,RJ - Jardim Ocenico,RJ245,PTS,45.47,ug/m3,Manual,2022,2,3,00,2022-02-03
2022-02-09,2022-02-09,00:00:00,RJ - Jardim Ocenico,RJ245,PTS,70.86,ug/m3,Manual,2022,2,9,00,2022-02-09
2022-02-15,2022-02-15,00:00:00,RJ - Jardim Ocenico,RJ245,PTS,122.23,ug/m3,Manual,2022,2,15,00,2022-02-15
2022-02-21,2022-02-21,00:00:00,RJ - Jardim Ocenico,RJ245,PTS,75.47,ug/m3,Manual,2022,2,21,00,2022-02-21
2022-03-11,2022-03-11,00:00:00,RJ - Jardim Ocenico,RJ245,PTS,142.73,ug/m3,Manual,2022,3,11,00,2022-03-11
