datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,24.45,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-02,2019-01-02,00:00,RJ - Jardim Oceânico,RJ245,PTS,62.58,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,21.75,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-08,2019-01-08,00:00,RJ - Jardim Oceânico,RJ245,PTS,70.7,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,27.1,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-14,2019-01-14,00:00,RJ - Jardim Oceânico,RJ245,PTS,76.99,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,18.73,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-20,2019-01-20,00:00,RJ - Jardim Oceânico,RJ245,PTS,57.27,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,7.94,µg/m3,manual,2019,1,26,00,2019-01-26
2019-01-26,2019-01-26,00:00,RJ - Jardim Oceânico,RJ245,PTS,44.93,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,23.09,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-01,2019-02-01,00:00,RJ - Jardim Oceânico,RJ245,PTS,74.77,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,10.83,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-07,2019-02-07,00:00,RJ - Jardim Oceânico,RJ245,PTS,76.13,µg/m3,manual,2019,2,7,00,2019-02-07
2019-02-13,2019-02-13,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,11.88,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-13,2019-02-13,00:00,RJ - Jardim Oceânico,RJ245,PTS,72.59,µg/m3,manual,2019,2,13,00,2019-02-13
2019-02-19,2019-02-19,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,17.37,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-19,2019-02-19,00:00,RJ - Jardim Oceânico,RJ245,PTS,59.43,µg/m3,manual,2019,2,19,00,2019-02-19
2019-02-25,2019-02-25,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,28.33,µg/m3,manual,2019,2,25,00,2019-02-25
2019-02-25,2019-02-25,00:00,RJ - Jardim Oceânico,RJ245,PTS,78.14,µg/m3,manual,2019,2,25,00,2019-02-25
2019-03-03,2019-03-03,00:00,RJ - Jardim Oceânico,RJ245,PTS,79.39,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,12.33,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-09,2019-03-09,00:00,RJ - Jardim Oceânico,RJ245,PTS,62.83,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,15.46,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-15,2019-03-15,00:00,RJ - Jardim Oceânico,RJ245,PTS,43.19,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-21,2019-03-21,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,9.09,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-21,2019-03-21,00:00,RJ - Jardim Oceânico,RJ245,PTS,72.46,µg/m3,manual,2019,3,21,00,2019-03-21
2019-03-27,2019-03-27,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,15.27,µg/m3,manual,2019,3,27,00,2019-03-27
2019-03-27,2019-03-27,00:00,RJ - Jardim Oceânico,RJ245,PTS,53.94,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,RJ - Jardim Oceânico,RJ245,MP2.5,10.47,µg/m3,manual,2019,4,2,00,2019-04-02
