datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,RJ - Praça Antero de Quental,RJ244,MP2.5,28.04,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-02,2019-01-02,00:00,RJ - Praça Antero de Quental,RJ244,PTS,65.4,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,RJ - Praça Antero de Quental,RJ244,MP2.5,49.33,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-08,2019-01-08,00:00,RJ - Praça Antero de Quental,RJ244,PTS,109.63,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,RJ - Praça Antero de Quental,RJ244,MP2.5,33.13,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-14,2019-01-14,00:00,RJ - Praça Antero de Quental,RJ244,PTS,102.18,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,RJ - Praça Antero de Quental,RJ244,MP2.5,39.32,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-20,2019-01-20,00:00,RJ - Praça Antero de Quental,RJ244,PTS,103.52,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,RJ - Praça Antero de Quental,RJ244,MP2.5,12.44,µg/m3,manual,2019,1,26,00,2019-01-26
2019-01-26,2019-01-26,00:00,RJ - Praça Antero de Quental,RJ244,PTS,40.52,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,RJ - Praça Antero de Quental,RJ244,MP2.5,35.18,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-01,2019-02-01,00:00,RJ - Praça Antero de Quental,RJ244,PTS,95.36,µg/m3,manual,2019,2,1,00,2019-02-01
2019-02-07,2019-02-07,00:00,RJ - Praça Antero de Quental,RJ244,MP2.5,25.37,µg/m3,manual,2019,2,7,00,2019-02-07
