datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-03-27,2019-03-27,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,39.54,µg/m3,manual,2019,3,27,00,2019-03-27
2019-03-27,2019-03-27,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,58.28,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,31.14,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-02,2019-04-02,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,73.63,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,28.28,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-08,2019-04-08,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,117.49,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,13.92,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-14,2019-04-14,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,47.98,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,34.92,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-20,2019-04-20,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,144.6,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,24.14,µg/m3,manual,2019,4,26,00,2019-04-26
2019-04-26,2019-04-26,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,133.98,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,46.37,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-02,2019-05-02,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,101.88,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,36.33,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-08,2019-05-08,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,116.02,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,41.46,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-14,2019-05-14,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,98.16,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,27.65,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-20,2019-05-20,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,67.07,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,25.37,µg/m3,manual,2019,5,26,00,2019-05-26
2019-05-26,2019-05-26,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,84.06,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,31.2,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-01,2019-06-01,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,142.65,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,25.31,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-07,2019-06-07,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,69.62,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,65.4,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-13,2019-06-13,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,84.38,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,50.01,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-19,2019-06-19,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,76.81,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-25,2019-06-25,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,69.47,µg/m3,manual,2019,6,25,00,2019-06-25
2019-06-25,2019-06-25,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,54.12,µg/m3,manual,2019,6,25,00,2019-06-25
2019-07-01,2019-07-01,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,56.73,µg/m3,manual,2019,7,1,00,2019-07-01
2019-07-01,2019-07-01,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,86.97,µg/m3,manual,2019,7,1,00,2019-07-01
2019-07-07,2019-07-07,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,9.12,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-07,2019-07-07,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,85.51,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-13,2019-07-13,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,59.58,µg/m3,manual,2019,7,13,00,2019-07-13
2019-07-13,2019-07-13,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,148.49,µg/m3,manual,2019,7,13,00,2019-07-13
2019-07-19,2019-07-19,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,32.65,µg/m3,manual,2019,7,19,00,2019-07-19
2019-07-19,2019-07-19,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,106.07,µg/m3,manual,2019,7,19,00,2019-07-19
2019-07-25,2019-07-25,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,91.88,µg/m3,manual,2019,7,25,00,2019-07-25
2019-07-25,2019-07-25,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,204.14,µg/m3,manual,2019,7,25,00,2019-07-25
2019-07-31,2019-07-31,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,61.95,µg/m3,manual,2019,7,31,00,2019-07-31
2019-07-31,2019-07-31,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,152.89,µg/m3,manual,2019,7,31,00,2019-07-31
2019-08-06,2019-08-06,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,24.57,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-06,2019-08-06,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,65.33,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-12,2019-08-12,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,52.04,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-12,2019-08-12,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,122.57,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-18,2019-08-18,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,50.82,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-18,2019-08-18,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,119.0,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-24,2019-08-24,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,14.29,µg/m3,manual,2019,8,24,00,2019-08-24
2019-08-24,2019-08-24,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,57.34,µg/m3,manual,2019,8,24,00,2019-08-24
2019-08-30,2019-08-30,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,31.04,µg/m3,manual,2019,8,30,00,2019-08-30
2019-08-30,2019-08-30,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,96.04,µg/m3,manual,2019,8,30,00,2019-08-30
2019-09-05,2019-09-05,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,24.94,µg/m3,manual,2019,9,5,00,2019-09-05
2019-09-05,2019-09-05,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,PTS,73.65,µg/m3,manual,2019,9,5,00,2019-09-05
2019-09-11,2019-09-11,00:00,RJ - Praça Nossa Senhora da Paz,RJ243,MP2.5,42.1,µg/m3,manual,2019,9,11,00,2019-09-11
