datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-02-28,2015-02-28,12:00,RJ - Realengo,RJ108,PTS,67.0,ug/m3,manual,2015,2,28,12,2015-02-28 12:00:00
2015-03-12,2015-03-12,12:00,RJ - Realengo,RJ108,PTS,100.0,ug/m3,manual,2015,3,12,12,2015-03-12 12:00:00
2015-03-18,2015-03-18,12:00,RJ - Realengo,RJ108,PTS,118.0,ug/m3,manual,2015,3,18,12,2015-03-18 12:00:00
2015-03-24,2015-03-24,12:00,RJ - Realengo,RJ108,PTS,55.0,ug/m3,manual,2015,3,24,12,2015-03-24 12:00:00
2015-03-30,2015-03-30,12:00,RJ - Realengo,RJ108,PTS,107.0,ug/m3,manual,2015,3,30,12,2015-03-30 12:00:00
2015-04-05,2015-04-05,12:00,RJ - Realengo,RJ108,PTS,101.0,ug/m3,manual,2015,4,5,12,2015-04-05 12:00:00
2015-04-11,2015-04-11,12:00,RJ - Realengo,RJ108,PTS,111.0,ug/m3,manual,2015,4,11,12,2015-04-11 12:00:00
2015-04-23,2015-04-23,12:00,RJ - Realengo,RJ108,PTS,114.0,ug/m3,manual,2015,4,23,12,2015-04-23 12:00:00
2015-04-29,2015-04-29,12:00,RJ - Realengo,RJ108,PTS,68.0,ug/m3,manual,2015,4,29,12,2015-04-29 12:00:00
2015-05-05,2015-05-05,12:00,RJ - Realengo,RJ108,PTS,153.0,ug/m3,manual,2015,5,5,12,2015-05-05 12:00:00
2015-05-11,2015-05-11,12:00,RJ - Realengo,RJ108,PTS,67.0,ug/m3,manual,2015,5,11,12,2015-05-11 12:00:00
2015-05-23,2015-05-23,12:00,RJ - Realengo,RJ108,PTS,172.0,ug/m3,manual,2015,5,23,12,2015-05-23 12:00:00
2015-05-29,2015-05-29,12:00,RJ - Realengo,RJ108,PTS,100.0,ug/m3,manual,2015,5,29,12,2015-05-29 12:00:00
2015-06-04,2015-06-04,12:00,RJ - Realengo,RJ108,PTS,131.0,ug/m3,manual,2015,6,4,12,2015-06-04 12:00:00
2015-06-10,2015-06-10,12:00,RJ - Realengo,RJ108,PTS,256.0,ug/m3,manual,2015,6,10,12,2015-06-10 12:00:00
2015-06-16,2015-06-16,12:00,RJ - Realengo,RJ108,PTS,88.0,ug/m3,manual,2015,6,16,12,2015-06-16 12:00:00
2015-06-22,2015-06-22,12:00,RJ - Realengo,RJ108,PTS,198.0,ug/m3,manual,2015,6,22,12,2015-06-22 12:00:00
2015-06-28,2015-06-28,12:00,RJ - Realengo,RJ108,PTS,110.0,ug/m3,manual,2015,6,28,12,2015-06-28 12:00:00
2015-07-10,2015-07-10,12:00,RJ - Realengo,RJ108,PTS,247.0,ug/m3,manual,2015,7,10,12,2015-07-10 12:00:00
2015-07-16,2015-07-16,12:00,RJ - Realengo,RJ108,PTS,163.0,ug/m3,manual,2015,7,16,12,2015-07-16 12:00:00
2015-08-09,2015-08-09,12:00,RJ - Realengo,RJ108,PTS,126.0,ug/m3,manual,2015,8,9,12,2015-08-09 12:00:00
2015-08-15,2015-08-15,12:00,RJ - Realengo,RJ108,PTS,172.0,ug/m3,manual,2015,8,15,12,2015-08-15 12:00:00
2015-08-21,2015-08-21,12:00,RJ - Realengo,RJ108,PTS,131.0,ug/m3,manual,2015,8,21,12,2015-08-21 12:00:00
2015-09-02,2015-09-02,12:00,RJ - Realengo,RJ108,PTS,136.0,ug/m3,manual,2015,9,2,12,2015-09-02 12:00:00
2015-09-08,2015-09-08,12:00,RJ - Realengo,RJ108,PTS,135.0,ug/m3,manual,2015,9,8,12,2015-09-08 12:00:00
2015-09-14,2015-09-14,12:00,RJ - Realengo,RJ108,PTS,194.0,ug/m3,manual,2015,9,14,12,2015-09-14 12:00:00
2015-09-20,2015-09-20,12:00,RJ - Realengo,RJ108,PTS,87.0,ug/m3,manual,2015,9,20,12,2015-09-20 12:00:00
2016-03-24,2016-03-24,12:00,RJ - Realengo,RJ108,PTS,98.0,ug/m3,manual,2016,3,24,12,2016-03-24 12:00:00
2016-04-05,2016-04-05,12:00,RJ - Realengo,RJ108,PTS,82.0,ug/m3,manual,2016,4,5,12,2016-04-05 12:00:00
2016-04-11,2016-04-11,12:00,RJ - Realengo,RJ108,PTS,111.0,ug/m3,manual,2016,4,11,12,2016-04-11 12:00:00
2016-04-17,2016-04-17,12:00,RJ - Realengo,RJ108,PTS,108.0,ug/m3,manual,2016,4,17,12,2016-04-17 12:00:00
2016-04-23,2016-04-23,12:00,RJ - Realengo,RJ108,PTS,128.0,ug/m3,manual,2016,4,23,12,2016-04-23 12:00:00
2016-04-29,2016-04-29,12:00,RJ - Realengo,RJ108,PTS,79.0,ug/m3,manual,2016,4,29,12,2016-04-29 12:00:00
2016-05-05,2016-05-05,12:00,RJ - Realengo,RJ108,PTS,96.0,ug/m3,manual,2016,5,5,12,2016-05-05 12:00:00
