datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-01-17,2015-01-17,12:00,RJ - Santa Tereza,RJ109,PTS,70.0,ug/m3,manual,2015,1,17,12,2015-01-17 12:00:00
2015-01-23,2015-01-23,12:00,RJ - Santa Tereza,RJ109,PTS,33.0,ug/m3,manual,2015,1,23,12,2015-01-23 12:00:00
2015-01-29,2015-01-29,12:00,RJ - Santa Tereza,RJ109,PTS,57.0,ug/m3,manual,2015,1,29,12,2015-01-29 12:00:00
2015-02-04,2015-02-04,12:00,RJ - Santa Tereza,RJ109,PTS,45.0,ug/m3,manual,2015,2,4,12,2015-02-04 12:00:00
2015-02-10,2015-02-10,12:00,RJ - Santa Tereza,RJ109,PTS,50.0,ug/m3,manual,2015,2,10,12,2015-02-10 12:00:00
2015-02-16,2015-02-16,12:00,RJ - Santa Tereza,RJ109,PTS,32.0,ug/m3,manual,2015,2,16,12,2015-02-16 12:00:00
2015-02-22,2015-02-22,12:00,RJ - Santa Tereza,RJ109,PTS,24.0,ug/m3,manual,2015,2,22,12,2015-02-22 12:00:00
2015-02-28,2015-02-28,12:00,RJ - Santa Tereza,RJ109,PTS,36.0,ug/m3,manual,2015,2,28,12,2015-02-28 12:00:00
2015-03-06,2015-03-06,12:00,RJ - Santa Tereza,RJ109,PTS,45.0,ug/m3,manual,2015,3,6,12,2015-03-06 12:00:00
2015-03-12,2015-03-12,12:00,RJ - Santa Tereza,RJ109,PTS,31.0,ug/m3,manual,2015,3,12,12,2015-03-12 12:00:00
