datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-01-11,2015-01-11,12:00,RJ - Sumaré,RJ106,MP10,39.0,ug/m3,manual,2015,1,11,12,2015-01-11 12:00:00
2015-01-17,2015-01-17,12:00,RJ - Sumaré,RJ106,MP10,40.0,ug/m3,manual,2015,1,17,12,2015-01-17 12:00:00
2015-01-23,2015-01-23,12:00,RJ - Sumaré,RJ106,MP10,19.0,ug/m3,manual,2015,1,23,12,2015-01-23 12:00:00
2015-01-29,2015-01-29,12:00,RJ - Sumaré,RJ106,MP10,20.0,ug/m3,manual,2015,1,29,12,2015-01-29 12:00:00
2015-02-04,2015-02-04,12:00,RJ - Sumaré,RJ106,MP10,25.0,ug/m3,manual,2015,2,4,12,2015-02-04 12:00:00
2015-02-10,2015-02-10,12:00,RJ - Sumaré,RJ106,MP10,21.0,ug/m3,manual,2015,2,10,12,2015-02-10 12:00:00
2015-02-16,2015-02-16,12:00,RJ - Sumaré,RJ106,MP10,17.0,ug/m3,manual,2015,2,16,12,2015-02-16 12:00:00
2015-02-22,2015-02-22,12:00,RJ - Sumaré,RJ106,MP10,11.0,ug/m3,manual,2015,2,22,12,2015-02-22 12:00:00
2015-02-28,2015-02-28,12:00,RJ - Sumaré,RJ106,MP10,14.0,ug/m3,manual,2015,2,28,12,2015-02-28 12:00:00
2015-03-06,2015-03-06,12:00,RJ - Sumaré,RJ106,MP10,27.0,ug/m3,manual,2015,3,6,12,2015-03-06 12:00:00
2015-03-12,2015-03-12,12:00,RJ - Sumaré,RJ106,MP10,16.0,ug/m3,manual,2015,3,12,12,2015-03-12 12:00:00
2015-03-18,2015-03-18,12:00,RJ - Sumaré,RJ106,MP10,14.0,ug/m3,manual,2015,3,18,12,2015-03-18 12:00:00
2015-04-23,2015-04-23,12:00,RJ - Sumaré,RJ106,MP10,16.0,ug/m3,manual,2015,4,23,12,2015-04-23 12:00:00
2015-04-29,2015-04-29,12:00,RJ - Sumaré,RJ106,MP10,12.0,ug/m3,manual,2015,4,29,12,2015-04-29 12:00:00
2015-05-05,2015-05-05,12:00,RJ - Sumaré,RJ106,MP10,16.0,ug/m3,manual,2015,5,5,12,2015-05-05 12:00:00
2015-08-03,2015-08-03,12:00,RJ - Sumaré,RJ106,MP10,18.0,ug/m3,manual,2015,8,3,12,2015-08-03 12:00:00
2015-08-21,2015-08-21,12:00,RJ - Sumaré,RJ106,MP10,15.0,ug/m3,manual,2015,8,21,12,2015-08-21 12:00:00
2015-08-27,2015-08-27,12:00,RJ - Sumaré,RJ106,MP10,19.0,ug/m3,manual,2015,8,27,12,2015-08-27 12:00:00
2015-09-02,2015-09-02,12:00,RJ - Sumaré,RJ106,MP10,28.0,ug/m3,manual,2015,9,2,12,2015-09-02 12:00:00
2015-09-08,2015-09-08,12:00,RJ - Sumaré,RJ106,MP10,20.0,ug/m3,manual,2015,9,8,12,2015-09-08 12:00:00
2015-09-14,2015-09-14,12:00,RJ - Sumaré,RJ106,MP10,11.0,ug/m3,manual,2015,9,14,12,2015-09-14 12:00:00
2015-09-20,2015-09-20,12:00,RJ - Sumaré,RJ106,MP10,29.0,ug/m3,manual,2015,9,20,12,2015-09-20 12:00:00
2015-09-26,2015-09-26,12:00,RJ - Sumaré,RJ106,MP10,32.0,ug/m3,manual,2015,9,26,12,2015-09-26 12:00:00
2015-10-02,2015-10-02,12:00,RJ - Sumaré,RJ106,MP10,38.0,ug/m3,manual,2015,10,2,12,2015-10-02 12:00:00
2015-10-08,2015-10-08,12:00,RJ - Sumaré,RJ106,MP10,23.0,ug/m3,manual,2015,10,8,12,2015-10-08 12:00:00
2015-10-14,2015-10-14,12:00,RJ - Sumaré,RJ106,MP10,55.0,ug/m3,manual,2015,10,14,12,2015-10-14 12:00:00
2015-01-11,2015-01-11,12:00,RJ - Sumaré,RJ106,PTS,62.0,ug/m3,manual,2015,1,11,12,2015-01-11 12:00:00
2015-01-17,2015-01-17,12:00,RJ - Sumaré,RJ106,PTS,65.0,ug/m3,manual,2015,1,17,12,2015-01-17 12:00:00
