datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-08-20,2015-08-20,20:30,RJ - São Conrado,RJ98,O3,8.1,ppb,automatico,2015,8,20,20,2015-08-20 20:00:00
2015-08-20,2015-08-20,21:30,RJ - São Conrado,RJ98,O3,9.2,ppb,automatico,2015,8,20,21,2015-08-20 21:00:00
2015-08-20,2015-08-20,22:30,RJ - São Conrado,RJ98,O3,8.9,ppb,automatico,2015,8,20,22,2015-08-20 22:00:00
2015-08-20,2015-08-20,23:30,RJ - São Conrado,RJ98,O3,8.9,ppb,automatico,2015,8,20,23,2015-08-20 23:00:00
2015-08-21,2015-08-21,00:30,RJ - São Conrado,RJ98,O3,6.6,ppb,automatico,2015,8,21,00,2015-08-21 00:00:00
2015-08-21,2015-08-21,01:30,RJ - São Conrado,RJ98,O3,6.7,ppb,automatico,2015,8,21,01,2015-08-21 01:00:00
2015-08-21,2015-08-21,02:30,RJ - São Conrado,RJ98,O3,5.2,ppb,automatico,2015,8,21,02,2015-08-21 02:00:00
2015-08-21,2015-08-21,03:30,RJ - São Conrado,RJ98,O3,4.8,ppb,automatico,2015,8,21,03,2015-08-21 03:00:00
2015-08-21,2015-08-21,04:30,RJ - São Conrado,RJ98,O3,4.7,ppb,automatico,2015,8,21,04,2015-08-21 04:00:00
2015-08-21,2015-08-21,05:30,RJ - São Conrado,RJ98,O3,4.5,ppb,automatico,2015,8,21,05,2015-08-21 05:00:00
2015-08-21,2015-08-21,06:30,RJ - São Conrado,RJ98,O3,4.2,ppb,automatico,2015,8,21,06,2015-08-21 06:00:00
2015-08-21,2015-08-21,07:30,RJ - São Conrado,RJ98,O3,4.3,ppb,automatico,2015,8,21,07,2015-08-21 07:00:00
2015-08-21,2015-08-21,08:30,RJ - São Conrado,RJ98,O3,4.6,ppb,automatico,2015,8,21,08,2015-08-21 08:00:00
2015-08-21,2015-08-21,09:30,RJ - São Conrado,RJ98,O3,4.8,ppb,automatico,2015,8,21,09,2015-08-21 09:00:00
2015-08-21,2015-08-21,10:30,RJ - São Conrado,RJ98,O3,7.2,ppb,automatico,2015,8,21,10,2015-08-21 10:00:00
2015-08-21,2015-08-21,11:30,RJ - São Conrado,RJ98,O3,7.9,ppb,automatico,2015,8,21,11,2015-08-21 11:00:00
2015-08-21,2015-08-21,15:30,RJ - São Conrado,RJ98,O3,6.2,ppb,automatico,2015,8,21,15,2015-08-21 15:00:00
2015-08-21,2015-08-21,16:30,RJ - São Conrado,RJ98,O3,5.3,ppb,automatico,2015,8,21,16,2015-08-21 16:00:00
2015-08-21,2015-08-21,17:30,RJ - São Conrado,RJ98,O3,4.4,ppb,automatico,2015,8,21,17,2015-08-21 17:00:00
2015-08-21,2015-08-21,18:30,RJ - São Conrado,RJ98,O3,4.2,ppb,automatico,2015,8,21,18,2015-08-21 18:00:00
2015-08-21,2015-08-21,19:30,RJ - São Conrado,RJ98,O3,4.2,ppb,automatico,2015,8,21,19,2015-08-21 19:00:00
2015-08-21,2015-08-21,20:30,RJ - São Conrado,RJ98,O3,4.0,ppb,automatico,2015,8,21,20,2015-08-21 20:00:00
2015-08-21,2015-08-21,21:30,RJ - São Conrado,RJ98,O3,4.0,ppb,automatico,2015,8,21,21,2015-08-21 21:00:00
2015-08-21,2015-08-21,22:30,RJ - São Conrado,RJ98,O3,4.1,ppb,automatico,2015,8,21,22,2015-08-21 22:00:00
2015-08-21,2015-08-21,23:30,RJ - São Conrado,RJ98,O3,4.0,ppb,automatico,2015,8,21,23,2015-08-21 23:00:00
2015-08-22,2015-08-22,00:30,RJ - São Conrado,RJ98,O3,4.2,ppb,automatico,2015,8,22,00,2015-08-22 00:00:00
2015-08-22,2015-08-22,01:30,RJ - São Conrado,RJ98,O3,4.2,ppb,automatico,2015,8,22,01,2015-08-22 01:00:00
2015-08-22,2015-08-22,02:30,RJ - São Conrado,RJ98,O3,4.2,ppb,automatico,2015,8,22,02,2015-08-22 02:00:00
2015-08-22,2015-08-22,03:30,RJ - São Conrado,RJ98,O3,3.9,ppb,automatico,2015,8,22,03,2015-08-22 03:00:00
2015-08-22,2015-08-22,04:30,RJ - São Conrado,RJ98,O3,4.0,ppb,automatico,2015,8,22,04,2015-08-22 04:00:00
2015-08-22,2015-08-22,05:30,RJ - São Conrado,RJ98,O3,3.9,ppb,automatico,2015,8,22,05,2015-08-22 05:00:00
2015-08-22,2015-08-22,06:30,RJ - São Conrado,RJ98,O3,3.8,ppb,automatico,2015,8,22,06,2015-08-22 06:00:00
2015-08-22,2015-08-22,07:30,RJ - São Conrado,RJ98,O3,3.7,ppb,automatico,2015,8,22,07,2015-08-22 07:00:00
2015-08-22,2015-08-22,08:30,RJ - São Conrado,RJ98,O3,4.2,ppb,automatico,2015,8,22,08,2015-08-22 08:00:00
2015-08-22,2015-08-22,09:30,RJ - São Conrado,RJ98,O3,5.0,ppb,automatico,2015,8,22,09,2015-08-22 09:00:00
2015-08-22,2015-08-22,10:30,RJ - São Conrado,RJ98,O3,6.1,ppb,automatico,2015,8,22,10,2015-08-22 10:00:00
2015-08-22,2015-08-22,11:30,RJ - São Conrado,RJ98,O3,5.2,ppb,automatico,2015,8,22,11,2015-08-22 11:00:00
2015-08-22,2015-08-22,12:30,RJ - São Conrado,RJ98,O3,6.6,ppb,automatico,2015,8,22,12,2015-08-22 12:00:00
2015-08-22,2015-08-22,13:30,RJ - São Conrado,RJ98,O3,6.3,ppb,automatico,2015,8,22,13,2015-08-22 13:00:00
2015-08-22,2015-08-22,14:30,RJ - São Conrado,RJ98,O3,7.4,ppb,automatico,2015,8,22,14,2015-08-22 14:00:00
2015-08-22,2015-08-22,15:30,RJ - São Conrado,RJ98,O3,7.0,ppb,automatico,2015,8,22,15,2015-08-22 15:00:00
2015-08-22,2015-08-22,16:30,RJ - São Conrado,RJ98,O3,6.5,ppb,automatico,2015,8,22,16,2015-08-22 16:00:00
2015-08-22,2015-08-22,17:30,RJ - São Conrado,RJ98,O3,5.9,ppb,automatico,2015,8,22,17,2015-08-22 17:00:00
2015-08-22,2015-08-22,18:30,RJ - São Conrado,RJ98,O3,5.1,ppb,automatico,2015,8,22,18,2015-08-22 18:00:00
2015-08-22,2015-08-22,19:30,RJ - São Conrado,RJ98,O3,4.4,ppb,automatico,2015,8,22,19,2015-08-22 19:00:00
2015-08-22,2015-08-22,20:30,RJ - São Conrado,RJ98,O3,3.9,ppb,automatico,2015,8,22,20,2015-08-22 20:00:00
2015-08-22,2015-08-22,21:30,RJ - São Conrado,RJ98,O3,3.9,ppb,automatico,2015,8,22,21,2015-08-22 21:00:00
2015-08-22,2015-08-22,22:30,RJ - São Conrado,RJ98,O3,3.9,ppb,automatico,2015,8,22,22,2015-08-22 22:00:00
2015-08-22,2015-08-22,23:30,RJ - São Conrado,RJ98,O3,3.8,ppb,automatico,2015,8,22,23,2015-08-22 23:00:00
2015-08-23,2015-08-23,00:30,RJ - São Conrado,RJ98,O3,3.7,ppb,automatico,2015,8,23,00,2015-08-23 00:00:00
2015-08-23,2015-08-23,01:30,RJ - São Conrado,RJ98,O3,3.7,ppb,automatico,2015,8,23,01,2015-08-23 01:00:00
2015-08-23,2015-08-23,02:30,RJ - São Conrado,RJ98,O3,3.7,ppb,automatico,2015,8,23,02,2015-08-23 02:00:00
2015-08-23,2015-08-23,03:30,RJ - São Conrado,RJ98,O3,3.7,ppb,automatico,2015,8,23,03,2015-08-23 03:00:00
