datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,RJ - Tamoio,RJ237,PTS,62.99,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,RJ - Tamoio,RJ237,PTS,125.45,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,RJ - Tamoio,RJ237,PTS,207.77,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,RJ - Tamoio,RJ237,PTS,113.24,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,RJ - Tamoio,RJ237,PTS,81.21,µg/m3,manual,2019,1,26,00,2019-01-26
2019-02-01,2019-02-01,00:00,RJ - Tamoio,RJ237,PTS,189.78,µg/m3,manual,2019,2,1,00,2019-02-01
2019-03-21,2019-03-21,00:00,RJ - Tamoio,RJ237,PTS,26.9,µg/m3,manual,2019,3,21,00,2019-03-21
2019-04-02,2019-04-02,00:00,RJ - Tamoio,RJ237,PTS,107.43,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-14,2019-04-14,00:00,RJ - Tamoio,RJ237,PTS,30.99,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,RJ - Tamoio,RJ237,PTS,206.31,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,RJ - Tamoio,RJ237,PTS,146.72,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-14,2019-05-14,00:00,RJ - Tamoio,RJ237,PTS,67.66,µg/m3,manual,2019,5,14,00,2019-05-14
2019-05-20,2019-05-20,00:00,RJ - Tamoio,RJ237,PTS,59.98,µg/m3,manual,2019,5,20,00,2019-05-20
2019-05-26,2019-05-26,00:00,RJ - Tamoio,RJ237,PTS,37.83,µg/m3,manual,2019,5,26,00,2019-05-26
2019-06-01,2019-06-01,00:00,RJ - Tamoio,RJ237,PTS,85.14,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-13,2019-06-13,00:00,RJ - Tamoio,RJ237,PTS,82.76,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-25,2019-06-25,00:00,RJ - Tamoio,RJ237,PTS,82.97,µg/m3,manual,2019,6,25,00,2019-06-25
2019-07-01,2019-07-01,00:00,RJ - Tamoio,RJ237,PTS,72.57,µg/m3,manual,2019,7,1,00,2019-07-01
2019-07-07,2019-07-07,00:00,RJ - Tamoio,RJ237,PTS,57.73,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-19,2019-07-19,00:00,RJ - Tamoio,RJ237,PTS,88.43,µg/m3,manual,2019,7,19,00,2019-07-19
2019-07-25,2019-07-25,00:00,RJ - Tamoio,RJ237,PTS,139.09,µg/m3,manual,2019,7,25,00,2019-07-25
2019-07-31,2019-07-31,00:00,RJ - Tamoio,RJ237,PTS,167.42,µg/m3,manual,2019,7,31,00,2019-07-31
2019-08-12,2019-08-12,00:00,RJ - Tamoio,RJ237,PTS,114.26,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-18,2019-08-18,00:00,RJ - Tamoio,RJ237,PTS,111.68,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-24,2019-08-24,00:00,RJ - Tamoio,RJ237,PTS,24.24,µg/m3,manual,2019,8,24,00,2019-08-24
2019-08-30,2019-08-30,00:00,RJ - Tamoio,RJ237,PTS,116.1,µg/m3,manual,2019,8,30,00,2019-08-30
2019-09-05,2019-09-05,00:00,RJ - Tamoio,RJ237,PTS,15.08,µg/m3,manual,2019,9,5,00,2019-09-05
2019-09-17,2019-09-17,00:00,RJ - Tamoio,RJ237,PTS,125.09,µg/m3,manual,2019,9,17,00,2019-09-17
2019-09-23,2019-09-23,00:00,RJ - Tamoio,RJ237,PTS,85.31,µg/m3,manual,2019,9,23,00,2019-09-23
2019-10-11,2019-10-11,00:00,RJ - Tamoio,RJ237,PTS,46.45,µg/m3,manual,2019,10,11,00,2019-10-11
2019-10-17,2019-10-17,00:00,RJ - Tamoio,RJ237,PTS,177.09,µg/m3,manual,2019,10,17,00,2019-10-17
2019-10-23,2019-10-23,00:00,RJ - Tamoio,RJ237,PTS,151.35,µg/m3,manual,2019,10,23,00,2019-10-23
2019-10-29,2019-10-29,00:00,RJ - Tamoio,RJ237,PTS,106.01,µg/m3,manual,2019,10,29,00,2019-10-29
2019-11-04,2019-11-04,00:00,RJ - Tamoio,RJ237,PTS,97.76,µg/m3,manual,2019,11,4,00,2019-11-04
2019-11-10,2019-11-10,00:00,RJ - Tamoio,RJ237,PTS,42.85,µg/m3,manual,2019,11,10,00,2019-11-10
2019-11-16,2019-11-16,00:00,RJ - Tamoio,RJ237,PTS,30.14,µg/m3,manual,2019,11,16,00,2019-11-16
2019-11-22,2019-11-22,00:00,RJ - Tamoio,RJ237,PTS,70.08,µg/m3,manual,2019,11,22,00,2019-11-22
2019-11-28,2019-11-28,00:00,RJ - Tamoio,RJ237,PTS,42.78,µg/m3,manual,2019,11,28,00,2019-11-28
