datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-01-17,2015-01-17,12:00,RJ - Tijuca,RJ79,PTS,110.0,ug/m3,manual,2015,1,17,12,2015-01-17 12:00:00
2015-01-23,2015-01-23,12:00,RJ - Tijuca,RJ79,PTS,67.0,ug/m3,manual,2015,1,23,12,2015-01-23 12:00:00
2016-07-16,2016-07-16,12:00,RJ - Tijuca,RJ79,PTS,143.0,ug/m3,manual,2016,7,16,12,2016-07-16 12:00:00
2016-07-22,2016-07-22,12:00,RJ - Tijuca,RJ79,PTS,65.0,ug/m3,manual,2016,7,22,12,2016-07-22 12:00:00
2016-09-14,2016-09-14,12:00,RJ - Tijuca,RJ79,PTS,94.0,ug/m3,manual,2016,9,14,12,2016-09-14 12:00:00
2016-10-08,2016-10-08,12:00,RJ - Tijuca,RJ79,PTS,64.0,ug/m3,manual,2016,10,8,12,2016-10-08 12:00:00
2016-10-14,2016-10-14,12:00,RJ - Tijuca,RJ79,PTS,73.0,ug/m3,manual,2016,10,14,12,2016-10-14 12:00:00
2016-10-20,2016-10-20,12:00,RJ - Tijuca,RJ79,PTS,95.0,ug/m3,manual,2016,10,20,12,2016-10-20 12:00:00
2016-10-26,2016-10-26,12:00,RJ - Tijuca,RJ79,PTS,72.0,ug/m3,manual,2016,10,26,12,2016-10-26 12:00:00
2016-11-01,2016-11-01,12:00,RJ - Tijuca,RJ79,PTS,70.0,ug/m3,manual,2016,11,1,12,2016-11-01 12:00:00
2016-11-07,2016-11-07,12:00,RJ - Tijuca,RJ79,PTS,67.0,ug/m3,manual,2016,11,7,12,2016-11-07 12:00:00
2016-11-13,2016-11-13,12:00,RJ - Tijuca,RJ79,PTS,32.0,ug/m3,manual,2016,11,13,12,2016-11-13 12:00:00
2016-11-19,2016-11-19,12:00,RJ - Tijuca,RJ79,PTS,63.0,ug/m3,manual,2016,11,19,12,2016-11-19 12:00:00
2016-11-25,2016-11-25,00:00,RJ - Tijuca,RJ79,PTS,82.0,ug/m3,manual,2016,11,25,00,2016-11-25 00:00:00
2016-12-01,2016-12-01,12:00,RJ - Tijuca,RJ79,PTS,73.0,ug/m3,manual,2016,12,1,12,2016-12-01 12:00:00
2016-12-07,2016-12-07,12:00,RJ - Tijuca,RJ79,PTS,85.0,ug/m3,manual,2016,12,7,12,2016-12-07 12:00:00
2016-12-13,2016-12-13,12:00,RJ - Tijuca,RJ79,PTS,80.0,ug/m3,manual,2016,12,13,12,2016-12-13 12:00:00
2017-03-13,2017-03-13,01:00,RJ - Tijuca,RJ79,PTS,63.0,ug/m3,manual,2017,3,13,01,2017-03-13 01:00:00
2017-03-19,2017-03-19,01:00,RJ - Tijuca,RJ79,PTS,38.0,ug/m3,manual,2017,3,19,01,2017-03-19 01:00:00
2017-04-30,2017-04-30,01:00,RJ - Tijuca,RJ79,PTS,40.0,ug/m3,manual,2017,4,30,01,2017-04-30 01:00:00
2017-05-06,2017-05-06,01:00,RJ - Tijuca,RJ79,PTS,46.0,ug/m3,manual,2017,5,6,01,2017-05-06 01:00:00
2017-05-12,2017-05-12,01:00,RJ - Tijuca,RJ79,PTS,64.0,ug/m3,manual,2017,5,12,01,2017-05-12 01:00:00
2017-05-18,2017-05-18,01:00,RJ - Tijuca,RJ79,PTS,44.0,ug/m3,manual,2017,5,18,01,2017-05-18 01:00:00
2017-05-24,2017-05-24,01:00,RJ - Tijuca,RJ79,PTS,59.0,ug/m3,manual,2017,5,24,01,2017-05-24 01:00:00
2017-05-30,2017-05-30,01:00,RJ - Tijuca,RJ79,PTS,85.0,ug/m3,manual,2017,5,30,01,2017-05-30 01:00:00
2017-06-05,2017-06-05,01:00,RJ - Tijuca,RJ79,PTS,73.0,ug/m3,manual,2017,6,5,01,2017-06-05 01:00:00
2017-06-11,2017-06-11,01:00,RJ - Tijuca,RJ79,PTS,66.0,ug/m3,manual,2017,6,11,01,2017-06-11 01:00:00
2017-06-17,2017-06-17,01:00,RJ - Tijuca,RJ79,PTS,69.0,ug/m3,manual,2017,6,17,01,2017-06-17 01:00:00
2017-06-23,2017-06-23,01:00,RJ - Tijuca,RJ79,PTS,64.0,ug/m3,manual,2017,6,23,01,2017-06-23 01:00:00
2017-06-29,2017-06-29,01:00,RJ - Tijuca,RJ79,PTS,51.0,ug/m3,manual,2017,6,29,01,2017-06-29 01:00:00
2017-07-05,2017-07-05,01:00,RJ - Tijuca,RJ79,PTS,67.0,ug/m3,manual,2017,7,5,01,2017-07-05 01:00:00
2017-07-11,2017-07-11,01:00,RJ - Tijuca,RJ79,PTS,72.0,ug/m3,manual,2017,7,11,01,2017-07-11 01:00:00
2017-08-04,2017-08-04,01:00,RJ - Tijuca,RJ79,PTS,82.0,ug/m3,manual,2017,8,4,01,2017-08-04 01:00:00
2017-08-10,2017-08-10,01:00,RJ - Tijuca,RJ79,PTS,82.0,ug/m3,manual,2017,8,10,01,2017-08-10 01:00:00
2017-08-16,2017-08-16,01:00,RJ - Tijuca,RJ79,PTS,80.0,ug/m3,manual,2017,8,16,01,2017-08-16 01:00:00
2017-08-22,2017-08-22,01:00,RJ - Tijuca,RJ79,PTS,82.0,ug/m3,manual,2017,8,22,01,2017-08-22 01:00:00
2017-08-28,2017-08-28,01:00,RJ - Tijuca,RJ79,PTS,78.0,ug/m3,manual,2017,8,28,01,2017-08-28 01:00:00
2017-09-03,2017-09-03,01:00,RJ - Tijuca,RJ79,PTS,54.0,ug/m3,manual,2017,9,3,01,2017-09-03 01:00:00
2017-09-15,2017-09-15,01:00,RJ - Tijuca,RJ79,PTS,35.0,ug/m3,manual,2017,9,15,01,2017-09-15 01:00:00
2017-09-21,2017-09-21,01:00,RJ - Tijuca,RJ79,PTS,92.0,ug/m3,manual,2017,9,21,01,2017-09-21 01:00:00
2017-10-03,2017-10-03,01:00,RJ - Tijuca,RJ79,PTS,65.0,ug/m3,manual,2017,10,3,01,2017-10-03 01:00:00
2017-10-09,2017-10-09,01:00,RJ - Tijuca,RJ79,PTS,81.0,ug/m3,manual,2017,10,9,01,2017-10-09 01:00:00
2017-10-15,2017-10-15,01:00,RJ - Tijuca,RJ79,PTS,93.0,ug/m3,manual,2017,10,15,01,2017-10-15 01:00:00
2017-10-21,2017-10-21,01:00,RJ - Tijuca,RJ79,PTS,72.0,ug/m3,manual,2017,10,21,01,2017-10-21 01:00:00
2017-10-27,2017-10-27,01:00,RJ - Tijuca,RJ79,PTS,81.0,ug/m3,manual,2017,10,27,01,2017-10-27 01:00:00
2017-11-02,2017-11-02,01:00,RJ - Tijuca,RJ79,PTS,70.0,ug/m3,manual,2017,11,2,01,2017-11-02 01:00:00
2017-11-08,2017-11-08,01:00,RJ - Tijuca,RJ79,PTS,76.0,ug/m3,manual,2017,11,8,01,2017-11-08 01:00:00
2017-11-14,2017-11-14,01:00,RJ - Tijuca,RJ79,PTS,75.0,ug/m3,manual,2017,11,14,01,2017-11-14 01:00:00
2017-11-20,2017-11-20,01:00,RJ - Tijuca,RJ79,PTS,29.0,ug/m3,manual,2017,11,20,01,2017-11-20 01:00:00
2017-12-02,2017-12-02,01:00,RJ - Tijuca,RJ79,PTS,34.0,ug/m3,manual,2017,12,2,01,2017-12-02 01:00:00
2017-12-08,2017-12-08,01:00,RJ - Tijuca,RJ79,PTS,55.0,ug/m3,manual,2017,12,8,01,2017-12-08 01:00:00
2017-12-14,2017-12-14,01:00,RJ - Tijuca,RJ79,PTS,65.0,ug/m3,manual,2017,12,14,01,2017-12-14 01:00:00
2018-03-02,2018-03-02,12:00:00,RJ - Tijuca,RJ79,PTS,56.0,ug/m3,manual,2018,3,2,12,2018-03-02 12:00:00
2018-03-08,2018-03-08,12:00:00,RJ - Tijuca,RJ79,PTS,31.0,ug/m3,manual,2018,3,8,12,2018-03-08 12:00:00
2018-03-14,2018-03-14,12:00:00,RJ - Tijuca,RJ79,PTS,60.0,ug/m3,manual,2018,3,14,12,2018-03-14 12:00:00
2018-03-26,2018-03-26,12:00:00,RJ - Tijuca,RJ79,PTS,59.0,ug/m3,manual,2018,3,26,12,2018-03-26 12:00:00
2018-04-01,2018-04-01,12:00:00,RJ - Tijuca,RJ79,PTS,49.0,ug/m3,manual,2018,4,1,12,2018-04-01 12:00:00
2018-04-07,2018-04-07,12:00:00,RJ - Tijuca,RJ79,PTS,38.0,ug/m3,manual,2018,4,7,12,2018-04-07 12:00:00
2018-04-13,2018-04-13,12:00:00,RJ - Tijuca,RJ79,PTS,69.0,ug/m3,manual,2018,4,13,12,2018-04-13 12:00:00
2018-04-19,2018-04-19,12:00:00,RJ - Tijuca,RJ79,PTS,53.0,ug/m3,manual,2018,4,19,12,2018-04-19 12:00:00
2018-05-01,2018-05-01,12:00:00,RJ - Tijuca,RJ79,PTS,62.0,ug/m3,manual,2018,5,1,12,2018-05-01 12:00:00
2018-08-05,2018-08-05,12:00:00,RJ - Tijuca,RJ79,PTS,45.0,ug/m3,manual,2018,8,5,12,2018-08-05 12:00:00
2018-08-11,2018-08-11,12:00:00,RJ - Tijuca,RJ79,PTS,60.0,ug/m3,manual,2018,8,11,12,2018-08-11 12:00:00
2018-09-22,2018-09-22,12:00:00,RJ - Tijuca,RJ79,PTS,47.0,ug/m3,manual,2018,9,22,12,2018-09-22 12:00:00
2018-09-28,2018-09-28,12:00:00,RJ - Tijuca,RJ79,PTS,64.0,ug/m3,manual,2018,9,28,12,2018-09-28 12:00:00
2018-10-04,2018-10-04,12:00:00,RJ - Tijuca,RJ79,PTS,41.0,ug/m3,manual,2018,10,4,12,2018-10-04 12:00:00
2018-10-16,2018-10-16,12:00:00,RJ - Tijuca,RJ79,PTS,53.0,ug/m3,manual,2018,10,16,12,2018-10-16 12:00:00
2018-11-03,2018-11-03,12:00:00,RJ - Tijuca,RJ79,PTS,94.0,ug/m3,manual,2018,11,3,12,2018-11-03 12:00:00
2018-11-09,2018-11-09,12:00:00,RJ - Tijuca,RJ79,PTS,46.0,ug/m3,manual,2018,11,9,12,2018-11-09 12:00:00
2018-11-15,2018-11-15,12:00:00,RJ - Tijuca,RJ79,PTS,57.0,ug/m3,manual,2018,11,15,12,2018-11-15 12:00:00
2018-11-21,2018-11-21,12:00:00,RJ - Tijuca,RJ79,PTS,67.0,ug/m3,manual,2018,11,21,12,2018-11-21 12:00:00
2018-11-28,2018-11-28,12:00:00,RJ - Tijuca,RJ79,PTS,64.0,ug/m3,manual,2018,11,28,12,2018-11-28 12:00:00
2018-12-03,2018-12-03,12:00:00,RJ - Tijuca,RJ79,PTS,66.0,ug/m3,manual,2018,12,3,12,2018-12-03 12:00:00
2018-12-09,2018-12-09,12:00:00,RJ - Tijuca,RJ79,PTS,72.0,ug/m3,manual,2018,12,9,12,2018-12-09 12:00:00
2019-03-27,2019-03-27,12:00,RJ - Tijuca,RJ79,PTS,46.0,µg/m3,manual,2019,3,27,12,2019-03-27 12:00:00
2019-04-02,2019-04-02,12:00,RJ - Tijuca,RJ79,PTS,64.0,µg/m3,manual,2019,4,2,12,2019-04-02 12:00:00
2019-04-08,2019-04-08,12:00,RJ - Tijuca,RJ79,PTS,70.0,µg/m3,manual,2019,4,8,12,2019-04-08 12:00:00
2019-04-14,2019-04-14,12:00,RJ - Tijuca,RJ79,PTS,37.0,µg/m3,manual,2019,4,14,12,2019-04-14 12:00:00
2019-04-20,2019-04-20,12:00,RJ - Tijuca,RJ79,PTS,55.0,µg/m3,manual,2019,4,20,12,2019-04-20 12:00:00
2019-04-26,2019-04-26,12:00,RJ - Tijuca,RJ79,PTS,69.0,µg/m3,manual,2019,4,26,12,2019-04-26 12:00:00
2019-05-02,2019-05-02,12:00,RJ - Tijuca,RJ79,PTS,86.0,µg/m3,manual,2019,5,2,12,2019-05-02 12:00:00
2019-05-08,2019-05-08,12:00,RJ - Tijuca,RJ79,PTS,74.0,µg/m3,manual,2019,5,8,12,2019-05-08 12:00:00
2019-05-14,2019-05-14,12:00,RJ - Tijuca,RJ79,PTS,87.0,µg/m3,manual,2019,5,14,12,2019-05-14 12:00:00
2019-05-26,2019-05-26,12:00,RJ - Tijuca,RJ79,PTS,39.0,µg/m3,manual,2019,5,26,12,2019-05-26 12:00:00
2019-06-01,2019-06-01,12:00,RJ - Tijuca,RJ79,PTS,69.0,µg/m3,manual,2019,6,1,12,2019-06-01 12:00:00
