datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-03-06,2015-03-06,12:00,RJ - UERJ,RJ83,MP10,38.0,ug/m3,manual,2015,3,6,12,2015-03-06 12:00:00
2015-03-12,2015-03-12,12:00,RJ - UERJ,RJ83,MP10,30.0,ug/m3,manual,2015,3,12,12,2015-03-12 12:00:00
2015-03-18,2015-03-18,12:00,RJ - UERJ,RJ83,MP10,29.0,ug/m3,manual,2015,3,18,12,2015-03-18 12:00:00
2015-03-24,2015-03-24,12:00,RJ - UERJ,RJ83,MP10,19.0,ug/m3,manual,2015,3,24,12,2015-03-24 12:00:00
2015-03-30,2015-03-30,12:00,RJ - UERJ,RJ83,MP10,26.0,ug/m3,manual,2015,3,30,12,2015-03-30 12:00:00
2015-04-05,2015-04-05,12:00,RJ - UERJ,RJ83,MP10,22.0,ug/m3,manual,2015,4,5,12,2015-04-05 12:00:00
2015-04-11,2015-04-11,12:00,RJ - UERJ,RJ83,MP10,19.0,ug/m3,manual,2015,4,11,12,2015-04-11 12:00:00
2015-04-23,2015-04-23,12:00,RJ - UERJ,RJ83,MP10,23.0,ug/m3,manual,2015,4,23,12,2015-04-23 12:00:00
2015-04-29,2015-04-29,12:00,RJ - UERJ,RJ83,MP10,24.0,ug/m3,manual,2015,4,29,12,2015-04-29 12:00:00
2015-05-05,2015-05-05,12:00,RJ - UERJ,RJ83,MP10,22.0,ug/m3,manual,2015,5,5,12,2015-05-05 12:00:00
2015-05-11,2015-05-11,12:00,RJ - UERJ,RJ83,MP10,23.0,ug/m3,manual,2015,5,11,12,2015-05-11 12:00:00
2015-05-17,2015-05-17,12:00,RJ - UERJ,RJ83,MP10,23.0,ug/m3,manual,2015,5,17,12,2015-05-17 12:00:00
2015-05-23,2015-05-23,12:00,RJ - UERJ,RJ83,MP10,38.0,ug/m3,manual,2015,5,23,12,2015-05-23 12:00:00
2015-05-29,2015-05-29,12:00,RJ - UERJ,RJ83,MP10,36.0,ug/m3,manual,2015,5,29,12,2015-05-29 12:00:00
2015-06-16,2015-06-16,12:00,RJ - UERJ,RJ83,MP10,15.0,ug/m3,manual,2015,6,16,12,2015-06-16 12:00:00
2015-06-22,2015-06-22,12:00,RJ - UERJ,RJ83,MP10,45.0,ug/m3,manual,2015,6,22,12,2015-06-22 12:00:00
2015-06-28,2015-06-28,12:00,RJ - UERJ,RJ83,MP10,27.0,ug/m3,manual,2015,6,28,12,2015-06-28 12:00:00
2015-07-04,2015-07-04,12:00,RJ - UERJ,RJ83,MP10,37.0,ug/m3,manual,2015,7,4,12,2015-07-04 12:00:00
2015-07-10,2015-07-10,12:00,RJ - UERJ,RJ83,MP10,62.0,ug/m3,manual,2015,7,10,12,2015-07-10 12:00:00
2015-07-16,2015-07-16,12:00,RJ - UERJ,RJ83,MP10,61.0,ug/m3,manual,2015,7,16,12,2015-07-16 12:00:00
2015-07-22,2015-07-22,12:00,RJ - UERJ,RJ83,MP10,37.0,ug/m3,manual,2015,7,22,12,2015-07-22 12:00:00
2015-07-28,2015-07-28,12:00,RJ - UERJ,RJ83,MP10,28.0,ug/m3,manual,2015,7,28,12,2015-07-28 12:00:00
