datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2022-10-01,2022-10-01,00:00:00,Ribeirão das Lajes,RJ301,PTS,43.89,ug/m3,Manual,2022,10,1,00,2022-10-01
2022-10-13,2022-10-13,00:00:00,Ribeirão das Lajes,RJ301,PTS,55.62,ug/m3,Manual,2022,10,13,00,2022-10-13
2022-10-19,2022-10-19,00:00:00,Ribeirão das Lajes,RJ301,PTS,21.01,ug/m3,Manual,2022,10,19,00,2022-10-19
2022-10-25,2022-10-25,00:00:00,Ribeirão das Lajes,RJ301,PTS,18.34,ug/m3,Manual,2022,10,25,00,2022-10-25
2022-10-31,2022-10-31,00:00:00,Ribeirão das Lajes,RJ301,PTS,20.0,ug/m3,Manual,2022,10,31,00,2022-10-31
2022-11-06,2022-11-06,00:00:00,Ribeirão das Lajes,RJ301,PTS,7.46,ug/m3,Manual,2022,11,6,00,2022-11-06
2022-11-12,2022-11-12,00:00:00,Ribeirão das Lajes,RJ301,PTS,25.23,ug/m3,Manual,2022,11,12,00,2022-11-12
2022-11-18,2022-11-18,00:00:00,Ribeirão das Lajes,RJ301,PTS,13.45,ug/m3,Manual,2022,11,18,00,2022-11-18
2022-11-24,2022-11-24,00:00:00,Ribeirão das Lajes,RJ301,PTS,5.81,ug/m3,Manual,2022,11,24,00,2022-11-24
2022-11-30,2022-11-30,00:00:00,Ribeirão das Lajes,RJ301,PTS,4.58,ug/m3,Manual,2022,11,30,00,2022-11-30
2022-12-12,2022-12-12,00:00:00,Ribeirão das Lajes,RJ301,PTS,30.02,ug/m3,Manual,2022,12,12,00,2022-12-12
2022-12-18,2022-12-18,00:00:00,Ribeirão das Lajes,RJ301,PTS,8.46,ug/m3,Manual,2022,12,18,00,2022-12-18
2022-12-24,2022-12-24,00:00:00,Ribeirão das Lajes,RJ301,PTS,12.99,ug/m3,Manual,2022,12,24,00,2022-12-24
2022-12-30,2022-12-30,00:00:00,Ribeirão das Lajes,RJ301,PTS,3.09,ug/m3,Manual,2022,12,30,00,2022-12-30
