datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2015-01-11,2015-01-11,12:00,Rs - UERJ,RJ62,PTS,32.0,ug/m3,manual,2015,1,11,12,2015-01-11 12:00:00
2015-01-17,2015-01-17,12:00,Rs - UERJ,RJ62,PTS,38.0,ug/m3,manual,2015,1,17,12,2015-01-17 12:00:00
2015-01-23,2015-01-23,12:00,Rs - UERJ,RJ62,PTS,18.0,ug/m3,manual,2015,1,23,12,2015-01-23 12:00:00
2015-01-29,2015-01-29,12:00,Rs - UERJ,RJ62,PTS,58.0,ug/m3,manual,2015,1,29,12,2015-01-29 12:00:00
2015-02-04,2015-02-04,12:00,Rs - UERJ,RJ62,PTS,29.0,ug/m3,manual,2015,2,4,12,2015-02-04 12:00:00
2015-02-10,2015-02-10,12:00,Rs - UERJ,RJ62,PTS,61.0,ug/m3,manual,2015,2,10,12,2015-02-10 12:00:00
2015-02-16,2015-02-16,12:00,Rs - UERJ,RJ62,PTS,22.0,ug/m3,manual,2015,2,16,12,2015-02-16 12:00:00
2015-02-22,2015-02-22,12:00,Rs - UERJ,RJ62,PTS,24.0,ug/m3,manual,2015,2,22,12,2015-02-22 12:00:00
2015-02-28,2015-02-28,12:00,Rs - UERJ,RJ62,PTS,51.0,ug/m3,manual,2015,2,28,12,2015-02-28 12:00:00
2015-03-06,2015-03-06,12:00,Rs - UERJ,RJ62,PTS,45.0,ug/m3,manual,2015,3,6,12,2015-03-06 12:00:00
2015-03-12,2015-03-12,12:00,Rs - UERJ,RJ62,PTS,41.0,ug/m3,manual,2015,3,12,12,2015-03-12 12:00:00
2015-03-18,2015-03-18,12:00,Rs - UERJ,RJ62,PTS,45.0,ug/m3,manual,2015,3,18,12,2015-03-18 12:00:00
2015-03-30,2015-03-30,12:00,Rs - UERJ,RJ62,PTS,24.0,ug/m3,manual,2015,3,30,12,2015-03-30 12:00:00
2015-04-05,2015-04-05,12:00,Rs - UERJ,RJ62,PTS,24.0,ug/m3,manual,2015,4,5,12,2015-04-05 12:00:00
2015-04-11,2015-04-11,12:00,Rs - UERJ,RJ62,PTS,32.0,ug/m3,manual,2015,4,11,12,2015-04-11 12:00:00
2015-04-29,2015-04-29,12:00,Rs - UERJ,RJ62,PTS,41.0,ug/m3,manual,2015,4,29,12,2015-04-29 12:00:00
2015-05-05,2015-05-05,12:00,Rs - UERJ,RJ62,PTS,33.0,ug/m3,manual,2015,5,5,12,2015-05-05 12:00:00
2015-05-11,2015-05-11,12:00,Rs - UERJ,RJ62,PTS,31.0,ug/m3,manual,2015,5,11,12,2015-05-11 12:00:00
2015-05-17,2015-05-17,12:00,Rs - UERJ,RJ62,PTS,22.0,ug/m3,manual,2015,5,17,12,2015-05-17 12:00:00
2015-05-23,2015-05-23,12:00,Rs - UERJ,RJ62,PTS,27.0,ug/m3,manual,2015,5,23,12,2015-05-23 12:00:00
2015-05-29,2015-05-29,12:00,Rs - UERJ,RJ62,PTS,40.0,ug/m3,manual,2015,5,29,12,2015-05-29 12:00:00
2015-06-04,2015-06-04,12:00,Rs - UERJ,RJ62,PTS,31.0,ug/m3,manual,2015,6,4,12,2015-06-04 12:00:00
2015-06-10,2015-06-10,12:00,Rs - UERJ,RJ62,PTS,48.0,ug/m3,manual,2015,6,10,12,2015-06-10 12:00:00
2017-09-03,2017-09-03,01:00,Rs - UERJ,RJ62,PTS,28.0,ug/m3,manual,2017,9,3,01,2017-09-03 01:00:00
2017-09-09,2017-09-09,01:00,Rs - UERJ,RJ62,PTS,40.0,ug/m3,manual,2017,9,9,01,2017-09-09 01:00:00
2017-09-15,2017-09-15,01:00,Rs - UERJ,RJ62,PTS,77.0,ug/m3,manual,2017,9,15,01,2017-09-15 01:00:00
2017-09-21,2017-09-21,01:00,Rs - UERJ,RJ62,PTS,55.0,ug/m3,manual,2017,9,21,01,2017-09-21 01:00:00
2017-09-27,2017-09-27,01:00,Rs - UERJ,RJ62,PTS,58.0,ug/m3,manual,2017,9,27,01,2017-09-27 01:00:00
2017-10-03,2017-10-03,01:00,Rs - UERJ,RJ62,PTS,24.0,ug/m3,manual,2017,10,3,01,2017-10-03 01:00:00
2017-10-09,2017-10-09,01:00,Rs - UERJ,RJ62,PTS,40.0,ug/m3,manual,2017,10,9,01,2017-10-09 01:00:00
2017-10-15,2017-10-15,01:00,Rs - UERJ,RJ62,PTS,37.0,ug/m3,manual,2017,10,15,01,2017-10-15 01:00:00
2017-11-02,2017-11-02,01:00,Rs - UERJ,RJ62,PTS,42.0,ug/m3,manual,2017,11,2,01,2017-11-02 01:00:00
2017-11-08,2017-11-08,01:00,Rs - UERJ,RJ62,PTS,26.0,ug/m3,manual,2017,11,8,01,2017-11-08 01:00:00
2017-11-14,2017-11-14,01:00,Rs - UERJ,RJ62,PTS,44.0,ug/m3,manual,2017,11,14,01,2017-11-14 01:00:00
2017-11-20,2017-11-20,01:00,Rs - UERJ,RJ62,PTS,28.0,ug/m3,manual,2017,11,20,01,2017-11-20 01:00:00
2017-11-26,2017-11-26,01:00,Rs - UERJ,RJ62,PTS,23.0,ug/m3,manual,2017,11,26,01,2017-11-26 01:00:00
2017-12-02,2017-12-02,01:00,Rs - UERJ,RJ62,PTS,23.0,ug/m3,manual,2017,12,2,01,2017-12-02 01:00:00
2017-12-14,2017-12-14,01:00,Rs - UERJ,RJ62,PTS,42.0,ug/m3,manual,2017,12,14,01,2017-12-14 01:00:00
2017-12-20,2017-12-20,01:00,Rs - UERJ,RJ62,PTS,31.0,ug/m3,manual,2017,12,20,01,2017-12-20 01:00:00
2018-01-01,2018-01-01,12:00:00,Rs - UERJ,RJ62,PTS,26.0,ug/m3,manual,2018,1,1,12,2018-01-01 12:00:00
2018-01-07,2018-01-07,12:00:00,Rs - UERJ,RJ62,PTS,19.0,ug/m3,manual,2018,1,7,12,2018-01-07 12:00:00
2018-01-13,2018-01-13,12:00:00,Rs - UERJ,RJ62,PTS,26.0,ug/m3,manual,2018,1,13,12,2018-01-13 12:00:00
2018-01-19,2018-01-19,12:00:00,Rs - UERJ,RJ62,PTS,31.0,ug/m3,manual,2018,1,19,12,2018-01-19 12:00:00
2018-01-31,2018-01-31,12:00:00,Rs - UERJ,RJ62,PTS,30.0,ug/m3,manual,2018,1,31,12,2018-01-31 12:00:00
2018-02-06,2018-02-06,12:00:00,Rs - UERJ,RJ62,PTS,17.0,ug/m3,manual,2018,2,6,12,2018-02-06 12:00:00
2018-02-12,2018-02-12,11:19:59,Rs - UERJ,RJ62,PTS,24.0,ug/m3,manual,2018,2,12,11,2018-02-12 11:00:00
2018-02-18,2018-02-18,12:00:00,Rs - UERJ,RJ62,PTS,29.0,ug/m3,manual,2018,2,18,12,2018-02-18 12:00:00
2018-08-11,2018-08-11,12:00:00,Rs - UERJ,RJ62,PTS,49.0,ug/m3,manual,2018,8,11,12,2018-08-11 12:00:00
