datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2022-02-03,2022-02-03,00:00:00,SG - Mineração Estrela,RJ303,PTS,48.25,ug/m3,Manual,2022,2,3,00,2022-02-03
2022-02-09,2022-02-09,00:00:00,SG - Mineração Estrela,RJ303,PTS,76.64,ug/m3,Manual,2022,2,9,00,2022-02-09
2022-02-21,2022-02-21,00:00:00,SG - Mineração Estrela,RJ303,PTS,93.16,ug/m3,Manual,2022,2,21,00,2022-02-21
2022-02-27,2022-02-27,00:00:00,SG - Mineração Estrela,RJ303,PTS,51.68,ug/m3,Manual,2022,2,27,00,2022-02-27
2022-03-05,2022-03-05,00:00:00,SG - Mineração Estrela,RJ303,PTS,145.65,ug/m3,Manual,2022,3,5,00,2022-03-05
2022-03-11,2022-03-11,00:00:00,SG - Mineração Estrela,RJ303,PTS,166.5,ug/m3,Manual,2022,3,11,00,2022-03-11
2022-03-17,2022-03-17,00:00:00,SG - Mineração Estrela,RJ303,PTS,155.72,ug/m3,Manual,2022,3,17,00,2022-03-17
2022-03-23,2022-03-23,00:00:00,SG - Mineração Estrela,RJ303,PTS,70.36,ug/m3,Manual,2022,3,23,00,2022-03-23
2022-03-29,2022-03-29,00:00:00,SG - Mineração Estrela,RJ303,PTS,138.33,ug/m3,Manual,2022,3,29,00,2022-03-29
2022-04-04,2022-04-04,00:00:00,SG - Mineração Estrela,RJ303,PTS,216.69,ug/m3,Manual,2022,4,4,00,2022-04-04
2022-04-10,2022-04-10,00:00:00,SG - Mineração Estrela,RJ303,PTS,52.07,ug/m3,Manual,2022,4,10,00,2022-04-10
2022-04-16,2022-04-16,00:00:00,SG - Mineração Estrela,RJ303,PTS,55.75,ug/m3,Manual,2022,4,16,00,2022-04-16
2022-04-22,2022-04-22,00:00:00,SG - Mineração Estrela,RJ303,PTS,159.04,ug/m3,Manual,2022,4,22,00,2022-04-22
2022-04-28,2022-04-28,00:00:00,SG - Mineração Estrela,RJ303,PTS,173.7,ug/m3,Manual,2022,4,28,00,2022-04-28
2022-05-04,2022-05-04,00:00:00,SG - Mineração Estrela,RJ303,PTS,136.82,ug/m3,Manual,2022,5,4,00,2022-05-04
2022-05-10,2022-05-10,00:00:00,SG - Mineração Estrela,RJ303,PTS,198.07,ug/m3,Manual,2022,5,10,00,2022-05-10
2022-05-16,2022-05-16,00:00:00,SG - Mineração Estrela,RJ303,PTS,211.51,ug/m3,Manual,2022,5,16,00,2022-05-16
2022-05-22,2022-05-22,00:00:00,SG - Mineração Estrela,RJ303,PTS,53.52,ug/m3,Manual,2022,5,22,00,2022-05-22
2022-05-28,2022-05-28,00:00:00,SG - Mineração Estrela,RJ303,PTS,197.52,ug/m3,Manual,2022,5,28,00,2022-05-28
2022-06-15,2022-06-15,00:00:00,SG - Mineração Estrela,RJ303,PTS,71.45,ug/m3,Manual,2022,6,15,00,2022-06-15
2022-06-21,2022-06-21,00:00:00,SG - Mineração Estrela,RJ303,PTS,81.67,ug/m3,Manual,2022,6,21,00,2022-06-21
2022-06-27,2022-06-27,00:00:00,SG - Mineração Estrela,RJ303,PTS,60.01,ug/m3,Manual,2022,6,27,00,2022-06-27
2022-07-09,2022-07-09,00:00:00,SG - Mineração Estrela,RJ303,PTS,137.89,ug/m3,Manual,2022,7,9,00,2022-07-09
2022-07-15,2022-07-15,00:00:00,SG - Mineração Estrela,RJ303,PTS,114.29,ug/m3,Manual,2022,7,15,00,2022-07-15
2022-07-21,2022-07-21,00:00:00,SG - Mineração Estrela,RJ303,PTS,130.29,ug/m3,Manual,2022,7,21,00,2022-07-21
2022-07-27,2022-07-27,00:00:00,SG - Mineração Estrela,RJ303,PTS,142.29,ug/m3,Manual,2022,7,27,00,2022-07-27
2022-08-02,2022-08-02,00:00:00,SG - Mineração Estrela,RJ303,PTS,192.55,ug/m3,Manual,2022,8,2,00,2022-08-02
2022-08-08,2022-08-08,00:00:00,SG - Mineração Estrela,RJ303,PTS,189.87,ug/m3,Manual,2022,8,8,00,2022-08-08
2022-08-14,2022-08-14,00:00:00,SG - Mineração Estrela,RJ303,PTS,72.41,ug/m3,Manual,2022,8,14,00,2022-08-14
2022-08-20,2022-08-20,00:00:00,SG - Mineração Estrela,RJ303,PTS,46.22,ug/m3,Manual,2022,8,20,00,2022-08-20
2022-08-26,2022-08-26,00:00:00,SG - Mineração Estrela,RJ303,PTS,91.86,ug/m3,Manual,2022,8,26,00,2022-08-26
2022-09-01,2022-09-01,00:00:00,SG - Mineração Estrela,RJ303,PTS,87.72,ug/m3,Manual,2022,9,1,00,2022-09-01
2022-09-07,2022-09-07,00:00:00,SG - Mineração Estrela,RJ303,PTS,54.15,ug/m3,Manual,2022,9,7,00,2022-09-07
2022-09-13,2022-09-13,00:00:00,SG - Mineração Estrela,RJ303,PTS,142.0,ug/m3,Manual,2022,9,13,00,2022-09-13
2022-09-19,2022-09-19,00:00:00,SG - Mineração Estrela,RJ303,PTS,54.68,ug/m3,Manual,2022,9,19,00,2022-09-19
2022-09-25,2022-09-25,00:00:00,SG - Mineração Estrela,RJ303,PTS,80.78,ug/m3,Manual,2022,9,25,00,2022-09-25
2022-10-01,2022-10-01,00:00:00,SG - Mineração Estrela,RJ303,PTS,71.0,ug/m3,Manual,2022,10,1,00,2022-10-01
2022-11-06,2022-11-06,00:00:00,SG - Mineração Estrela,RJ303,PTS,66.48,ug/m3,Manual,2022,11,6,00,2022-11-06
2022-11-12,2022-11-12,00:00:00,SG - Mineração Estrela,RJ303,PTS,82.44,ug/m3,Manual,2022,11,12,00,2022-11-12
2022-11-18,2022-11-18,00:00:00,SG - Mineração Estrela,RJ303,PTS,162.53,ug/m3,Manual,2022,11,18,00,2022-11-18
2022-11-24,2022-11-24,00:00:00,SG - Mineração Estrela,RJ303,PTS,66.51,ug/m3,Manual,2022,11,24,00,2022-11-24
2022-11-30,2022-11-30,00:00:00,SG - Mineração Estrela,RJ303,PTS,28.37,ug/m3,Manual,2022,11,30,00,2022-11-30
2022-12-06,2022-12-06,00:00:00,SG - Mineração Estrela,RJ303,PTS,73.53,ug/m3,Manual,2022,12,6,00,2022-12-06
2022-12-12,2022-12-12,00:00:00,SG - Mineração Estrela,RJ303,PTS,152.82,ug/m3,Manual,2022,12,12,00,2022-12-12
2022-12-18,2022-12-18,00:00:00,SG - Mineração Estrela,RJ303,PTS,27.6,ug/m3,Manual,2022,12,18,00,2022-12-18
2022-12-24,2022-12-24,00:00:00,SG - Mineração Estrela,RJ303,PTS,32.06,ug/m3,Manual,2022,12,24,00,2022-12-24
2022-12-30,2022-12-30,00:00:00,SG - Mineração Estrela,RJ303,PTS,34.59,ug/m3,Manual,2022,12,30,00,2022-12-30
