datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-03-27,2019-03-27,00:00,SG - Vila Real,RJ253,PTS,69.79,µg/m3,manual,2019,3,27,00,2019-03-27
2019-04-02,2019-04-02,00:00,SG - Vila Real,RJ253,PTS,54.46,µg/m3,manual,2019,4,2,00,2019-04-02
2019-04-08,2019-04-08,00:00,SG - Vila Real,RJ253,PTS,66.74,µg/m3,manual,2019,4,8,00,2019-04-08
2019-04-14,2019-04-14,00:00,SG - Vila Real,RJ253,PTS,32.89,µg/m3,manual,2019,4,14,00,2019-04-14
2019-04-20,2019-04-20,00:00,SG - Vila Real,RJ253,PTS,59.46,µg/m3,manual,2019,4,20,00,2019-04-20
2019-04-26,2019-04-26,00:00,SG - Vila Real,RJ253,PTS,78.56,µg/m3,manual,2019,4,26,00,2019-04-26
2019-05-02,2019-05-02,00:00,SG - Vila Real,RJ253,PTS,59.41,µg/m3,manual,2019,5,2,00,2019-05-02
2019-05-08,2019-05-08,00:00,SG - Vila Real,RJ253,PTS,66.66,µg/m3,manual,2019,5,8,00,2019-05-08
2019-05-14,2019-05-14,00:00,SG - Vila Real,RJ253,PTS,73.17,µg/m3,manual,2019,5,14,00,2019-05-14
2019-06-01,2019-06-01,00:00,SG - Vila Real,RJ253,PTS,33.34,µg/m3,manual,2019,6,1,00,2019-06-01
2019-06-07,2019-06-07,00:00,SG - Vila Real,RJ253,PTS,62.54,µg/m3,manual,2019,6,7,00,2019-06-07
2019-06-13,2019-06-13,00:00,SG - Vila Real,RJ253,PTS,76.28,µg/m3,manual,2019,6,13,00,2019-06-13
2019-06-19,2019-06-19,00:00,SG - Vila Real,RJ253,PTS,117.35,µg/m3,manual,2019,6,19,00,2019-06-19
2019-06-25,2019-06-25,00:00,SG - Vila Real,RJ253,PTS,176.41,µg/m3,manual,2019,6,25,00,2019-06-25
2019-07-01,2019-07-01,00:00,SG - Vila Real,RJ253,PTS,130.18,µg/m3,manual,2019,7,1,00,2019-07-01
2019-07-07,2019-07-07,00:00,SG - Vila Real,RJ253,PTS,46.07,µg/m3,manual,2019,7,7,00,2019-07-07
2019-07-13,2019-07-13,00:00,SG - Vila Real,RJ253,PTS,150.94,µg/m3,manual,2019,7,13,00,2019-07-13
2019-07-19,2019-07-19,00:00,SG - Vila Real,RJ253,PTS,97.24,µg/m3,manual,2019,7,19,00,2019-07-19
2019-07-25,2019-07-25,00:00,SG - Vila Real,RJ253,PTS,24.89,µg/m3,manual,2019,7,25,00,2019-07-25
2019-08-12,2019-08-12,00:00,SG - Vila Real,RJ253,PTS,139.05,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-18,2019-08-18,00:00,SG - Vila Real,RJ253,PTS,100.84,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-24,2019-08-24,00:00,SG - Vila Real,RJ253,PTS,39.84,µg/m3,manual,2019,8,24,00,2019-08-24
2019-08-30,2019-08-30,00:00,SG - Vila Real,RJ253,PTS,88.77,µg/m3,manual,2019,8,30,00,2019-08-30
2019-09-05,2019-09-05,00:00,SG - Vila Real,RJ253,PTS,9.14,µg/m3,manual,2019,9,5,00,2019-09-05
2019-09-11,2019-09-11,00:00,SG - Vila Real,RJ253,PTS,112.18,µg/m3,manual,2019,9,11,00,2019-09-11
2019-09-17,2019-09-17,00:00,SG - Vila Real,RJ253,PTS,125.44,µg/m3,manual,2019,9,17,00,2019-09-17
2019-09-23,2019-09-23,00:00,SG - Vila Real,RJ253,PTS,52.2,µg/m3,manual,2019,9,23,00,2019-09-23
2019-09-29,2019-09-29,00:00,SG - Vila Real,RJ253,PTS,34.44,µg/m3,manual,2019,9,29,00,2019-09-29
2019-10-05,2019-10-05,00:00,SG - Vila Real,RJ253,PTS,110.46,µg/m3,manual,2019,10,5,00,2019-10-05
2019-10-11,2019-10-11,00:00,SG - Vila Real,RJ253,PTS,41.71,µg/m3,manual,2019,10,11,00,2019-10-11
2019-10-17,2019-10-17,00:00,SG - Vila Real,RJ253,PTS,66.38,µg/m3,manual,2019,10,17,00,2019-10-17
