datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2021-01-03,2021-01-03,00:00:00,SJB - Barra do Açu 2,RJ287,MP10,21.77,µg/m³,Manual,2021,1,3,00,2021-01-03
2021-01-03,2021-01-03,00:00:00,SJB - Barra do Açu 2,RJ287,PTS,47.87,µg/m³,Manual,2021,1,3,00,2021-01-03
2021-01-09,2021-01-09,00:00:00,SJB - Barra do Açu 2,RJ287,MP10,27.61,µg/m³,Manual,2021,1,9,00,2021-01-09
2021-01-09,2021-01-09,00:00:00,SJB - Barra do Açu 2,RJ287,PTS,37.75,µg/m³,Manual,2021,1,9,00,2021-01-09
2021-01-15,2021-01-15,00:00:00,SJB - Barra do Açu 2,RJ287,MP10,15.41,µg/m³,Manual,2021,1,15,00,2021-01-15
2021-01-15,2021-01-15,00:00:00,SJB - Barra do Açu 2,RJ287,PTS,57.33,µg/m³,Manual,2021,1,15,00,2021-01-15
2021-01-21,2021-01-21,00:00:00,SJB - Barra do Açu 2,RJ287,MP10,12.59,µg/m³,Manual,2021,1,21,00,2021-01-21
2021-01-21,2021-01-21,00:00:00,SJB - Barra do Açu 2,RJ287,PTS,52.24,µg/m³,Manual,2021,1,21,00,2021-01-21
2021-01-27,2021-01-27,00:00:00,SJB - Barra do Açu 2,RJ287,MP10,18.98,µg/m³,Manual,2021,1,27,00,2021-01-27
2021-01-27,2021-01-27,00:00:00,SJB - Barra do Açu 2,RJ287,PTS,73.6,µg/m³,Manual,2021,1,27,00,2021-01-27
2021-02-02,2021-02-02,00:00:00,SJB - Barra do Açu 2,RJ287,MP10,14.79,µg/m³,Manual,2021,2,2,00,2021-02-02
2021-02-02,2021-02-02,00:00:00,SJB - Barra do Açu 2,RJ287,PTS,67.23,µg/m³,Manual,2021,2,2,00,2021-02-02
2021-02-08,2021-02-08,00:00:00,SJB - Barra do Açu 2,RJ287,MP10,9.63,µg/m³,Manual,2021,2,8,00,2021-02-08
2021-02-08,2021-02-08,00:00:00,SJB - Barra do Açu 2,RJ287,PTS,31.85,µg/m³,Manual,2021,2,8,00,2021-02-08
2021-02-14,2021-02-14,00:00:00,SJB - Barra do Açu 2,RJ287,MP10,16.93,µg/m³,Manual,2021,2,14,00,2021-02-14
