datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-07-25,2019-07-25,00:00,SJB - Cevispa,RJ267,MP2.5,9.17,µg/m3,manual,2019,7,25,00,2019-07-25
2019-07-31,2019-07-31,00:00,SJB - Cevispa,RJ267,MP2.5,16.82,µg/m3,manual,2019,7,31,00,2019-07-31
2019-08-06,2019-08-06,00:00,SJB - Cevispa,RJ267,MP2.5,8.51,µg/m3,manual,2019,8,6,00,2019-08-06
2019-08-12,2019-08-12,00:00,SJB - Cevispa,RJ267,MP2.5,10.25,µg/m3,manual,2019,8,12,00,2019-08-12
2019-08-18,2019-08-18,00:00,SJB - Cevispa,RJ267,MP2.5,9.9,µg/m3,manual,2019,8,18,00,2019-08-18
2019-08-24,2019-08-24,00:00,SJB - Cevispa,RJ267,MP2.5,7.44,µg/m3,manual,2019,8,24,00,2019-08-24
2019-08-30,2019-08-30,00:00,SJB - Cevispa,RJ267,MP2.5,9.9,µg/m3,manual,2019,8,30,00,2019-08-30
2019-09-05,2019-09-05,00:00,SJB - Cevispa,RJ267,MP2.5,8.1,µg/m3,manual,2019,9,5,00,2019-09-05
2019-09-11,2019-09-11,00:00,SJB - Cevispa,RJ267,MP2.5,11.3,µg/m3,manual,2019,9,11,00,2019-09-11
2019-09-17,2019-09-17,00:00,SJB - Cevispa,RJ267,MP2.5,14.44,µg/m3,manual,2019,9,17,00,2019-09-17
2019-09-23,2019-09-23,00:00,SJB - Cevispa,RJ267,MP2.5,10.11,µg/m3,manual,2019,9,23,00,2019-09-23
2019-09-29,2019-09-29,00:00,SJB - Cevispa,RJ267,MP2.5,8.09,µg/m3,manual,2019,9,29,00,2019-09-29
2019-10-05,2019-10-05,00:00,SJB - Cevispa,RJ267,MP2.5,9.93,µg/m3,manual,2019,10,5,00,2019-10-05
2019-10-11,2019-10-11,00:00,SJB - Cevispa,RJ267,MP2.5,6.96,µg/m3,manual,2019,10,11,00,2019-10-11
2019-10-17,2019-10-17,00:00,SJB - Cevispa,RJ267,MP2.5,7.89,µg/m3,manual,2019,10,17,00,2019-10-17
2019-10-23,2019-10-23,00:00,SJB - Cevispa,RJ267,MP2.5,9.01,µg/m3,manual,2019,10,23,00,2019-10-23
2019-10-29,2019-10-29,00:00,SJB - Cevispa,RJ267,MP2.5,13.69,µg/m3,manual,2019,10,29,00,2019-10-29
2019-11-04,2019-11-04,00:00,SJB - Cevispa,RJ267,MP2.5,16.69,µg/m3,manual,2019,11,4,00,2019-11-04
2019-11-10,2019-11-10,00:00,SJB - Cevispa,RJ267,MP2.5,15.27,µg/m3,manual,2019,11,10,00,2019-11-10
2019-11-16,2019-11-16,00:00,SJB - Cevispa,RJ267,MP2.5,15.27,µg/m3,manual,2019,11,16,00,2019-11-16
2019-11-22,2019-11-22,00:00,SJB - Cevispa,RJ267,MP2.5,9.34,µg/m3,manual,2019,11,22,00,2019-11-22
2019-11-28,2019-11-28,00:00,SJB - Cevispa,RJ267,MP2.5,17.38,µg/m3,manual,2019,11,28,00,2019-11-28
2019-12-04,2019-12-04,00:00,SJB - Cevispa,RJ267,MP2.5,11.74,µg/m3,manual,2019,12,4,00,2019-12-04
2019-12-10,2019-12-10,00:00,SJB - Cevispa,RJ267,MP2.5,13.04,µg/m3,manual,2019,12,10,00,2019-12-10
2019-12-16,2019-12-16,00:00,SJB - Cevispa,RJ267,MP2.5,10.19,µg/m3,manual,2019,12,16,00,2019-12-16
2019-12-22,2019-12-22,00:00,SJB - Cevispa,RJ267,MP2.5,14.67,µg/m3,manual,2019,12,22,00,2019-12-22
2019-12-28,2019-12-28,00:00,SJB - Cevispa,RJ267,MP2.5,8.95,µg/m3,manual,2019,12,28,00,2019-12-28
2020-01-03,2020-01-03,00:00,SJB - Cevispa,RJ267,MP2.5,8.57,µg/m3,manual,2020,1,3,00,2020-01-03
2020-01-09,2020-01-09,00:00,SJB - Cevispa,RJ267,MP2.5,9.12,µg/m3,manual,2020,1,9,00,2020-01-09
2020-01-15,2020-01-15,00:00,SJB - Cevispa,RJ267,MP2.5,9.84,µg/m3,manual,2020,1,15,00,2020-01-15
2020-01-21,2020-01-21,00:00,SJB - Cevispa,RJ267,MP2.5,6.66,µg/m3,manual,2020,1,21,00,2020-01-21
2020-01-27,2020-01-27,00:00,SJB - Cevispa,RJ267,MP2.5,8.38,µg/m3,manual,2020,1,27,00,2020-01-27
2020-02-02,2020-02-02,00:00,SJB - Cevispa,RJ267,MP2.5,13.59,µg/m3,manual,2020,2,2,00,2020-02-02
2020-02-08,2020-02-08,00:00,SJB - Cevispa,RJ267,MP2.5,7.46,µg/m3,manual,2020,2,8,00,2020-02-08
2020-02-14,2020-02-14,00:00,SJB - Cevispa,RJ267,MP2.5,8.12,µg/m3,manual,2020,2,14,00,2020-02-14
2020-02-20,2020-02-20,00:00,SJB - Cevispa,RJ267,MP2.5,8.78,µg/m3,manual,2020,2,20,00,2020-02-20
2020-02-26,2020-02-26,00:00,SJB - Cevispa,RJ267,MP2.5,11.23,µg/m3,manual,2020,2,26,00,2020-02-26
2020-03-03,2020-03-03,00:00,SJB - Cevispa,RJ267,MP2.5,6.99,µg/m3,manual,2020,3,3,00,2020-03-03
2020-03-09,2020-03-09,00:00,SJB - Cevispa,RJ267,MP2.5,8.01,µg/m3,manual,2020,3,9,00,2020-03-09
2020-03-15,2020-03-15,00:00,SJB - Cevispa,RJ267,MP2.5,6.31,µg/m3,manual,2020,3,15,00,2020-03-15
2020-03-21,2020-03-21,00:00,SJB - Cevispa,RJ267,MP2.5,7.88,µg/m3,manual,2020,3,21,00,2020-03-21
2020-03-27,2020-03-27,00:00,SJB - Cevispa,RJ267,MP2.5,8.95,µg/m3,manual,2020,3,27,00,2020-03-27
2020-04-02,2020-04-02,00:00,SJB - Cevispa,RJ267,MP2.5,15.97,µg/m3,manual,2020,4,2,00,2020-04-02
2020-04-08,2020-04-08,00:00,SJB - Cevispa,RJ267,MP2.5,11.24,µg/m3,manual,2020,4,8,00,2020-04-08
2020-04-14,2020-04-14,00:00,SJB - Cevispa,RJ267,MP2.5,8.02,µg/m3,manual,2020,4,14,00,2020-04-14
2020-04-20,2020-04-20,00:00,SJB - Cevispa,RJ267,MP2.5,8.67,µg/m3,manual,2020,4,20,00,2020-04-20
2020-04-26,2020-04-26,00:00,SJB - Cevispa,RJ267,MP2.5,7.07,µg/m3,manual,2020,4,26,00,2020-04-26
2020-05-02,2020-05-02,00:00,SJB - Cevispa,RJ267,MP2.5,16.0,µg/m3,manual,2020,5,2,00,2020-05-02
2020-05-08,2020-05-08,00:00,SJB - Cevispa,RJ267,MP2.5,9.86,µg/m3,manual,2020,5,8,00,2020-05-08
2020-05-14,2020-05-14,00:00,SJB - Cevispa,RJ267,MP2.5,12.82,µg/m3,manual,2020,5,14,00,2020-05-14
