datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime
2019-01-02,2019-01-02,00:00,SJB - Mato Escuro - Centro,RJ228,MP10,24.63,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-02,2019-01-02,00:00,SJB - Mato Escuro - Centro,RJ228,PTS,42.7,µg/m3,manual,2019,1,2,00,2019-01-02
2019-01-08,2019-01-08,00:00,SJB - Mato Escuro - Centro,RJ228,MP10,23.4,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-08,2019-01-08,00:00,SJB - Mato Escuro - Centro,RJ228,PTS,42.39,µg/m3,manual,2019,1,8,00,2019-01-08
2019-01-14,2019-01-14,00:00,SJB - Mato Escuro - Centro,RJ228,MP10,10.84,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-14,2019-01-14,00:00,SJB - Mato Escuro - Centro,RJ228,PTS,26.83,µg/m3,manual,2019,1,14,00,2019-01-14
2019-01-20,2019-01-20,00:00,SJB - Mato Escuro - Centro,RJ228,MP10,22.02,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-20,2019-01-20,00:00,SJB - Mato Escuro - Centro,RJ228,PTS,48.75,µg/m3,manual,2019,1,20,00,2019-01-20
2019-01-26,2019-01-26,00:00,SJB - Mato Escuro - Centro,RJ228,MP10,12.79,µg/m3,manual,2019,1,26,00,2019-01-26
2019-01-26,2019-01-26,00:00,SJB - Mato Escuro - Centro,RJ228,PTS,26.95,µg/m3,manual,2019,1,26,00,2019-01-26
2019-03-03,2019-03-03,00:00,SJB - Mato Escuro - Centro,RJ228,MP10,16.09,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-03,2019-03-03,00:00,SJB - Mato Escuro - Centro,RJ228,PTS,29.73,µg/m3,manual,2019,3,3,00,2019-03-03
2019-03-09,2019-03-09,00:00,SJB - Mato Escuro - Centro,RJ228,MP10,9.57,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-09,2019-03-09,00:00,SJB - Mato Escuro - Centro,RJ228,PTS,21.96,µg/m3,manual,2019,3,9,00,2019-03-09
2019-03-15,2019-03-15,00:00,SJB - Mato Escuro - Centro,RJ228,MP10,15.35,µg/m3,manual,2019,3,15,00,2019-03-15
2019-03-15,2019-03-15,00:00,SJB - Mato Escuro - Centro,RJ228,PTS,26.77,µg/m3,manual,2019,3,15,00,2019-03-15
